candidate	image_index	image	surface	shape	dtype	sha256	non_finite_count	minimum	maximum	mean	stddev	zero_count	nonzero_count	negative_count	positive_count	inference_ms	tail_ms	total_ms
B1	0	000000209933.jpg	source-fp32	1x300x6	float32	f05d320f804beb6983c43a04643b022c8e4684572ab9f5ada157e556ad33f3f1	0	-0.004177093505859375	785.0953979492188	208.4429473876953	177.97789001464844	7	1793	1	1792	nan	nan	nan
B1	0	000000209933.jpg	split-fp32	1x300x6	float32	f05d320f804beb6983c43a04643b022c8e4684572ab9f5ada157e556ad33f3f1	0	-0.004177093505859375	785.0953979492188	208.4429473876953	177.97789001464844	7	1793	1	1792	185.095187	7.285957	192.381144
B1	0	000000209933.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	f05d320f804beb6983c43a04643b022c8e4684572ab9f5ada157e556ad33f3f1	0	-0.004177093505859375	785.0953979492188	208.4429473876953	177.97789001464844	7	1793	1	1792	nan	4.421593	nan
B1	0	000000209933.jpg	split-s8	1x300x6	float32	24d7c8124791cf45b512ef9fd7d6c3da21152921560e8bbe57646fd0ebc722bf	0	-12.377159118652344	761.4102783203125	229.3383026123047	205.0248565673828	10	1790	13	1777	265.81675	6.470151	272.286901
B1	1	000000300908.jpg	source-fp32	1x300x6	float32	d0a82f84ff535c16d4ea2c4bb6a71f0fd7f87cb691da7d32ba8ea9f9ca99ca4c	0	0.0	644.821044921875	254.88150024414062	212.88026428222656	26	1774	0	1774	nan	nan	nan
B1	1	000000300908.jpg	split-fp32	1x300x6	float32	d0a82f84ff535c16d4ea2c4bb6a71f0fd7f87cb691da7d32ba8ea9f9ca99ca4c	0	0.0	644.821044921875	254.88150024414062	212.88026428222656	26	1774	0	1774	177.866845	4.376261	182.243106
B1	1	000000300908.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	d0a82f84ff535c16d4ea2c4bb6a71f0fd7f87cb691da7d32ba8ea9f9ca99ca4c	0	0.0	644.821044921875	254.88150024414062	212.88026428222656	26	1774	0	1774	nan	3.220214	nan
B1	1	000000300908.jpg	split-s8	1x300x6	float32	517d3ecdf208314cbbdea2c751ae5e8d0609561fc3b820b864023829f61f31ac	0	-5.943855285644531	780.5436401367188	245.76431274414062	215.01828002929688	36	1764	30	1734	242.776679	3.291791	246.06847
B1	2	000000221730.jpg	source-fp32	1x300x6	float32	f3749cd1824d7c5c591eef2761b374176dff6fb5e98dde3425e86908b7f756a6	0	-5.915313720703125	640.7058715820312	225.4149932861328	223.97312927246094	106	1694	103	1591	nan	nan	nan
B1	2	000000221730.jpg	split-fp32	1x300x6	float32	f3749cd1824d7c5c591eef2761b374176dff6fb5e98dde3425e86908b7f756a6	0	-5.915313720703125	640.7058715820312	225.4149932861328	223.97312927246094	106	1694	103	1591	171.617393	3.47051	175.08790299999998
