surface	expected	local	github	gitlab	status
banana_protected_main	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
banana_research_start	34154fa9f8311c8df9934cf586629afd4b6f6a75	34154fa9f8311c8df9934cf586629afd4b6f6a75	34154fa9f8311c8df9934cf586629afd4b6f6a75	34154fa9f8311c8df9934cf586629afd4b6f6a75	pass
custom_executor_tree	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	NA	NA	pass-read-only
xslim_main	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	pass
xslim_long_lived_branch	2bc1be073c84ffd8b4e22e372b8f33de4218f9f8	2bc1be073c84ffd8b4e22e372b8f33de4218f9f8	2bc1be073c84ffd8b4e22e372b8f33de4218f9f8	2bc1be073c84ffd8b4e22e372b8f33de4218f9f8	pass
xslim_release_tag_object	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	pass
xslim_release_tag_peeled	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass
xslim_evidence_tag_object	0048e5de304a7c312c58dc7bab9f8cdabc673c5e	0048e5de304a7c312c58dc7bab9f8cdabc673c5e	0048e5de304a7c312c58dc7bab9f8cdabc673c5e	0048e5de304a7c312c58dc7bab9f8cdabc673c5e	pass
xslim_evidence_tag_peeled	515e9e915c3485ea7fa8721dae34d6847a85066b	515e9e915c3485ea7fa8721dae34d6847a85066b	515e9e915c3485ea7fa8721dae34d6847a85066b	515e9e915c3485ea7fa8721dae34d6847a85066b	pass
data_ncnn_head	a245a70c641a1f20f357c65d103e5f9e50fe84a1	a245a70c641a1f20f357c65d103e5f9e50fe84a1	NA	NA	pass-read-only
data_ncnn_tree	20b96dadbd1fc0a53159cb35749719e967b55906	20b96dadbd1fc0a53159cb35749719e967b55906	NA	NA	pass-read-only
