lane	pyramid	branch	sample_count	fp32_min	fp32_max	below_range_count	below_range_fraction	above_range_count	above_range_fraction	quantized_min_rail_hits	quantized_max_rail_hits	rail_hit_fraction	mean_bias	mae	normalized_mae	cosine
B1	P3	bbox	12800000	-0.8361645936965942	8.888158798217773	3	2.34375e-07	1769	0.000138203125	3	1138	8.9140625e-05	0.027116516008699545	0.2711154591235251	0.1200153219035402	0.9865674321234795
B1	P3	confidence	256000000	-43.18829345703125	2.456486701965332	2034	7.9453125e-06	91	3.5546875e-07	172	68	9.375e-07	0.14791351707881364	0.6026152182761623	0.030262785922656688	0.9991570197649862
B1	P4	bbox	3200000	-0.25582075119018555	15.386324882507324	30	9.375e-06	165	5.15625e-05	32	15	1.46875e-05	0.019204523417508463	0.3242364048340067	0.10031970057871992	0.9877262778124402
B1	P4	confidence	64000000	-193.32566833496094	2.897067070007324	499	7.796875e-06	629	9.828125e-06	1	553	8.65625e-06	0.4597146595861083	1.5135734586526108	0.074876770309668	0.9931405677541859
B1	P5	bbox	800000	-0.05125093460083008	19.185396194458008	33	4.125e-05	46	5.75e-05	108	9	0.00014625	0.03154532383769751	0.34552973678149285	0.08315165359566921	0.9893852735483164
B1	P5	confidence	16000000	-137.56332397460938	4.011290550231934	175	1.09375e-05	816	5.1e-05	0	1137	7.10625e-05	1.4598688669644146	2.1889600720359237	0.11370619999733206	0.9893067491159361
B2	P3	bbox	12800000	-0.8361645936965942	8.888158798217773	3	2.34375e-07	1769	0.000138203125	2	1203	9.4140625e-05	0.001675927141038701	0.23230068600445056	0.10283309442909665	0.9899185737891218
B2	P3	confidence	256000000	-43.18829345703125	2.456486701965332	11583	4.524609375e-05	91	3.5546875e-07	3556	51	1.408984375e-05	-0.032170535703707606	0.49146254891127183	0.024680800377479193	0.99944353036809
B2	P4	bbox	3200000	-0.25582075119018555	15.386324882507324	30	9.375e-06	165	5.15625e-05	21	14	1.09375e-05	0.013952271655438235	0.27423044217690706	0.08484770814937155	0.9908898836815002
B2	P4	confidence	64000000	-193.32566833496094	2.897067070007324	653	1.0203125e-05	629	9.828125e-06	5	290	4.609375e-06	-0.0006053316721990705	1.3457466227847785	0.06657434443847135	0.9942263645499838
B2	P5	bbox	800000	-0.05125093460083008	19.185396194458008	33	4.125e-05	46	5.75e-05	113	12	0.00015625	0.0540059217562899	0.2956447678610869	0.07114684702261453	0.9922415791144821
B2	P5	confidence	16000000	-137.56332397460938	4.011290550231934	240	1.5e-05	816	5.1e-05	0	847	5.29375e-05	0.06149067535919323	1.6122192825297825	0.08374722340567121	0.9918214260388392
B3	P3	bbox	12800000	-0.8361645936965942	8.888158798217773	22	1.71875e-06	1050	8.203125e-05	29	510	4.2109375e-05	0.03683484488119051	0.2923085379281294	0.12939691225284897	0.9833283755896409
B3	P3	confidence	256000000	-43.18829345703125	2.456486701965332	19018	7.42890625e-05	91	3.5546875e-07	4968	54	1.96171875e-05	0.014727155787824391	0.6243017893910748	0.03135186571875687	0.9990423299473429
B3	P4	bbox	3200000	-0.25582075119018555	15.386324882507324	29	9.0625e-06	119	3.71875e-05	64	0	2e-05	0.09598292552121682	0.36260620915454345	0.11219143127679174	0.9836014606842919
B3	P4	confidence	64000000	-193.32566833496094	2.897067070007324	231	3.609375e-06	629	9.828125e-06	0	151	2.359375e-06	-0.005853948153860867	1.5333036542565561	0.07585282688356997	0.993133274886169
B3	P5	bbox	800000	-0.05125093460083008	19.185396194458008	0	0.0	39	4.875e-05	5	20	3.125e-05	0.10390756897526793	0.46380113843767906	0.11161363985593892	0.9813329214117841
B3	P5	confidence	16000000	-137.56332397460938	4.011290550231934	759	4.74375e-05	758	4.7375e-05	0	0	0.0	-0.7128496566643566	1.868237046683833	0.09704614441645724	0.9914227435883995
B4	P3	bbox	12800000	-0.8361645936965942	8.888158798217773	10	7.8125e-07	828	6.46875e-05	6	478	3.78125e-05	-0.13170274149774225	0.2611335296384257	0.11559659755545047	0.986552170677801
B4	P3	confidence	256000000	-43.18829345703125	2.456486701965332	56484	0.000220640625	91	3.5546875e-07	9549	36	3.744140625e-05	0.09900391430715451	0.49856539962605184	0.025037499053687316	0.9994445637150664
B4	P4	bbox	3200000	-0.25582075119018555	15.386324882507324	3	9.375e-07	96	3e-05	6	5	3.4375e-06	-0.12535661255751737	0.299085547925625	0.09253795122321865	0.9888319698351483
B4	P4	confidence	64000000	-193.32566833496094	2.897067070007324	595	9.296875e-06	629	9.828125e-06	2	114	1.8125e-06	0.20664599512250909	1.2905168439738806	0.06384211665088926	0.9950266999306919
B4	P5	bbox	800000	-0.05125093460083008	19.185396194458008	0	0.0	21	2.625e-05	13	5	2.25e-05	-0.03944370200544596	0.31461892817571757	0.07571297444321508	0.9913811469155928
B4	P5	confidence	16000000	-137.56332397460938	4.011290550231934	1619	0.0001011875	635	3.96875e-05	59	3	3.875e-06	-0.18683570381967352	1.4830434925716742	0.07703714751373006	0.9936124631547882
B5	P3	bbox	12800000	-0.8361645936965942	8.888158798217773	10	7.8125e-07	807	6.3046875e-05	15	344	2.8046875e-05	0.023289899438729916	0.2808776155306169	0.12433675878308025	0.983669444793203
B5	P3	confidence	256000000	-43.18829345703125	2.456486701965332	38469	0.00015026953125	91	3.5546875e-07	5707	149	2.2875e-05	0.5476919100788229	0.7817426508006925	0.03925840199566588	0.9988069034752804
B5	P4	bbox	3200000	-0.25582075119018555	15.386324882507324	2	6.25e-07	124	3.875e-05	0	9	2.8125e-06	0.12441645173016004	0.38250959067485063	0.11834959626028105	0.9803909375433181
B5	P4	confidence	64000000	-193.32566833496094	2.897067070007324	2409	3.7640625e-05	629	9.828125e-06	244	114	5.59375e-06	0.5675520934618012	1.5566298586454241	0.0770067787041684	0.9933975257590753
B5	P5	bbox	800000	-0.05125093460083008	19.185396194458008	0	0.0	21	2.625e-05	7	11	2.25e-05	0.09467204129144549	0.4826718973182142	0.11615488374463481	0.9797069011969491
B5	P5	confidence	16000000	-137.56332397460938	4.011290550231934	2581	0.0001613125	486	3.0375e-05	68	0	4.25e-06	0.4535724152918458	1.68936791928944	0.08775473292262469	0.9919530060476508
B6	P3	bbox	12800000	-0.8361645936965942	8.888158798217773	10	7.8125e-07	828	6.46875e-05	4	565	4.4453125e-05	-0.02455734534607851	0.28984183699167915	0.1283049719116936	0.981225445072797
B6	P3	confidence	256000000	-43.18829345703125	2.456486701965332	33288	0.00013003125	91	3.5546875e-07	6247	84	2.473046875e-05	0.42606737132489453	0.7490794330121423	0.03761808502805321	0.9987244319044232
B6	P4	bbox	3200000	-0.25582075119018555	15.386324882507324	3	9.375e-07	96	3e-05	6	3	2.8125e-06	0.004045405555171892	0.34742975485955363	0.10749579152745684	0.9844798853911413
