lane	generation	summary	returncode	elapsed_seconds	output_sha256	node_count	qdq_count	qlinear_count	tree_file_count	tree_byte_count	maximum_rss_kbytes
B1	run1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B1-run1.tsv	0	4953.297843	ad1b4d28e3c4d9d837c218ef16fd8435ecfd7847033a8c7af846f5e855109b21	1195	812	0	5	3202220	NA
B1	run2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B1-run2.tsv	0	3689.002800	ad1b4d28e3c4d9d837c218ef16fd8435ecfd7847033a8c7af846f5e855109b21	1195	812	0	5	3202202	NA
B2	run1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B2-run1.tsv	0	5715.131332	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	1195	812	0	5	3235202	NA
B2	run2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B2-run2.tsv	0	1543.479777	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	1195	812	0	5	3221121	NA
B3	run1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B3-run1.tsv	0	11361.109277	b781da491ec13c7d7da7f528dd7120afe4caa43b831237b8fca85c54b6a81046	1195	812	0	5	3334517	NA
B3	run2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B3-run2.tsv	0	4169.765145	b781da491ec13c7d7da7f528dd7120afe4caa43b831237b8fca85c54b6a81046	1195	812	0	5	3282569	NA
B4	run1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B4-run1.tsv	0	12692.106404	5be6f5e06dc072d30044a4aee3fe64746a05bbfd1b68d6c77f65a2e0f95823e9	1195	812	0	5	3459100	NA
B4	run2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B4-run2.tsv	0	8920.344674	5be6f5e06dc072d30044a4aee3fe64746a05bbfd1b68d6c77f65a2e0f95823e9	1195	812	0	5	3411748	NA
B5	run1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B5-run1-long.tsv	0	45008.265231	ce00720ac8a25ca20de9d39c2610cef7eed2b6fecdd7952a1bf2e57acac59be0	1195	812	0	5	3886259	NA
B5	run2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B5-run2.tsv	0	17557.752010	ce00720ac8a25ca20de9d39c2610cef7eed2b6fecdd7952a1bf2e57acac59be0	1195	812	0	5	3656843	NA
B6	run1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B6-run1.tsv	0	25008.447212	2e0de239651e2f077e7f9deaf5b7e2d1f1f1d6781ddff7e2429e7dd29daa75d0	1195	812	0	5	3544689	NA
B6	run2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B6-run2.tsv	0	9512.561941	2e0de239651e2f077e7f9deaf5b7e2d1f1f1d6781ddff7e2429e7dd29daa75d0	1195	812	0	5	3420547	NA
