image_id	file_name	width	height	coco_url	flickr_url	license_id	annotation_count	category_ids	small_original	medium_original	large_original	small_letterboxed	medium_letterboxed	large_letterboxed	aspect_bin	object_count_bin	rank_sha256	license_name	license_url	file_sha256	pixel_sha256	C50	C200	C500	C1000	H500	BALANCED
584	000000000584.jpg	640	426	http://images.cocodataset.org/train2017/000000000584.jpg	http://farm4.staticflickr.com/3036/2869145936_c19686b3b8_z.jpg	3	14	50,51,56,57	1	11	2	0	11	3	landscape	11+	031f853085e8bd9408143fec2b058c67928177e4d4294d93637a21f90bdd7dc4	Attribution-NonCommercial-NoDerivs License	http://creativecommons.org/licenses/by-nc-nd/2.0/	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	915b2e29f626cbade47e74d97e5a6110198486e8748e9e7432da631296cf44d1	0	0	0	0	1	0
996	000000000996.jpg	480	640	http://images.cocodataset.org/train2017/000000000996.jpg	http://farm4.staticflickr.com/3129/5754343575_755f52f31c_z.jpg	1	3	25	0	1	2	0	1	2	squareish	2-4	00b11d115d3cf2f8d3723f9d9b1d808efb324da4bb41a6d28f739072fc79e610	Attribution-NonCommercial-ShareAlike License	http://creativecommons.org/licenses/by-nc-sa/2.0/	9458b05d35023d16142692fb6dd24dd448bd9f2b6a5852c207537fc1d8094362	652bb6f11be329c2b211f1764559028c908508d856b6f572e20a147b7a3698b4	0	0	1	1	0	1
1381	000000001381.jpg	640	463	http://images.cocodataset.org/train2017/000000001381.jpg	http://farm5.staticflickr.com/4041/4248969650_a9a4d5846f_z.jpg	3	16	1,8,18,20	8	7	1	4	11	1	landscape	11+	011a88540b2cb90a2fd5f8cb10087828025c68d08e16bbc48869b770e55719f6	Attribution-NonCommercial-NoDerivs License	http://creativecommons.org/licenses/by-nc-nd/2.0/	4aecd620b1d67d0ac2f2c1b8c06436d7c1ebe89b42459a15117384aa7101ab05	a295b65b813f1b4f3406ec0093cfb7cfdc53843862116bc691f1e1b036c3efc8	0	0	0	1	0	0
1453	000000001453.jpg	600	464	http://images.cocodataset.org/train2017/000000001453.jpg	http://farm8.staticflickr.com/7388/8725104215_65bf6e044a_z.jpg	7	16	1,9	7	7	2	5	7	4	squareish	11+	022cd232583f2d11c9178a23bb9c92349764e7cf4a8d9058714cad35a90c7d07	No known copyright restrictions	http://flickr.com/commons/usage/	c6f2d296dc9e30982d4f31ce1df04798a0e75d746d74c03c26bd2b71b4555cf1	b7fccae06105e9513e0b992d56e4cd0a5e35e2c15d2df333d6dc5c87119b2cc0	0	0	0	1	0	0
2209	000000002209.jpg	500	299	http://images.cocodataset.org/train2017/000000002209.jpg	http://farm1.staticflickr.com/98/220784098_ab931999b3_z.jpg	1	13	3,8,16	13	0	0	11	2	0	landscape	11+	007ef9accbb5c2f314d36ea8b35225d7bc988ea7e43d54cac7159566fb57b1e7	Attribution-NonCommercial-ShareAlike License	http://creativecommons.org/licenses/by-nc-sa/2.0/	c016ee8d624954ed28e0b3674fd90b737f84104f443e3c7fbb19c1604851de3e	67792a2c30b96255ad317661232596c8e1c3fda16559a96298e9c5569b70e4b2	0	0	1	1	0	1
2471	000000002471.jpg	481	640	http://images.cocodataset.org/train2017/000000002471.jpg	http://farm5.staticflickr.com/4094/5436959324_35804b48e5_z.jpg	4	2	17,44	0	0	2	0	0	2	squareish	2-4	030b4491066c48cc6cd954508ade686ca25a9ad5001c4a312114fabfb6a354ab	Attribution License	http://creativecommons.org/licenses/by/2.0/	203739015694c1c36050e897b00dc33967c65882917eadf2c08d1bde55e5e111	52706a563eeadc3b0a1fd1e8cfe1e1431fc06bebef9beb860ef4f73f2c812cd3	0	0	0	0	1	0
2732	000000002732.jpg	640	408	http://images.cocodataset.org/train2017/000000002732.jpg	http://farm9.staticflickr.com/8546/8620375248_f307ab6ea9_z.jpg	3	14	1,7,15	10	2	2	10	1	3	landscape	11+	003d3284afbf1fbc4674a414c7a277a0f010aff9acd2be3e872f0d3cabfeaf3e	Attribution-NonCommercial-NoDerivs License	http://creativecommons.org/licenses/by-nc-nd/2.0/	1cc1faf6ed2bc8b9c4c7c4231554d3f4c62f06b7f42d2da138dd00f0c0935926	124c4f48f2f96492d0c34d376a153e77939a4ec0900d300d25131e4d875c7494	0	1	1	1	0	1
3326	000000003326.jpg	640	480	http://images.cocodataset.org/train2017/000000003326.jpg	http://farm1.staticflickr.com/12/18714466_22069366e7_z.jpg	5	6	1,9	0	4	2	0	2	4	squareish	5-10	00ad433f3afa2f329da2d848100ce35512b874dd82a6e8ca64eaef03addb0d57	Attribution-ShareAlike License	http://creativecommons.org/licenses/by-sa/2.0/	f09ed70b6d8c91585d000daf3edb66abb4f651c24ae9568c61d65e410c513634	6a3612b7bdf80c93cad9f01e873f8e891ce6e534fb2293b2a881860a20bef3fc	0	0	1	1	0	1
3926	000000003926.jpg	640	428	http://images.cocodataset.org/train2017/000000003926.jpg	http://farm6.staticflickr.com/5041/5232623140_a487e935ee_z.jpg	1	2	20	0	0	2	0	0	2	landscape	2-4	00a804ffdae4fcb1bf5158f4599b3837a0aceba44f5e12416677b98f656393b3	Attribution-NonCommercial-ShareAlike License	http://creativecommons.org/licenses/by-nc-sa/2.0/	6246a22d2bc8354ffb2557ac4364ac97edac56b2c5f04f926092a649bb4a7a10	0996d62e5bc460518088b7baadc19c1d2d20afa7a85432de6feed991ab5b164b	0	0	1	1	0	1
4092	000000004092.jpg	512	640	http://images.cocodataset.org/train2017/000000004092.jpg	http://farm5.staticflickr.com/4037/4571160167_d61432c309_z.jpg	2	4	1,62,75	0	2	2	0	2	2	squareish	2-4	02e185a6ae636cf878ebf6da5809d75ee5129f1ee0f6031ef65e1916f1bab031	Attribution-NonCommercial License	http://creativecommons.org/licenses/by-nc/2.0/	ca94fb682d40d6f3b6e219ad236ee6add09ff9150e86e6277c1f1c4516713a50	60237f9a379bd88fd642ce2485de3b34252ba800791c9bb3ea0d2290cdd84b2b	0	0	0	0	1	0
4731	000000004731.jpg	640	425	http://images.cocodataset.org/train2017/000000004731.jpg	http://farm8.staticflickr.com/7049/6935101395_09e1824900_z.jpg	2	18	1,44,47,51,55,67,73,77,79,81,82	8	6	4	6	7	5	landscape	11+	031e5f8039f84f159b39d74555cabf87fc5575fd00790ba79b2b7fe4d4c2db42	Attribution-NonCommercial License	http://creativecommons.org/licenses/by-nc/2.0/	380bbbc8de969ec9d3dbe40f1ca3007d9106711ba111fdb58d8a02952c9be091	98a71f215d82b05d4951878886ed73e29f94f6ccae2f3f91d93b9a35c0b28ea6	0	0	0	0	1	0
5205	000000005205.jpg	612	612	http://images.cocodataset.org/train2017/000000005205.jpg	http://farm9.staticflickr.com/8333/8146307715_815f82a56d_z.jpg	1	5	1,3,4	0	0	5	0	0	5	squareish	5-10	01079d076b7dd224fa2a87a1dbe0a190742b52b65bdd578c4f995004fbd38330	Attribution-NonCommercial-ShareAlike License	http://creativecommons.org/licenses/by-nc-sa/2.0/	d55dee071693217f70a3bc57f1f81b4cb51718ac67adb7f55f2296144757351d	0628d97610e95b405c57aca7fd8e8580bf144d16e54c1dc8f2471e27bc35037e	0	0	1	1	0	1
5670	000000005670.jpg	640	425	http://images.cocodataset.org/train2017/000000005670.jpg	http://farm1.staticflickr.com/239/461451037_3262b9a6ea_z.jpg	6	2	1,87	0	1	1	0	1	1	landscape	2-4	00daee2fea8a048764090d978a81bafd4f75f522a727d7d370b0995edf25a23a	Attribution-NoDerivs License	http://creativecommons.org/licenses/by-nd/2.0/	b0c0d62b5e8f082c5714ba91503b006100e832f110efe8109022a532d5cf8b2e	3e91cf99f670e7fdfd047024fc3d48a73365b1929549b7f536d0533b8ee96ca7	0	0	1	1	0	1
5879	000000005879.jpg	427	640	http://images.cocodataset.org/train2017/000000005879.jpg	http://farm9.staticflickr.com/8194/8382251898_05d0e0d9ba_z.jpg	3	6	1,2,6	0	3	3	0	1	5	portrait	5-10	0064b3085f0769d3bafe59243e233ca01a4e68096893bed42fd8603a84dac3ff	Attribution-NonCommercial-NoDerivs License	http://creativecommons.org/licenses/by-nc-nd/2.0/	1c5950643127514581429afd1784f70351b759efafdbd0e0c27581627f185e81	d16dce68986f4e1814e861989617affd0e40f9811b29bed5577924b204c6bdc7	0	1	1	1	0	1
6074	000000006074.jpg	640	427	http://images.cocodataset.org/train2017/000000006074.jpg	http://farm9.staticflickr.com/8362/8252965875_900698e489_z.jpg	2	15	1,8,28	7	6	2	4	7	4	landscape	11+	01a92c7b0a0eb2a4fa268e7d3157c2e4a5d72f8dd5abaa1f714349ffe07b3ebd	Attribution-NonCommercial License	http://creativecommons.org/licenses/by-nc/2.0/	5f63229eb81aa9c7d18edcd20fc602e1f4e7aed421e4b14b86bcada542769e1e	3c7c76d78d75d4c5b6261fece9231eecdc9145c50fcda71d78a7b402f7ac8a37	0	0	0	1	0	0
6522	000000006522.jpg	480	640	http://images.cocodataset.org/train2017/000000006522.jpg	http://farm5.staticflickr.com/4005/4280051279_800af8ae6d_z.jpg	2	9	1,3,13	7	2	0	4	5	0	squareish	5-10	02ea134ef3cad3366571aa10ed36ae550fcfea92df1a89a22f8a411e032d08ba	Attribution-NonCommercial License	http://creativecommons.org/licenses/by-nc/2.0/	fb2d847fc60321644a14af7f24884542e8332b6c0f3f28042ae95d5c2a0ade01	6b02c80d797926c0110b92db74c6ab41b4517ef761971093a50641f3f4eac3a8	0	0	0	0	1	0
7116	000000007116.jpg	640	427	http://images.cocodataset.org/train2017/000000007116.jpg	http://farm8.staticflickr.com/7425/9459812905_e69d191115_z.jpg	5	6	1,9	3	3	0	3	3	0	landscape	5-10	03335b3d9b13376958d52d2899928458f4a18ada6711d5d5743ba4a42afe06d7	Attribution-ShareAlike License	http://creativecommons.org/licenses/by-sa/2.0/	3045632a5f499ce61c6016599c56dbebd71be199c1e321c9008d667db34f24cf	bc32e5a0159cc2ffb7fbbfb7cb73e714efa1ab82157d84922e6f3e999b7099ab	0	0	0	0	1	0
7396	000000007396.jpg	640	404	http://images.cocodataset.org/train2017/000000007396.jpg	http://farm3.staticflickr.com/2452/3863075744_1d7d9cd813_z.jpg	5	2	7	0	1	1	0	1	1	landscape	2-4	01e918c7208a0cf88e18a2247848d8c6ef9c8e4631a47e1d23173d7768e842d8	Attribution-ShareAlike License	http://creativecommons.org/licenses/by-sa/2.0/	cfe758c6d575119412e595c9fe80592716450277f9ebe915ab6a6a3a1afebfa9	4cc0ba9c118ea4ff72302a64b5374c91fa940fcd0d27567d6c1a592ba9ba4f09	0	0	0	1	0	0
