variance_lane	lane	graphwise_rank	op	variable	pyramid	branch	snr	mse	cosine	q_min	q_max	f_min	f_max	f_histogram	snr_high_error	cosine_significant_deviation	source_report
Vseed	VSEED	0	/model.2/cv1/conv/Conv[Conv]	model.2.cv1.conv.weight[Constant]			0.0031	0.0001	0.9987	-1.421	1.077	-1.431	1.074	68,0,34,119,136,0,136,17,68,0,51,170,119,374,255,1054,1462,7446,16932,3315,1088,272,595,323,238,238,102,102,0,68,0,34	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	1	/model.2/cv1/conv/Conv[Conv]	model.2.cv1.conv.bias[Constant]			0.0061	0.0977	0.9974	-11.411	13.192	-11.440	13.889	1122,0,0,0,0,0,0,0,0,0,0,0,765,2516,3587,6188,4522,7752,3094,3179,0,0,0,0,986,0,0,0,0,0,0,1105	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	2	/model.2/cv1/conv/Conv[Conv]	/model.2/cv1/conv/Conv_output_0			0.1481	2.7307	0.9277	-9.743	35.723	-73.663	35.839	1,2,1,1,0,2,2,3,3,3,8,13,13,34,36,52,122,176,353,816,2268,14742,13437,2066,446,124,55,23,7,4,1,2	1	1	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	3	/model.1/conv/Conv[Conv]	model.1.conv.weight[Constant]			0.0003	0.0	0.9998	-1.487	1.259	-1.531	1.372	102,34,0,17,17,0,68,34,68,187,323,357,578,850,1717,3009,11815,9163,2601,1377,1156,527,255,238,68,85,34,17,34,34,34,17	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	4	/model.1/conv/Conv[Conv]	model.1.conv.bias[Constant]			0.0023	0.0688	0.9989	-4.269	20.048	-4.267	20.191	1156,2091,6222,969,4930,3179,7446,1156,1258,0,884,0,0,0,0,0,850,1156,0,1241,0,0,1241,0,0,0,0,0,0,0,0,1037	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	5	/model.1/conv/Conv[Conv]	/model.1/conv/Conv_output_0			0.1286	4.6185	0.9366	-10.213	90.460	-92.948	91.448	1,0,0,2,3,6,2,8,18,13,50,67,155,305,807,4316,23767,4237,629,234,94,49,17,10,13,2,3,3,3,1,0,1	1	1	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	6	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv[Conv]	model.23.one2one_cv3.2.1.1.conv.weight[Constant]	P5	confidence	0.005	0.0008	0.9975	-3.555	4.190	-3.523	4.197	17,0,0,0,0,17,0,0,0,221,476,561,2754,6443,11883,7531,2907,1173,493,119,136,17,0,17,0,0,17,0,0,0,0,34	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	7	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv[Conv]	model.23.one2one_cv3.2.1.1.conv.bias[Constant]	P5	confidence	0.0033	0.0426	0.9993	-17.231	21.434	-16.136	20.281	408,0,0,0,0,0,0,0,0,0,0,884,2006,4148,7888,8177,5508,3536,1139,0,0,425,425,0,0,0,0,0,0,0,0,272	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	8	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv[Conv]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv_output_0	P5	confidence	0.126	1.0504	0.9405	-9.697	112.005	-37.731	101.300	5,2,1,4,8,24,49,815,20239,12513,856,198,57,22,4,8,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1	1	1	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	9	/model.2/cv2/conv/Conv[Conv]	model.2.cv2.conv.weight[Constant]			0.0001	0.0	1.0	-1.227	1.414	-1.231	1.420	17,0,17,0,34,102,102,289,238,425,493,1190,1275,3859,13090,9112,2193,1105,561,272,170,85,85,34,34,0,0,17,0,0,0,17	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	10	/model.2/cv2/conv/Conv[Conv]	model.2.cv2.conv.bias[Constant]			0.0047	0.0278	0.9977	-2.091	5.209	-2.087	5.292	442,578,1173,0,561,731,0,731,1700,969,697,1003,578,4080,1105,1564,1071,3162,969,1054,1360,2720,459,3009,527,1649,476,867,0,510,595,476	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	11	/model.2/cv2/conv/Conv[Conv]	/model.2/cv2/conv/Conv_output_0			0.115	1.1921	0.9435	-9.937	12.860	-56.462	13.015	1,1,1,2,1,2,0,0,1,3,3,1,4,2,12,13,20,49,69,102,192,334,534,1111,2589,10267,13739,4814,826,99,18,6	1	1	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	12	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul[Mul]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0	P5	confidence	0.1134	0.7442	0.9495	-0.369	93.675	-0.278	101.300	29629,4247,583,215,72,32,14,5,4,6,3,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1	1	1	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	13	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv[Conv]	model.23.one2one_cv3.2.1.0.conv.weight[Constant]	P5	confidence	0.0003	0.0004	0.9998	-12.482	9.979	-12.447	9.944	51,17,0,0,0,0,0,68,0,51,0,34,51,0,136,204,867,29699,2550,340,255,85,0,85,102,0,0,85,34,0,0,102	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	14	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv[Conv]	model.23.one2one_cv3.2.1.0.conv.bias[Constant]	P5	confidence	0.001	0.0016	0.9995	-1.841	2.566	-1.798	2.565	510,0,0,0,289,340,561,0,1258,0,544,408,1547,0,612,2890,3859,2890,1394,2278,0,969,935,1581,2091,3791,2295,1819,306,595,493,561	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	15	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv[Conv]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv_output_0	P5	confidence	0.1089	0.28	0.944	-9.733	47.205	-37.570	51.972	4,2,0,1,0,2,2,5,3,7,7,27,1322,27462,5861,56,19,12,5,7,2,0,1,2,0,1,3,1,1,0,0,1	1	1	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	16	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv[Conv]	model.23.one2one_cv3.1.1.1.conv.weight[Constant]	P4	confidence	0.0005	0.0001	0.9998	-5.775	5.697	-5.792	5.679	17,0,0,0,17,17,0,0,34,0,34,0,102,323,2431,11611,16269,3451,374,51,51,0,0,17,0,0,0,0,0,0,0,17	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
Vseed	VSEED	17	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv[Conv]	model.23.one2one_cv3.1.1.1.conv.bias[Constant]	P4	confidence	0.0003	0.0051	0.9999	-10.963	18.569	-10.565	18.430	459,0,0,374,391,0,1309,1428,442,442,2074,4879,3468,2737,3757,5168,2669,2380,391,850,782,0,0,323,0,0,0,0,0,0,0,493	0	0	stage65b_r2_vseed_split_s8_qdq_report.md
