artifact	canonical_path	bytes	expected_sha256	observed_sha256	authority	canonical_match_count	status
FP32-source	/data/banana-yolo26-spacemit-demo/.deps/models/yolo26/fp32_fp16_xslim_effect_matrix/yolo26n_640_e2e_fp32.onnx	9894717	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	Stage64 source_model_graph_identity canonical path	1	pass
FP32-split-inference	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/fp32-split/yolo26n_640_e2e_fp32.inference.onnx	9740610	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	Stage64 yolo_graph_split_manifest	1	pass
FP32-native-tail	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/fp32-split/yolo26n_640_e2e_fp32.postprocess.onnx	184163	cd27158a5b393331305329f51d6194747dc7757b30c34453b61c123bb9568691	cd27158a5b393331305329f51d6194747dc7757b30c34453b61c123bb9568691	Stage64 yolo_graph_split_manifest	1	pass
B0-deployable	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/host/quantization/XSLIM_RELEASE_211/project-run1/output/r211_project_exact_split.onnx	2939225	29e08be834afb8925ca02af69d9a25df05449e9367ef3d8dd8ca4d57cf59a4fb	29e08be834afb8925ca02af69d9a25df05449e9367ef3d8dd8ca4d57cf59a4fb	Stage64 accepted run1	1	pass
B0-inference	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/R211_PROJECT_EXACT_SPLIT_run1/r211_project_exact_split.inference.onnx	2762905	ac855266d6ecaf092748692c10dd26548d0fa6c449d48bb7cc2b988257412d6c	ac855266d6ecaf092748692c10dd26548d0fa6c449d48bb7cc2b988257412d6c	Stage64 accepted split	1	pass
common-tail	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/R211_PROJECT_EXACT_SPLIT_run1/r211_project_exact_split.postprocess.onnx	176243	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	accepted transformed float tail	1	pass
B1-deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B1/run1/output/stage65b_r1_b1_split_s8_qdq.onnx	2939171	ad1b4d28e3c4d9d837c218ef16fd8435ecfd7847033a8c7af846f5e855109b21	ad1b4d28e3c4d9d837c218ef16fd8435ecfd7847033a8c7af846f5e855109b21	R1 model_conformance	1	pass
B1-inference	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/postprocess/B1/candidate-gate/B1/models/stage65b_r1_b1.inference.onnx	2762851	22cf839fc76445452df12043f37d3fd2b2bef9d4ba62c24712cebf46b9b0e6c6	22cf839fc76445452df12043f37d3fd2b2bef9d4ba62c24712cebf46b9b0e6c6	R1 model_conformance	1	pass
B1-tail	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/postprocess/B1/candidate-gate/B1/models/stage65b_r1_b1.postprocess.onnx	176243	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	R1 model_conformance	1	pass
B2-deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B2/run1/output/stage65b_r1_b2_split_s8_qdq.onnx	2939171	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	R1 model_conformance	1	pass
