surface	images	images_with_predictions	failures	non_finite_predictions	prediction_count	prediction_sha256	map50_95	map50	map75	ap_small	ap_medium	ap_large	ar_1	ar_10	ar_100	ar_small	ar_medium	ar_large	mean_precision_grid	mean_recall_grid	evidence_scope
F0	500	500	0	0	74088	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	0.4790885452498562	0.6452583617267116	0.5234727795861326	0.24791205267890734	0.5416726698146257	0.7155446075953639	0.35107794898369904	0.5973007693751818	0.6595938650120426	0.43156302932218416	0.7237278407272176	0.847661591826646	0.4790885452498562	0.6595938650120426	current-runner-H500-train2017
F1	500	500	0	0	74088	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	0.4790885452498562	0.6452583617267116	0.5234727795861326	0.24791205267890734	0.5416726698146257	0.7155446075953639	0.35107794898369904	0.5973007693751818	0.6595938650120426	0.43156302932218416	0.7237278407272176	0.847661591826646	0.4790885452498562	0.6595938650120426	current-runner-H500-train2017
H8	500	500	0	0	74088	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	0.4790885452498562	0.6452583617267116	0.5234727795861326	0.24791205267890734	0.5416726698146257	0.7155446075953639	0.35107794898369904	0.5973007693751818	0.6595938650120426	0.43156302932218416	0.7237278407272176	0.847661591826646	0.4790885452498562	0.6595938650120426	current-runner-H500-train2017
B0	500	500	0	0	79106	0b59511d3f6f6efd2c03a3bb1638573d9740e47cb008f474e5b9459eaacedab0	0.4375988415074177	0.5998192393125894	0.4773472681066052	0.22506841299898067	0.5135007150214761	0.6728827197507276	0.33829608871561617	0.5879188445030091	0.6529832760821839	0.4218378606850354	0.7129716256826618	0.8556977401898067	0.4375988415074177	0.6529832760821839	current-runner-H500-train2017
B1	500	500	0	0	83857	647f5f55e0eb8ca0417032b518f0f4ca2b64c17da710b8c35c280b9c7a666be9	0.4150549601921405	0.5753691417348347	0.45481422476145794	0.23849742401351928	0.5094366148590281	0.624942622653621	0.3321170949268076	0.5902124279374219	0.6533930535269897	0.42867299042698304	0.7140391433738631	0.8577079330842875	0.4150549601921405	0.6533930535269897	current-runner-H500-train2017
B2	500	500	0	0	65540	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	0.4446654879525213	0.6128551366437648	0.4798202809615976	0.24198226769512168	0.5163766839660254	0.6768001039275425	0.34096767906206304	0.5876376967654501	0.6496581674486591	0.43295919581707787	0.705633833252966	0.8293282153218299	0.4446654879525213	0.6496581674486591	current-runner-H500-train2017
B3	500	500	0	0	52106	d026d830742c46e59bc8a5a3b40c585403efd63b4651aa1db70c6c5dc3f7701e	0.4007921410967234	0.5651995072345739	0.43533038602029367	0.22687097991169886	0.462317922468743	0.6050439991827031	0.3259273024522965	0.5682983568176655	0.6280243842871092	0.41854566448674163	0.6878133463134932	0.7773365433156454	0.4007921410967234	0.6280243842871092	current-runner-H500-train2017
B4	500	500	0	0	57282	872ba2ebfc021cd74bb09996648b676029b1bc5c6dcb8015cdeec3223b9eed4b	0.43674604003099127	0.6072224458560415	0.4737001572088504	0.22967604034813657	0.4917350854015341	0.6694792512576149	0.336873387103474	0.5742875928171901	0.6328070149300585	0.41586571518934895	0.6955080172300989	0.8001329745031371	0.43674604003099127	0.6328070149300585	current-runner-H500-train2017
B5	500	500	0	0	64486	55ff3d3c6ea58450e2779f7c629eb91c3ace3a36fde1a26bab4447110faa47fb	0.35540334310520766	0.5107787943968922	0.3865012140514895	0.21593463960506692	0.4283078250745224	0.6182429840671934	0.3186245081334298	0.5642615314973324	0.6271206169390559	0.4308972828588264	0.692089258373263	0.771480908904477	0.35540334310520766	0.6271206169390559	current-runner-H500-train2017
B6	500	500	0	0	61431	970b137a9cf6bc47aabee3a30b658f9588d772f4a706d9deecfbd96f48759094	0.38985698436310257	0.5437369813642138	0.42609271416367483	0.20934010683046347	0.4293347259463455	0.6684262331046974	0.32688919476093203	0.5646150865508203	0.627499122230629	0.4353692461181386	0.6847245371769195	0.7783056367866739	0.38985698436310257	0.627499122230629	current-runner-H500-train2017
