scope	pair	left_prediction_sha256	right_prediction_sha256	metric	replicates	seed	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_delta_gt_zero
H500-mandatory	B2-B4	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	872ba2ebfc021cd74bb09996648b676029b1bc5c6dcb8015cdeec3223b9eed4b	map50_95	1000	65002	0.007919447921530043	0.006412236828842421	0.006280007193937037	-0.003898387260574372	0.016782647076066082	0.894
H500-mandatory	B2-B4	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	872ba2ebfc021cd74bb09996648b676029b1bc5c6dcb8015cdeec3223b9eed4b	map50	1000	65002	0.005632690787723327	0.005123577975034195	0.005127362140957881	-0.006355749347413919	0.01675463696952733	0.802
H500-mandatory	B2-B4	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	872ba2ebfc021cd74bb09996648b676029b1bc5c6dcb8015cdeec3223b9eed4b	ap_small	1000	65002	0.01230622734698511	0.00830251668502695	0.008077809181322892	-0.0032648204911527494	0.020503477054543372	0.922
H500-mandatory	B2-B4	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	872ba2ebfc021cd74bb09996648b676029b1bc5c6dcb8015cdeec3223b9eed4b	ap_medium	1000	65002	0.02464159856449133	0.027934252426851738	0.02776727182622951	0.012947883276727513	0.044228002103302425	1.0
H500-mandatory	B2-B4	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	872ba2ebfc021cd74bb09996648b676029b1bc5c6dcb8015cdeec3223b9eed4b	ap_large	1000	65002	0.007320852669927658	0.004592319842486212	0.0042851347597332445	-0.017150923144955803	0.026064094995009664	0.661
H500-mandatory	B2-B0	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	0b59511d3f6f6efd2c03a3bb1638573d9740e47cb008f474e5b9459eaacedab0	map50_95	1000	65002	0.00706664644510363	0.007681058927445242	0.007583960838121906	-0.0013079212367526015	0.016270033970465735	0.96
H500-mandatory	B2-B0	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	0b59511d3f6f6efd2c03a3bb1638573d9740e47cb008f474e5b9459eaacedab0	map50	1000	65002	0.013035897331175383	0.014038243128284613	0.014155017272022563	0.0033580937380703114	0.024249837568773157	0.994
H500-mandatory	B2-B0	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	0b59511d3f6f6efd2c03a3bb1638573d9740e47cb008f474e5b9459eaacedab0	ap_small	1000	65002	0.016913854696141012	0.013437572811413901	0.013401621788982201	0.0007397502146957259	0.02687080443393643	0.985
H500-mandatory	B2-B0	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	0b59511d3f6f6efd2c03a3bb1638573d9740e47cb008f474e5b9459eaacedab0	ap_medium	1000	65002	0.002875968944549334	0.004774227650813366	0.00504402039758578	-0.010057576748850364	0.019715492407703927	0.729
H500-mandatory	B2-B0	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	0b59511d3f6f6efd2c03a3bb1638573d9740e47cb008f474e5b9459eaacedab0	ap_large	1000	65002	0.003917384176814975	0.004168718531344092	0.004251742774441014	-0.014962405693815968	0.02143719125406471	0.665
H500-mandatory	B2-B1	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	647f5f55e0eb8ca0417032b518f0f4ca2b64c17da710b8c35c280b9c7a666be9	map50_95	1000	65002	0.02961052776038081	0.026743192043926955	0.02669174612721434	0.01729450486009887	0.0379338703304325	1.0
H500-mandatory	B2-B1	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	647f5f55e0eb8ca0417032b518f0f4ca2b64c17da710b8c35c280b9c7a666be9	map50	1000	65002	0.03748599490893012	0.037023696277020464	0.03670416344393046	0.025621559741672	0.04979011786704658	1.0
H500-mandatory	B2-B1	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	647f5f55e0eb8ca0417032b518f0f4ca2b64c17da710b8c35c280b9c7a666be9	ap_small	1000	65002	0.003484843681602401	0.003419526080792789	0.002906150899709428	-0.006617052395955994	0.016275809427125074	0.708
H500-mandatory	B2-B1	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	647f5f55e0eb8ca0417032b518f0f4ca2b64c17da710b8c35c280b9c7a666be9	ap_medium	1000	65002	0.006940069106997293	0.012733362087709655	0.012538089968364197	-0.002396971139850209	0.029904067306726102	0.941
H500-mandatory	B2-B1	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	647f5f55e0eb8ca0417032b518f0f4ca2b64c17da710b8c35c280b9c7a666be9	ap_large	1000	65002	0.051857481273921535	0.04450001539800094	0.04408231446644845	0.026890081367438142	0.06448876151648006	1.0
H500-mandatory	F1-F0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	map50_95	1000	65002	0.0	0.0	0.0	0.0	0.0	0.0
H500-mandatory	F1-F0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	map50	1000	65002	0.0	0.0	0.0	0.0	0.0	0.0
H500-mandatory	F1-F0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_small	1000	65002	0.0	0.0	0.0	0.0	0.0	0.0
H500-mandatory	F1-F0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_medium	1000	65002	0.0	0.0	0.0	0.0	0.0	0.0
H500-mandatory	F1-F0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_large	1000	65002	0.0	0.0	0.0	0.0	0.0	0.0
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50_95	1000	65002	0.011545403468581128	0.013095276688069738	0.012933639879886272	0.00808253157668917	0.019425149631476468	1.0
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	map50	1000	65002	0.008237739756678408	0.009191160392820657	0.0088531955879112	0.004423902633902116	0.01640124773234473	1.0
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_small	1000	65002	6.589757498287607e-06	0.00030366518093339365	0.0003921137411174308	-0.0023039094289122345	0.0025184957914065388	0.613
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_medium	1000	65002	0.008374454016101263	0.00819855995663787	0.008132069484002857	0.0022814090730425567	0.01483318819569643	0.996
D8-H500	D8-H0	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	060928fd2c30e62b5cc533747c53b0c9157c5483d8c77827bbdcbec828db5ae9	ap_large	1000	65002	0.016423070738258105	0.022735574480064042	0.022717476113318202	0.00920317921653355	0.035726696580410874	0.999
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	map50_95	1000	65002	-0.022877653828753786	-0.02137396082317138	-0.02136030516238918	-0.028139640925717857	-0.015102492907782638	0.0
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	map50	1000	65002	-0.024165485326268388	-0.022096523838351406	-0.02194309871035105	-0.03109537727485298	-0.013411502410969953	0.0
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_small	1000	65002	-0.00592319522628737	-0.009845166717993941	-0.010128266489087129	-0.02106613875367937	0.0020303568504144174	0.059
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_medium	1000	65002	-0.016921531832499004	-0.014975766722694985	-0.014961326326933588	-0.028189328141745434	-0.0018808930215090873	0.014
D8-H500	D8-H8	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	ap_large	1000	65002	-0.022321432929563234	-0.0198407256965177	-0.019998926269408523	-0.033151373020468076	-0.0068248310440034285	0.002
D8-full-val2017	D8-H0	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	map50_95	1000	65002	0.013484903251106795	0.015134290858292924	0.015103552522461233	0.013419620989654905	0.017029646442466354	1.0
D8-full-val2017	D8-H0	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	map50	1000	65002	0.00756607037084589	0.008930057061803413	0.00888182436166629	0.007242994013359585	0.01077495258930897	1.0
D8-full-val2017	D8-H0	573ca3745ad503addad75f53ffb58ed5c032742b20b53721c07a35abc4b336ca	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	ap_small	1000	65002	0.0012004525342275696	0.0013047549027432972	0.0012908961504111416	-0.00033238792115644134	0.0029611862647163267	0.942
