pair	left_prediction_sha256	right_prediction_sha256	metric	replicates	seed	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_delta_gt_zero
C0-D8	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50_95	1000	65003	0.006932556424270819	0.007037273810684829	0.006943247579933809	0.0010344606533665675	0.01347997753616761	0.987
C0-D8	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50	1000	65003	0.005799397572407994	0.005360099033155435	0.005276764577538173	-0.0016615772206885978	0.012752780583128872	0.92
C0-D8	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_small	1000	65003	0.003457142679134745	0.003401466156072157	0.003262156536369701	-0.0051197612747725715	0.011866335415367826	0.798
C0-D8	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_medium	1000	65003	-0.003634831191113963	-0.004109333744933928	-0.0038756851236471657	-0.019523344457831555	0.010818463544377306	0.305
C0-D8	b89bc475fa07625afe3a4c8e96446c15d79aa67a48efde2ced96395238e87032	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_large	1000	65003	0.012753009694191908	0.012759147653294252	0.01266754185333785	0.002843186805154163	0.02235458810451316	0.991
C1-D8	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50_95	1000	65003	0.007793921253261338	0.008229176881665858	0.008253320855292234	0.0008891153299382116	0.015658787120932983	0.988
C1-D8	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50	1000	65003	0.00781433158015743	0.007466612970355664	0.0073763680845047586	-0.0008296816422990209	0.016794249541397126	0.96
C1-D8	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_small	1000	65003	0.0016139703861844101	0.0026413821661550258	0.0023430781040229692	-0.006991429496304987	0.012578748422481932	0.697
C1-D8	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_medium	1000	65003	0.009580182785660751	0.007767987307935844	0.00797067736787016	-0.006745628787746616	0.0209223538386143	0.871
C1-D8	7ab3285db1085b9fff57384c08de6b46755083a4bd679b303b70f9ec1f452278	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	ap_large	1000	65003	0.007871622704512027	0.00918292046969044	0.009269809266200413	-0.0031049318444625633	0.022366815812229372	0.912
C2-D8	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50_95	1000	65003	0.008832449626625327	0.00870244156249955	0.008593076339586392	0.002791891016114398	0.015225415267613304	0.999
C2-D8	cc469f01db0173e3621775ecad12e530cd9a5956ae9825b9fe083bb831dac5f2	38f67e863d329d651398227627f86f2c8a4f11e9e7cb3d2d154c987941f408e5	map50	1000	65003	0.009238456133666695	0.0086458559801056	0.008395137913348949	0.0006055076065402316	0.017715691223991838	0.983
