frontier	order	source_tensor	candidate_float_tensor	source_producer	shape	dtype	cross_frontier_consumer_count	static_shape_dtype	mapping_status
C0	0	/model.2/cv2/act/Mul_output_0	/model.2/cv2/act/Mul_output_0	/model.2/cv2/act/Mul	1x64x160x160	FLOAT	1	pass	pass
C1	0	/model.4/cv2/act/Mul_output_0	/model.4/cv2/act/Mul_output_0	/model.4/cv2/act/Mul	1x128x80x80	FLOAT	1	pass	pass
C1	1	/model.6/cv2/act/Mul_output_0	/model.6/cv2/act/Mul_output_0	/model.6/cv2/act/Mul	1x128x40x40	FLOAT	2	pass	pass
C2	0	/model.4/cv2/act/Mul_output_0	/model.4/cv2/act/Mul_output_0	/model.4/cv2/act/Mul	1x128x80x80	FLOAT	1	pass	pass
C2	1	/model.6/cv2/act/Mul_output_0	/model.6/cv2/act/Mul_output_0	/model.6/cv2/act/Mul	1x128x40x40	FLOAT	1	pass	pass
C2	2	/model.8/cv2/act/Mul_output_0	/model.8/cv2/act/Mul_output_0	/model.8/cv2/act/Mul	1x256x20x20	FLOAT	2	pass	pass
C3	0	/model.4/cv2/act/Mul_output_0	/model.4/cv2/act/Mul_output_0	/model.4/cv2/act/Mul	1x128x80x80	FLOAT	1	pass	pass
C3	1	/model.6/cv2/act/Mul_output_0	/model.6/cv2/act/Mul_output_0	/model.6/cv2/act/Mul	1x128x40x40	FLOAT	1	pass	pass
C3	2	/model.10/cv2/act/Mul_output_0	/model.10/cv2/act/Mul_output_0	/model.10/cv2/act/Mul	1x256x20x20	FLOAT	2	pass	pass
C4	0	/model.4/cv2/act/Mul_output_0	/model.4/cv2/act/Mul_output_0	/model.4/cv2/act/Mul	1x128x80x80	FLOAT	1	pass	pass
C4	1	/model.10/cv2/act/Mul_output_0	/model.10/cv2/act/Mul_output_0	/model.10/cv2/act/Mul	1x256x20x20	FLOAT	1	pass	pass
C4	2	/model.13/cv2/act/Mul_output_0	/model.13/cv2/act/Mul_output_0	/model.13/cv2/act/Mul	1x128x40x40	FLOAT	2	pass	pass
C5	0	/model.10/cv2/act/Mul_output_0	/model.10/cv2/act/Mul_output_0	/model.10/cv2/act/Mul	1x256x20x20	FLOAT	1	pass	pass
C5	1	/model.16/cv2/act/Mul_output_0	/model.16/cv2/act/Mul_output_0	/model.16/cv2/act/Mul	1x64x80x80	FLOAT	2	pass	pass
C5	2	/model.19/cv2/act/Mul_output_0	/model.19/cv2/act/Mul_output_0	/model.19/cv2/act/Mul	1x128x40x40	FLOAT	2	pass	pass
C5	3	/model.20/act/Mul_output_0	/model.20/act/Mul_output_0	/model.20/act/Mul	1x128x20x20	FLOAT	1	pass	pass
C6	0	/model.16/cv2/act/Mul_output_0	/model.16/cv2/act/Mul_output_0	/model.16/cv2/act/Mul	1x64x80x80	FLOAT	2	pass	pass
C6	1	/model.19/cv2/act/Mul_output_0	/model.19/cv2/act/Mul_output_0	/model.19/cv2/act/Mul	1x128x40x40	FLOAT	2	pass	pass
C6	2	/model.22/cv2/act/Mul_output_0	/model.22/cv2/act/Mul_output_0	/model.22/cv2/act/Mul	1x256x20x20	FLOAT	2	pass	pass
C7	0	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul	1x16x80x80	FLOAT	1	pass	pass
C7	1	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul	1x16x40x40	FLOAT	1	pass	pass
C7	2	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul	1x16x20x20	FLOAT	1	pass	pass
C7	3	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul	1x80x80x80	FLOAT	1	pass	pass
C7	4	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul	1x80x40x40	FLOAT	1	pass	pass
C7	5	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul	1x80x20x20	FLOAT	1	pass	pass
