artifact	canonical_path	bytes	expected_sha256	observed_sha256	canonical_match_count	status
FP32-source	/data/banana-yolo26-spacemit-demo/.deps/models/yolo26/fp32_fp16_xslim_effect_matrix/yolo26n_640_e2e_fp32.onnx	9894717	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	1	pass
FP32-split-inference	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/fp32-split/yolo26n_640_e2e_fp32.inference.onnx	9740610	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	72eb6136b41104753c53b8e13aeff50e7961c4cefba79e50b70894cbd169f8d8	1	pass
FP32-native-tail	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/fp32-split/yolo26n_640_e2e_fp32.postprocess.onnx	184163	cd27158a5b393331305329f51d6194747dc7757b30c34453b61c123bb9568691	cd27158a5b393331305329f51d6194747dc7757b30c34453b61c123bb9568691	1	pass
common-tail	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/R211_PROJECT_EXACT_SPLIT_run1/r211_project_exact_split.postprocess.onnx	176243	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	1	pass
B2-deployable	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/quantization/B2/run1/output/stage65b_r1_b2_split_s8_qdq.onnx	2939171	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	0e7040d4e8b1b2d08a4e36cec4c99dcea6d52294e04901d17dfce10725c6d617	1	pass
B2-inference	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/postprocess/B2/candidate-gate/B2/models/stage65b_r1_b2.inference.onnx	2762851	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853	1	pass
B2-full-val-predictions	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/full-matrix/full-coco/B2/predictions.json	69805207	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	1	pass
D8-diagnostic	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R2-HOST-INDEPENDENT-SELECTION-FP32-SPLIT-BOUNDARY-QDQ-DISAMBIGUATION-AND-B2-VARIANCE-GATE-001/models/B2-D8-final-six-output-qdq-bypass-diagnostic.onnx	2762040	a77f2efea1dee7578d66859159a01c08ea45b76b44865d40b813732aa84372d4	a77f2efea1dee7578d66859159a01c08ea45b76b44865d40b813732aa84372d4	1	pass
H8-full-val-predictions	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65B-R1-COCO-TRAIN2017-EVALUATION-DISJOINT-CORPUS-PTQ-GRAPHWISE-AND-PYRAMID-CAUSAL-LOCALIZATION-001/full-matrix/hybrid-full-coco/H8/predictions.json	78431251	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	1	pass
R1-evaluator	/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage65b_r1_evaluate.py	14657	79ad059411bb153f3abcb8d4abd0f1e79e5e04b12863fc121dc227d2fe89bd65	79ad059411bb153f3abcb8d4abd0f1e79e5e04b12863fc121dc227d2fe89bd65	1	pass
R1-full-matrix	/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage65b_r1_full_matrix.py	12284	aa462ab0b9f5fa2a5df200d3ee778af0f379f11fde191fe4af5d8eaa1b9f2ab4	aa462ab0b9f5fa2a5df200d3ee778af0f379f11fde191fe4af5d8eaa1b9f2ab4	1	pass
R2-D8-tool	/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage65b_r2_d8.py	12518	157d0d94c513ae7fa2518ab03f2f965a083fe919304ab96b5ed9e04fa61e320d	157d0d94c513ae7fa2518ab03f2f965a083fe919304ab96b5ed9e04fa61e320d	1	pass
R2-bootstrap-tool	/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage65b_r2_bootstrap.py	13752	5d3649908f7f0cf3ff02e133dfbeb58504baa14afac102ea0de9d62af916d245	5d3649908f7f0cf3ff02e133dfbeb58504baa14afac102ea0de9d62af916d245	1	pass
R2-reconcile-tool	/data/worktrees/banana-yolo26-xslim211-s8-qdq-validation/vendor_ort_validation/stage65b_r2_reconcile.py	9837	818d3dc818d02ac91e83ff3888628248e735ba41b4121df9b40188b3a54e65c9	818d3dc818d02ac91e83ff3888628248e735ba41b4121df9b40188b3a54e65c9	1	pass
XSlim-wheel	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65A-PUB4-GITHUB-CREDENTIAL-REBIND-DUAL-REMOTE-RELEASE-ASSET-PARITY-CLOSURE-001/downloads/github-public/xslim-2.1.2+riscy.1-py3-none-any.whl	337896	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	1	pass
