surface	observed	expected	status	disposition
banana-protected-main	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass	read-only
custom-executor-tree	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	pass	read-only
ncnn-head	a245a70c641a1f20f357c65d103e5f9e50fe84a1	a245a70c641a1f20f357c65d103e5f9e50fe84a1	pass	read-only
ncnn-tree	20b96dadbd1fc0a53159cb35749719e967b55906	20b96dadbd1fc0a53159cb35749719e967b55906	pass	read-only
ncnn-diff-sha256	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	pass	three pre-existing paths retained
ncnn-dirty-path-count	3	3	pass	read-only
xslim-github-main	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	pass	read-only
xslim-gitlab-main	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	9a33f2f770d00fd02ff8bc0f1907135e9bf47f8c	pass	read-only
xslim-long-lived-branch	2bc1be073c84ffd8b4e22e372b8f33de4218f9f8	2bc1be073c84ffd8b4e22e372b8f33de4218f9f8	pass	read-only
xslim-release-tag-object	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	pass	read-only
xslim-release-tag-peeled	12647b4a79fe5ec9a3973515a17cece4cb83daf4	12647b4a79fe5ec9a3973515a17cece4cb83daf4	pass	read-only
xslim-release-wheel-sha256	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	635441d26458c6754627dd9595132cfd9a16d762d3ed0252f0039be668c01784	pass	read-only
