pair	left_prediction_sha256	right_prediction_sha256	metric	replicates	seed	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_delta_gt_zero
H8-QF-C0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	map50_95	1000	65003	0.007203994305172268	0.006416383926284975	0.0062922753021592	0.0015056424237392023	0.012272548684196657	0.992
H8-QF-C0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	map50	1000	65003	0.006758470373278702	0.005880917387881933	0.005753528411212294	0.0001584603444051258	0.012298469938484729	0.98
H8-QF-C0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	ap_small	1000	65003	-0.005707581897904074	-0.0019779141828005797	-0.001412779483704052	-0.011397625421286028	0.006530982766077107	0.382
H8-QF-C0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	ap_medium	1000	65003	0.0037365842313463737	0.004072427001049529	0.004157955275956304	-0.006527044631524942	0.013890202216126081	0.825
H8-QF-C0	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	ap_large	1000	65003	0.007165402923934194	0.006621342337461457	0.006835841876886128	-0.0045673810794745525	0.016495840672410843	0.906
H8-QF-C6	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	map50_95	1000	65003	0.008597342845647893	0.008367793374698902	0.008259765432708177	0.001991270159064258	0.014513645400219306	0.995
H8-QF-C6	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	map50	1000	65003	0.01163447641849924	0.011234917879133046	0.01098497526506742	0.003021772004656909	0.019747216604593595	0.994
H8-QF-C6	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	ap_small	1000	65003	0.007185549256040785	0.007654615307013428	0.007632764521972396	9.696541112678774e-05	0.01632640339968235	0.976
H8-QF-C6	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	ap_medium	1000	65003	0.00976879188948554	0.008878957024848798	0.009034548429949274	-0.002529287026037341	0.019919667173213976	0.938
H8-QF-C6	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	ap_large	1000	65003	0.007251831362011796	0.007938424360222004	0.008010991498119957	-0.005878875140305997	0.020642778326134294	0.898
H8-QF-L3	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	map50_95	1000	65003	0.017176391396252433	0.015557390945359838	0.015416632170489136	0.008771455832834682	0.022238979451164435	1.0
H8-QF-L3	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	map50	1000	65003	0.017548737137610293	0.01610449404854815	0.01605676652354293	0.007817708662715677	0.024448353632205128	0.999
H8-QF-L3	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	ap_small	1000	65003	0.006096967002334863	0.006605740642513823	0.006472789471879931	-0.001691772002874723	0.01603290906764648	0.948
H8-QF-L3	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	ap_medium	1000	65003	0.010805103054499221	0.008514804028611546	0.008709755582672007	-0.0035738645772894536	0.021500481541373285	0.903
H8-QF-L3	5681f55e5d88e0fde38bd7d4dcddb2cd213abfe19199229847b2f68c5e344750	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	ap_large	1000	65003	0.017573751552568573	0.01623980397882064	0.016096063507900826	0.00248879372966212	0.03022800147164102	0.987
QF-C0-QF-C6	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	map50_95	1000	65003	0.0013933485404756252	0.001951409448413927	0.001969223443471224	-0.002030159596421047	0.006040633744445941	0.826
QF-C0-QF-C6	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	map50	1000	65003	0.004876006045220538	0.005354000491251112	0.0051730974121588225	-0.0007320182207774305	0.012343957770544858	0.958
QF-C0-QF-C6	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	ap_small	1000	65003	0.012893131153944859	0.009632529489814008	0.009271009527414817	0.0011931577898528117	0.020106601679587936	0.991
QF-C0-QF-C6	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	ap_medium	1000	65003	0.006032207658139166	0.004806530023799269	0.004726419481491884	-0.0028534052092769936	0.01277924155705379	0.886
QF-C0-QF-C6	951d77a12fd8e98124a87052f24f187c33d4c4ff1099a186dbc33e67fe0ffaea	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	ap_large	1000	65003	8.642843807760148e-05	0.001317082022760546	0.0011116872580514414	-0.006422491525241336	0.011152678069137079	0.591
QF-C6-QF-L3	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	map50_95	1000	65003	0.00857904855060454	0.007189597570660934	0.007221373269462622	0.003158959458206273	0.010965029363890174	0.998
QF-C6-QF-L3	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	map50	1000	65003	0.005914260719111053	0.0048695761694151005	0.004789980391151916	0.000592372619411477	0.00914704891542612	0.985
QF-C6-QF-L3	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	ap_small	1000	65003	-0.001088582253705922	-0.0010488746644996049	-0.0008704793127995991	-0.006757304919108356	0.0030649238708633873	0.326
QF-C6-QF-L3	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	ap_medium	1000	65003	0.0010363111650136814	-0.0003641529962372516	-0.0003261185100067454	-0.0075897932341732425	0.0069382084089906725	0.461
QF-C6-QF-L3	3bfc3aab952806114a858cf0a163498653d85b95bd504f8e8d380d5b5fb72954	e2cb9b57a37b674c135fc1dce6257cea088a8dd5efd40ea68fed9bc9e53fb493	ap_large	1000	65003	0.010321920190556777	0.008301379618598635	0.007731825646924428	-0.0005074332435859058	0.018692134095750552	0.962
