surface	size_bin	ap50_95	ar_100
D8	small	0.18134730322836423	0.3735335654142867
D8	medium	0.42674833286121533	0.6452237969543517
D8	large	0.5602917340143045	0.7879408693826051
H8	small	0.19678895427851534	0.3858430254550253
H8	medium	0.44113875379235723	0.6712525770448269
H8	large	0.5829462863296956	0.8026944092232514
FQ8-L3	small	0.19251134623016986	0.3822616866663629
FQ8-L3	medium	0.43966207572629246	0.6609641597581063
FQ8-L3	large	0.5827471732081596	0.8011311543695875
FQ8-L2	small	0.19188057403995573	0.38016669146007814
FQ8-L2	medium	0.4392389254366278	0.6599950565306131
FQ8-L2	large	0.5762505819152063	0.7993129505759871
FQ8-E1	small	0.18267171925053924	0.3677574347143225
FQ8-E1	medium	0.42780563675973826	0.6497847260159532
FQ8-E1	large	0.5583805045711676	0.7856376235468059
QF-L3	small	0.18533390152411883	0.37917152190381515
QF-L3	medium	0.43055858392156326	0.6572455401693786
QF-L3	large	0.5569330349751813	0.7876604873942256
