frontiers	tensor	source_op	shape	dtype	scale_initializer	scale_shape	scale_min	scale_max	zero_point_initializer	zero_point_dtype	zero_point_min	zero_point_max	axis	representable_min	representable_max
C0	/model.2/cv2/act/Mul_output_0	Mul	1x64x160x160	FLOAT	PPQ_Variable_760	scalar	0.0692739263176918	0.0692739263176918	PPQ_Variable_761	INT8	-124.0	-124.0		-0.2770957052707672	17.387755505740643
C7;L2;L3	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0	Mul	1x16x80x80	FLOAT	PPQ_Variable_2215	scalar	0.016445327550172806	0.016445327550172806	PPQ_Variable_2216	INT8	-111.0	-111.0		-0.2795705683529377	3.9139879569411278
C7;L2;L3	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0	Mul	1x16x40x40	FLOAT	PPQ_Variable_2611	scalar	0.030483150854706764	0.030483150854706764	PPQ_Variable_2612	INT8	-119.0	-119.0		-0.2743483576923609	7.498855110257864
C7;L2;L3	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0	Mul	1x16x20x20	FLOAT	PPQ_Variable_2974	scalar	0.05434941127896309	0.05434941127896309	PPQ_Variable_2975	INT8	-123.0	-123.0		-0.27174705639481544	13.587352819740772
C7	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0	Mul	1x80x80x80	FLOAT	PPQ_Variable_2341	scalar	0.11163072288036346	0.11163072288036346	PPQ_Variable_2342	INT8	-126.0	-126.0		-0.22326144576072693	28.242572888731956
C7	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0	Mul	1x80x40x40	FLOAT	PPQ_Variable_2716	scalar	0.6061956286430359	0.6061956286430359	PPQ_Variable_2717	INT8	-128.0	-128.0		0.0	154.57988530397415
C7	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0	Mul	1x80x20x20	FLOAT	PPQ_Variable_3031	scalar	0.36928942799568176	0.36928942799568176	PPQ_Variable_3032	INT8	-127.0	-127.0		-0.36928942799568176	93.79951471090317
E0	/model.0/act/Mul_output_0	Mul	1x16x320x320	FLOAT	PPQ_Variable_631	scalar	0.24115771055221558	0.24115771055221558	PPQ_Variable_632	INT8	-127.0	-127.0		-0.24115771055221558	61.254058480262756
E1	/model.1/act/Mul_output_0	Mul	1x32x160x160	FLOAT	PPQ_Variable_652	scalar	0.38254737854003906	0.38254737854003906	PPQ_Variable_653	INT8	-127.0	-127.0		-0.38254737854003906	97.16703414916992
E2	/model.2/cv1/act/Mul_output_0	Mul	1x32x160x160	FLOAT	PPQ_Variable_673	scalar	0.20057618618011475	0.20057618618011475	PPQ_Variable_674	INT8	-127.0	-127.0		-0.20057618618011475	50.946351289749146
