topological_index	node_name	op_type	domain	producer_output_index	output_tensor	shape	dtype	consumer_count	consumer_nodes	architecture_region	residual_concat_attention_membership
0	/model.0/conv/Conv	Conv	ai.onnx	0	/model.0/conv/Conv_output_0	1x16x320x320	FLOAT	2	/model.0/act/Sigmoid;/model.0/act/Mul	R0	none
1	/model.0/act/Sigmoid	Sigmoid	ai.onnx	0	/model.0/act/Sigmoid_output_0	1x16x320x320	FLOAT	1	/model.0/act/Mul	R0	none
2	/model.0/act/Mul	Mul	ai.onnx	0	/model.0/act/Mul_output_0	1x16x320x320	FLOAT	1	/model.1/conv/Conv	R0	none
3	/model.1/conv/Conv	Conv	ai.onnx	0	/model.1/conv/Conv_output_0	1x32x160x160	FLOAT	2	/model.1/act/Sigmoid;/model.1/act/Mul	R0	none
4	/model.1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.1/act/Sigmoid_output_0	1x32x160x160	FLOAT	1	/model.1/act/Mul	R0	none
5	/model.1/act/Mul	Mul	ai.onnx	0	/model.1/act/Mul_output_0	1x32x160x160	FLOAT	1	/model.2/cv1/conv/Conv	R0	none
6	/model.2/cv1/conv/Conv	Conv	ai.onnx	0	/model.2/cv1/conv/Conv_output_0	1x32x160x160	FLOAT	2	/model.2/cv1/act/Sigmoid;/model.2/cv1/act/Mul	R0	none
7	/model.2/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.2/cv1/act/Sigmoid_output_0	1x32x160x160	FLOAT	1	/model.2/cv1/act/Mul	R0	none
8	/model.2/cv1/act/Mul	Mul	ai.onnx	0	/model.2/cv1/act/Mul_output_0	1x32x160x160	FLOAT	1	/model.2/Split	R0	none
9	Constant_56	Constant	ai.onnx	0	onnx::Split_215	2	INT64	1	/model.2/Split	non-module-constant-or-helper	none
10	/model.2/Split	Split	ai.onnx	0	/model.2/Split_output_0	1x16x160x160	FLOAT	1	/model.2/Concat	R0	none
10	/model.2/Split	Split	ai.onnx	1	/model.2/Split_output_1	1x16x160x160	FLOAT	3	/model.2/m.0/cv1/conv/Conv;/model.2/m.0/Add;/model.2/Concat	R0	none
11	/model.2/m.0/cv1/conv/Conv	Conv	ai.onnx	0	/model.2/m.0/cv1/conv/Conv_output_0	1x8x160x160	FLOAT	2	/model.2/m.0/cv1/act/Sigmoid;/model.2/m.0/cv1/act/Mul	R0	none
12	/model.2/m.0/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.2/m.0/cv1/act/Sigmoid_output_0	1x8x160x160	FLOAT	1	/model.2/m.0/cv1/act/Mul	R0	none
