surface	model	provider	fixture	exit_code	output_sha256	boundary_manifest_sha256	bytes	float_count	finite_count	non_finite_count	detection_count_score_ge_0_001	score_min	score_max	class_count	status
B2_cpu_F0	B2	cpu	F0	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	6130f7086ec57b391a1d313cb5864fa6ea03f12c708a1bdd096d2d923b7cb896	7200	1800	1800	0	24	2.524256706237793e-05	0.3998291492462158	58	pass
B2_spacemit_F0	B2	spacemit	F0	0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	e70182b7f25679722529bb2d077c7376a883f937ea13018091d728345624818d	7200	1800	1800	0	17	2.0176172256469727e-05	0.22819504141807556	57	pass
A1_cpu_F0	A1	cpu	F0	0	a899436285eb428e6b0759f05cfeaf2728e00f9c32b3c38c662c9d6cd6addcbc	2ba0446da9ebb3bcef4bff335d96f92e8516b230d016c778cad2e5dffb1c5bfb	7200	1800	1800	0	19	2.422928810119629e-05	0.33007416129112244	58	pass
A1_spacemit_F0	A1	spacemit	F0	0	67d8afb11cf396adbf76eceaf95f4bb2791db2ebf7e3be6ec3444ba22b1fb5b8	7e5a314af47846dc6f25cc822314e32c2c45371c21e563486cd3d24830539268	7200	1800	1800	0	18	1.7195940017700195e-05	0.25697049498558044	58	pass
B2_cpu_bus	B2	cpu	bus	0	df49a01e1758b52cc2edb3727cd1b10eae415a95c80f2a205f99a7cfe96beb63	8528988fdc2905da5f0cf4a719e261862df67cf63c6b52bd9a920da5418b4b53	7200	1800	1800	0	135	0.0003865361213684082	0.5	24	pass
B2_spacemit_bus	B2	spacemit	bus	0	bb7b5736de6db7edcf3eff6dfafc79e1d6eed3fe6ed33591070bd22c8f2217f7	d418ce8035ab303b994dd7eac2bf153573b9392a89a849ebbf38506d5ec62935	7200	1800	1800	0	136	0.0003865361213684082	0.5	25	pass
A1_cpu_bus	A1	cpu	bus	0	ad460f9ee88c12f2b08c6e9cab8106e48ec17987fa484a0a1bc9e504042da97b	344f540deaf2874eb142baa99ed1721091cd4dc75b2abbb73760c4cf94995d18	7200	1800	1800	0	133	0.0004017353057861328	0.6699258089065552	24	pass
A1_spacemit_bus	A1	spacemit	bus	0	3d73b4719990f07a4cfa8881b7f37e2fc2213d339eb8eba23b3be00dd8f9389c	06a253961cd51799c74a7a93aa46cf9b311c77871083e8840c5f845b67f5a867	7200	1800	1800	0	134	0.0004017353057861328	0.6699258089065552	25	pass
B2_cpu_zidane	B2	cpu	zidane	0	c5b79d60e6a1968a54be4adc83942629aed712ba68e97b30a01354c833d8ed28	a61ebed4d3b7befd9e40dd8ec002eaadfc6ef9519ccdb1be380e1331d694543e	7200	1800	1800	0	99	0.00022399425506591797	0.5	22	pass
B2_spacemit_zidane	B2	spacemit	zidane	0	c526c20ba65a733238985f188daaff628c722e909ad1373a6add7795be228813	15913cf2d8c95e16123bb2265dac37bfd87cac9922db379ac8f60c726ccfa37a	7200	1800	1800	0	101	0.0002498328685760498	0.5	20	pass
A1_cpu_zidane	A1	cpu	zidane	0	197b2e922ff2a38e67c6046102e5a7a5838a5660d9cec9f4ae56b06058b5f822	278756eb291ffc956e49970af6a979c311dc44d8dea8653dd2956f0548d8673f	7200	1800	1800	0	95	0.00020560622215270996	0.6699258089065552	21	pass
A1_spacemit_zidane	A1	spacemit	zidane	0	2c9678b448950f715e13462142163990f8f0e32c3f99a81de151862956e6a13a	fe8026847ebf035eaea157ad67d9e6b63d153c9d87a2a4768995736569e57e6b	7200	1800	1800	0	103	0.00022986531257629395	0.6699258089065552	21	pass
B2_cpu_canonical	B2	cpu	canonical	0	1954db9385391851bb4d5256cffe5512911f358a5b08204fa5584cb532f1644d	1508b26fdebc0a6c9a36145939cac413d70cad37a41cd1c331ada0e5403c2788	7200	1800	1800	0	300	0.0012376606464385986	0.5	25	pass
B2_spacemit_canonical	B2	spacemit	canonical	0	898b4a8144175083b5e46d2e173e0cea833a1bb6f4c924161f1b835f6c28893f	5362dacb8b91e6e6c7c69ebead4bb750834488b6cfc6175757901a604dd6b434	7200	1800	1800	0	300	0.0012827515602111816	0.5	22	pass
A1_cpu_canonical	A1	cpu	canonical	0	c9d9b1140cc9a0bd606dffad1be5551db881bdf0fd38db6d3c2365a7f07b102d	051e0c74a77014d19ed3f756dcf9dc0d29f3c4918f21bf62edf06bf6c628f0ff	7200	1800	1800	0	300	0.001226663589477539	0.6699258089065552	24	pass
A1_spacemit_canonical	A1	spacemit	canonical	0	feff7269302b8baa0bdb58e1e94ecf571362667c997f9ed194f3605f22737f2c	e1dac460952836ad2d666beaef6d161d86ef72b915f3fc0b0bbfbc81b78f0c62	7200	1800	1800	0	300	0.001226663589477539	0.6699258089065552	21	pass
