surface	size_bin	ap50_95	ar_100
B2-cpu	small	0.2420544782447823	0.426600587103372
B2-cpu	medium	0.5116706544478519	0.7062872134048073
B2-cpu	large	0.6800725582106381	0.8360577500844529
B2-spacemit	small	0.2381705469768612	0.4273533140644738
B2-spacemit	medium	0.5151029660306194	0.7081954926489101
B2-spacemit	large	0.6732289610524287	0.8326750057003541
A1-cpu	small	0.2365153821240845	0.42259926894714867
A1-cpu	medium	0.5191090013683345	0.7048121898359173
A1-cpu	large	0.6929202474049211	0.8300368115286846
A1-spacemit	small	0.23494352020574127	0.41826706017252785
A1-spacemit	medium	0.5207515940097006	0.706265616908421
A1-spacemit	large	0.6843720726533333	0.8149531169509885
