surface	observed	expected	status	note
banana_protected_main	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass	read-only
custom_executor_tree	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	pass	read-only; not benchmarked
xslim_head	3e275c6496d603d3f75f363ed00aa633ffc00408	3e275c6496d603d3f75f363ed00aa633ffc00408	pass	read-only
xslim_tree	acdd6d64f35c7554f2559c781c5cbe0806acac1a	acdd6d64f35c7554f2559c781c5cbe0806acac1a	pass	read-only
xslim_release_tag_object	604507c45c8eb2ff5c548d30d981203fedc61ea3	604507c45c8eb2ff5c548d30d981203fedc61ea3	pass	unchanged
ncnn_head	a245a70c641a1f20f357c65d103e5f9e50fe84a1	a245a70c641a1f20f357c65d103e5f9e50fe84a1	pass	read-only
ncnn_tree	20b96dadbd1fc0a53159cb35749719e967b55906	20b96dadbd1fc0a53159cb35749719e967b55906	pass	read-only
ncnn_diff_sha256	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	pass	three pre-existing dirty paths
ncnn_dirty_path_count	3	3	pass	unchanged
board_boot_id_after	0a0691d1-7502-44c3-903b-444dba83c1d9	0a0691d1-7502-44c3-903b-444dba83c1d9	pass	unchanged during Stage
emmc_project_write_count	0	0	pass	stage artifacts remained on NVMe /data
model_regeneration	0	0	pass	A1/B2 frozen read-only
new_branch_or_tag	0	0	pass	none created or moved
