surface	model	provider	mode	fixture	exit_code	output_sha256	log	inference_create_us	tail_create_us	first_inference_us	first_tail_us	first_total_us	status
B2_cpu_profile_F0	B2	cpu	profile	F0	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/profile/B2-cpu-profile/run.log	1261829.125000	16324.136000	3261083.500000	18984.236000	3280067.736000	pass
B2_cpu_repeat_F0	B2	cpu	repeat	F0	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/profile/B2-cpu-repeat/run.log	1264094.184000	16471.806000	3103771.396000	18830.363000	3122601.759000	pass
B2_spacemit_profile_F0	B2	spacemit	profile	F0	0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/profile/B2-spacemit-profile/run.log	1846575.034000	17789.943000	351285.001000	19187.494000	370472.495000	pass
B2_spacemit_repeat_F0	B2	spacemit	repeat	F0	0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/profile/B2-spacemit-repeat/run.log	1836744.327000	17590.359000	343506.007000	21212.090000	364718.097000	pass
A1_cpu_profile_F0	A1	cpu	profile	F0	0	a899436285eb428e6b0759f05cfeaf2728e00f9c32b3c38c662c9d6cd6addcbc	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/profile/A1-cpu-profile/run.log	1265985.506000	16289.685000	3249150.687000	19170.037000	3268320.724000	pass
A1_cpu_repeat_F0	A1	cpu	repeat	F0	0	a899436285eb428e6b0759f05cfeaf2728e00f9c32b3c38c662c9d6cd6addcbc	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/profile/A1-cpu-repeat/run.log	1255488.479000	16470.563000	3080159.838000	19104.788000	3099264.626000	pass
A1_spacemit_profile_F0	A1	spacemit	profile	F0	0	67d8afb11cf396adbf76eceaf95f4bb2791db2ebf7e3be6ec3444ba22b1fb5b8	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/profile/A1-spacemit-profile/run.log	1837079.025000	17467.073000	348713.954000	19175.918000	367889.872000	pass
A1_spacemit_repeat_F0	A1	spacemit	repeat	F0	0	67d8afb11cf396adbf76eceaf95f4bb2791db2ebf7e3be6ec3444ba22b1fb5b8	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/profile/A1-spacemit-repeat/run.log	1819486.843000	17566.490000	342555.717000	21020.013000	363575.730000	pass
B2_cpu_fixed_F0	B2	cpu	fixed	F0	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/B2-cpu-F0/run.log	1255284.798000	16170.065000	3096132.124000	19045.335000	3115177.459000	pass
B2_spacemit_fixed_F0	B2	spacemit	fixed	F0	0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/B2-spacemit-F0/run.log	1835254.838000	17546.243000	339514.903000	21031.183000	360546.086000	pass
A1_cpu_fixed_F0	A1	cpu	fixed	F0	0	a899436285eb428e6b0759f05cfeaf2728e00f9c32b3c38c662c9d6cd6addcbc	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/A1-cpu-F0/run.log	1264479.592000	16429.736000	3062793.803000	19117.671000	3081911.474000	pass
A1_spacemit_fixed_F0	A1	spacemit	fixed	F0	0	67d8afb11cf396adbf76eceaf95f4bb2791db2ebf7e3be6ec3444ba22b1fb5b8	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/A1-spacemit-F0/run.log	1834584.253000	17518.953000	339802.320000	21045.268000	360847.588000	pass
B2_cpu_fixed_bus	B2	cpu	fixed	bus	0	df49a01e1758b52cc2edb3727cd1b10eae415a95c80f2a205f99a7cfe96beb63	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/B2-cpu-bus/run.log	1256883.811000	16142.902000	3093562.531000	19292.257000	3112854.788000	pass
B2_spacemit_fixed_bus	B2	spacemit	fixed	bus	0	bb7b5736de6db7edcf3eff6dfafc79e1d6eed3fe6ed33591070bd22c8f2217f7	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/B2-spacemit-bus/run.log	1939836.983000	24575.087000	359517.205000	21386.898000	380904.103000	pass
A1_cpu_fixed_bus	A1	cpu	fixed	bus	0	ad460f9ee88c12f2b08c6e9cab8106e48ec17987fa484a0a1bc9e504042da97b	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/A1-cpu-bus/run.log	1268408.617000	16378.905000	3071382.353000	19454.719000	3090837.072000	pass
A1_spacemit_fixed_bus	A1	spacemit	fixed	bus	0	3d73b4719990f07a4cfa8881b7f37e2fc2213d339eb8eba23b3be00dd8f9389c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/A1-spacemit-bus/run.log	1894941.592000	17775.959000	345695.188000	21452.776000	367147.964000	pass
B2_cpu_fixed_zidane	B2	cpu	fixed	zidane	0	c5b79d60e6a1968a54be4adc83942629aed712ba68e97b30a01354c833d8ed28	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/B2-cpu-zidane/run.log	1248346.614000	16193.573000	3071699.859000	19364.471000	3091064.330000	pass
B2_spacemit_fixed_zidane	B2	spacemit	fixed	zidane	0	c526c20ba65a733238985f188daaff628c722e909ad1373a6add7795be228813	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/B2-spacemit-zidane/run.log	1835749.916000	17594.501000	339363.887000	21514.237000	360878.124000	pass
A1_cpu_fixed_zidane	A1	cpu	fixed	zidane	0	197b2e922ff2a38e67c6046102e5a7a5838a5660d9cec9f4ae56b06058b5f822	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/A1-cpu-zidane/run.log	1261525.426000	16138.157000	3065603.144000	19394.807000	3084997.951000	pass
A1_spacemit_fixed_zidane	A1	spacemit	fixed	zidane	0	2c9678b448950f715e13462142163990f8f0e32c3f99a81de151862956e6a13a	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/A1-spacemit-zidane/run.log	1834407.433000	17546.669000	339995.178000	21423.572000	361418.750000	pass
B2_cpu_fixed_canonical	B2	cpu	fixed	canonical	0	1954db9385391851bb4d5256cffe5512911f358a5b08204fa5584cb532f1644d	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/B2-cpu-canonical/run.log	1271701.175000	16419.578000	3074497.195000	20127.148000	3094624.343000	pass
B2_spacemit_fixed_canonical	B2	spacemit	fixed	canonical	0	898b4a8144175083b5e46d2e173e0cea833a1bb6f4c924161f1b835f6c28893f	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/B2-spacemit-canonical/run.log	1841948.844000	17720.756000	339671.712000	21665.076000	361336.788000	pass
A1_cpu_fixed_canonical	A1	cpu	fixed	canonical	0	c9d9b1140cc9a0bd606dffad1be5551db881bdf0fd38db6d3c2365a7f07b102d	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/A1-cpu-canonical/run.log	1255992.690000	16247.411000	3080512.221000	19472.936000	3099985.157000	pass
A1_spacemit_fixed_canonical	A1	spacemit	fixed	canonical	0	feff7269302b8baa0bdb58e1e94ecf571362667c997f9ed194f3605f22737f2c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-A1-VS-B2-K1X-SPACEMIT-EP-PLACEMENT-CORRECTNESS-COCO-PERFORMANCE-AND-STABILITY-GATE-001/fixed-fixtures/A1-spacemit-canonical/run.log	1827186.753000	17605.007000	338125.526000	21480.286000	359605.812000	pass
