order	commit	tree	parent	subject	scope
1	4d3cfab1a1484a74dbb5fea0d65fde8b46559396	78d9f2fe82bd70d7cc9e99a3addc5fb36a396e44	4868cbfbe0d1de41437b3568026069a12f806585	test: add frozen A1 CPU EP recall diagnostic tooling	preflight-bootstrap-object-boundary-tooling
2	fb12e22eca06ce9d79daeb64569cddbfafd8ef3b	dbc7ac30358f9e3e516297c7ccb75fee7a925b57	4d3cfab1a1484a74dbb5fea0d65fde8b46559396	fix: tighten recall selection and determinism gates	fail-closed-selection-and-hash-gates
3	307a4ad7ca7a0eb2013b50a470119c3332b51f82	b1392184052f6fa73b43142a014997fc85ba6b13	fb12e22eca06ce9d79daeb64569cddbfafd8ef3b	test: add board rollback and storage closure snapshot	board-state-and-emmc-closure
4	0b06cfa68a245687ceeacdeacbc150d45fb7f004	191e658d5f5b72a90ab89a1e11f8e5d6f766f639	307a4ad7ca7a0eb2013b50a470119c3332b51f82	fix: apply interaction rule across all size metrics	statistical-classification
5	44a4fe11c9bb3abd7cefff7fe152bd7fe0d0b8d0	0aba68a0f93d4249e1be45bb93eb3e5632f9cbc8	0b06cfa68a245687ceeacdeacbc150d45fb7f004	test: add single-boundary tail splice controls	boundary-causal-controls
6	4f94d1a73d6dc57711e6f8402b207f4e42dcf612	a25b0454bf57e73cf8aadcc0a0b5abc36aa4bbcd	44a4fe11c9bb3abd7cefff7fe152bd7fe0d0b8d0	fix: canonicalize boundary manifests across sessions	manifest-determinism
7	1b84ea9e3945c18a659c6430c0a3df1762c699de	70a1e2a7d6993f88f980fdad60fe008c1721be67	4f94d1a73d6dc57711e6f8402b207f4e42dcf612	test: fail closed on copied board artifact hashes	board-copy-integrity
8	af65eedcfffc326f6c5090323714f7ca397c8c47	1c46f791a90a27c2f18998b4960643ca39ebab02	1b84ea9e3945c18a659c6430c0a3df1762c699de	test: freeze H500 interaction and recall attribution	h500-bootstrap-and-object-attribution
9	369d21cdb2ea91c3a674e390ce9cce5f029b1e8b	f88049f56f6e4f2b8583d15f53612f02d447b1b5	af65eedcfffc326f6c5090323714f7ca397c8c47	fix: normalize unmatched object attribution fields	object-report-normalization
10	b7fb43abaa53ead7a791e4d8db87dd0d0e7decd5	bd949c7beb87fe5d5ed78c6eea0c0a5ff9fae6dd	369d21cdb2ea91c3a674e390ce9cce5f029b1e8b	fix: retain ORT type metadata during tail replay	tail-replay-contract
11	873a5015605c04439d7c497a5d1752148ab1ba8b	0ebe1b3c9acee137e858179263417af8e7a3b572	b7fb43abaa53ead7a791e4d8db87dd0d0e7decd5	fix: normalize absent tail rank diagnostics	tail-report-normalization
12	10c0a00b30a02a1775256cccef950580fcb97c1e	6438fe85ac26f076eadbd33ea18463c0ebe4f297	873a5015605c04439d7c497a5d1752148ab1ba8b	test: separate tail splice effects by recall group	grouped-tail-causality
13	240d0b6bcdb3b20b1fcb3e143cc4582a7b1e71dd	7a0c16cec229ce422334c919a8ca651bf371816b	10c0a00b30a02a1775256cccef950580fcb97c1e	test: recover per-run board determinism hashes	per-run-determinism
14	550c0ee599e9d63acfd91565637e626a234c63f7	9451bfd4326fa98564630107e977d7e1606c2aeb	240d0b6bcdb3b20b1fcb3e143cc4582a7b1e71dd	fix: mark board hash diagnostic executable	tool-executable-mode
15	33ab5988496c1579026f51431d65d8cc3c2c135c	961d7ee9acae6121bb29b490b4b90ee283189be3	550c0ee599e9d63acfd91565637e626a234c63f7	docs: record boundary and determinism diagnostics	boundary-tail-determinism-evidence
16	da5e138d9e663fcec2f2c626ee68028df048cd4c	b4edaf724f6b58c47c8cdf56f929742f9d30457a	33ab5988496c1579026f51431d65d8cc3c2c135c	docs: record restart recovery and board rollback closure	restart-and-system-closure
17	f234809323f4c0fac0fc62b966164d8aef786299	2be1a67b8e849bc4be3d07302dcaf67fb2261b13	da5e138d9e663fcec2f2c626ee68028df048cd4c	test: confirm A1 CPU EP divergence on full val	full-val-and-shared-bootstrap-evidence
