selection_group	rank	image_id	source_path	source_sha256	input_path	input_sha256	shape	dtype	source_width	source_height	scale	pad_x	pad_y
large-loss	1	209356	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000209356.jpg	8368070b36491aa368f78b1b9b00e5eb1c7a84ecd0e460681b8cbdfa7ea6171c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000209356.nchw-f32.bin	37dc3c6811f3de970a9e16a891a314b8d45848fd0a51e50fce6c0d1340c617a4	1x3x640x640	float32	640	480	1.0	0.0	80.0
large-loss	2	157153	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000157153.jpg	9523ea7f9edf773a62a17aa4a9901df6598048dbdce0932c32c2d67a231a108e	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000157153.nchw-f32.bin	69db223258c627fc2b93e88b3dd0f662eafd194fe271a8652d1fbf0d3f535e3d	1x3x640x640	float32	640	640	1.0	0.0	0.0
large-loss	3	555263	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000555263.jpg	cff24aac91fee878f0aea3788120584d156209435ab6510ef7195ee70454bf74	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000555263.nchw-f32.bin	c7c577768cd2fe58e90eeb86f6da212a1c02b17a6db1fb560e340e198093f769	1x3x640x640	float32	480	640	1.0	80.0	0.0
large-loss	4	549409	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000549409.jpg	2d168ac0f5fce24fe55a29885d21702b3ad68059df59c2568d18e0d20cc6e351	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000549409.nchw-f32.bin	b12736e98c1f06345c95af03054752a7e781eed3f8f3d67b404b19765061ab66	1x3x640x640	float32	500	375	1.2799999713897705	0.0	80.0
large-loss	5	239596	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000239596.jpg	52f228d3e5f88f75c3a4abe532e969859c6376101dd20c87d2f69cab31f1522d	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000239596.nchw-f32.bin	fbfd781b5b8f09417ac102fd974604eb1ffeb637580ea74c0b80e1fe38e36aa2	1x3x640x640	float32	640	427	1.0	0.0	106.5
large-loss	6	254989	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000254989.jpg	b6183f50588b370cca6fac45ca5864a553a5ee6b7c87a72fbbbc7338fa10bd93	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000254989.nchw-f32.bin	f7df435e968350671d2dcf7f01deceb4f545945462de85def49cd5a9265d17c3	1x3x640x640	float32	640	480	1.0	0.0	80.0
large-loss	7	294348	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000294348.jpg	55acb5099f725575351f6ce5d95b9b6ff4d45d71d74821eb20770de71b521fc4	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000294348.nchw-f32.bin	63e7354cc082a78843bf60f9dbeb6be6ef7490ddaec4e05e2a0037b164e30451	1x3x640x640	float32	500	333	1.2799999713897705	0.0	107.0
large-loss	8	95295	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000095295.jpg	30e9756fd67cb2d90f29621ad1cc47ddf71570119f9530444bbb77857e281e06	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000095295.nchw-f32.bin	908452793c6f377d0ab0970350ce3c31da1874944af40c587ab746ea862a7a77	1x3x640x640	float32	500	375	1.2799999713897705	0.0	80.0
large-loss	9	117300	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000117300.jpg	07a654e6c07baf72298c2bb7de29a439c07bdec513957937ba7b759d45aa7055	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000117300.nchw-f32.bin	fe61e361b44977bb00f80ffa6fdd133a128d7b8b99aad00b2776abe541c34057	1x3x640x640	float32	494	640	1.0	73.0	0.0
large-loss	10	4731	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000004731.jpg	380bbbc8de969ec9d3dbe40f1ca3007d9106711ba111fdb58d8a02952c9be091	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001/diagnostic-inputs/inputs/000000004731.nchw-f32.bin	ecad1a6d45ec4d73641a7869d59b2a285261cd22eccacd975f732e109b97b8f0	1x3x640x640	float32	640	425	1.0	0.0	107.5
