pair	metric	replicates	seed	draw_matrix_sha256	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_gt_zero	probability_lt_zero
A1_EP-vs-B2_EP	map50_95	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0067052867038858155	0.006652652115446327	0.006456410877999752	0.001441927710909885	0.013035811296682971	0.9944	0.0056
A1_EP-vs-B2_EP	map50	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0030547532493151452	0.002229691321698116	0.0022021483045537305	-0.005233149482393351	0.010056651247743902	0.7339	0.2661
A1_EP-vs-B2_EP	map75	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.004763158003953605	0.004234861563238651	0.004018519424690031	-0.0025710906857775496	0.012061349226690337	0.8849	0.1151
A1_EP-vs-B2_EP	ap_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0032270267711199396	-0.003429818908251275	-0.0033064462647723614	-0.008727903911376468	0.0010501483122320914	0.0707	0.9293
A1_EP-vs-B2_EP	ap_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.005648627979081167	0.00266018899114686	0.0025328329992662657	-0.006939922112877228	0.012628396584599213	0.6946	0.3054
A1_EP-vs-B2_EP	ap_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.011143111600904643	0.011945711144951857	0.011747743613778783	0.0019884224440012504	0.023550607090511093	0.9901	0.0099
A1_EP-vs-B2_EP	ar1	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0025351487997456457	0.0022776336068264283	0.0020221835699590907	-0.005885605936748665	0.012152465649189667	0.6793	0.3207
A1_EP-vs-B2_EP	ar10	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0031373840945780884	-0.0029611751988979675	-0.002998409169530314	-0.006307908013042146	0.00043458373410965007	0.042	0.958
A1_EP-vs-B2_EP	ar100	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.002870855436777342	-0.002772564427542391	-0.002762011055379543	-0.0059305666572119446	0.0003203148996307134	0.0391	0.9609
A1_EP-vs-B2_EP	ar_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.00908625389194595	-0.006617473738663344	-0.007952904500780705	-0.013456959040495637	0.0016184302282277023	0.0882	0.9118
A1_EP-vs-B2_EP	ar_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0019298757404890843	-0.0018794555534736247	-0.0018995808448801221	-0.005590128498875824	0.001881266874508046	0.1637	0.8363
A1_EP-vs-B2_EP	ar_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.017721888749365644	-0.012857101061086612	-0.01601054814170111	-0.02238734647359591	-5.557012755557797e-05	0.0241	0.9759
A1_EP-vs-B2_EP	prediction_count	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-1303.0	-1303.1625	-1302.0	-1520.0	-1096.0	0.0	1.0
A1_CPU-vs-B2_CPU	map50_95	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.007240173650919779	0.006397047930936653	0.006155302437187676	0.001602799177346559	0.012551828663621391	0.9961	0.0039
A1_CPU-vs-B2_CPU	map50	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.00704361247504981	0.006400703776007343	0.006052605982141024	0.001155820127344795	0.013658860946125418	0.9927	0.0073
A1_CPU-vs-B2_CPU	map75	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.008076079335680053	0.006772224140935785	0.006473884696216042	0.0005902754652623287	0.014622871098570694	0.9826	0.0174
A1_CPU-vs-B2_CPU	ap_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.005539096120697806	-0.005061813570347303	-0.004556035222345309	-0.013265330057209904	0.0009064871310538149	0.0497	0.9503
A1_CPU-vs-B2_CPU	ap_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.007438346920482619	0.0035907672049052507	0.0035067627772560894	-0.0024606233449331162	0.010170936797969847	0.8769	0.1231
A1_CPU-vs-B2_CPU	ap_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.01284768919428303	0.011393983919441035	0.01130208850902159	0.0008057407079726078	0.022227986759241508	0.9823	0.0177
A1_CPU-vs-B2_CPU	ar1	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.002847200323905008	0.002525594882305247	0.002511301726884796	-0.0011081313651669603	0.006200507410529435	0.9108	0.0892
A1_CPU-vs-B2_CPU	ar10	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.001577650434442801	-0.001566143934904899	-0.0015772718858566015	-0.0046109093609329405	0.0014322960583965933	0.1517	0.8483
A1_CPU-vs-B2_CPU	ar100	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0029856246629718086	-0.003101987816894272	-0.0030309345380433728	-0.006069628151769871	-0.00042938658745880493	0.0108	0.9892
A1_CPU-vs-B2_CPU	ar_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0040013181562233435	-0.003264186557811891	-0.003293458505450264	-0.007610513658707038	0.0012188046182381588	0.076	0.924
A1_CPU-vs-B2_CPU	ar_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.001475023568889955	-0.0017242866616220404	-0.0016523518614544597	-0.006214786923078596	0.0024275203442737474	0.2175	0.7825
