metric	replicates	seed	draw_matrix_sha256	point_interaction	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_gt_zero	probability_lt_zero
map50_95	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0005348869470339634	0.00025560418450967266	0.00026922077552984924	-0.005270725110046154	0.005648136181448925	0.541	0.459
map50	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0039888592257346644	-0.0041710124543092265	-0.004052489884423804	-0.012062657834019741	0.0029903494343646447	0.1284	0.8716
map75	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0033129213317264483	-0.0025373625776971345	-0.002525454120173798	-0.01036694013549834	0.005126891958137212	0.2561	0.7439
ap_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0023120693495778666	0.0016319946620960283	0.0013467464308266897	-0.0068704112512586865	0.01082562190764324	0.6484	0.3516
ap_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0017897189414014525	-0.0009305782137583906	-0.0009526018778659995	-0.011828950117456124	0.010141634691585463	0.43	0.57
ap_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0017045775933783869	0.0005517272255108213	0.00042928890925453267	-0.010905039515284367	0.012603510899123555	0.5302	0.4698
ar1	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.00031205152415936244	-0.0002479612754788187	-0.0005042775083146933	-0.00905108457088841	0.009958722494854877	0.4588	0.5412
ar10	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0015597336601352874	-0.0013950312639930686	-0.0013736633445801671	-0.005996246701519922	0.0032227025681965662	0.2778	0.7222
ar100	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.00011476922619446661	0.0003294233893518805	0.0002931172310916552	-0.00341592889917518	0.004257589423324987	0.5619	0.4381
ar_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.005084935735722607	-0.0033532871808514527	-0.004274390185402627	-0.011183492517824975	0.0058217767464109485	0.2828	0.7172
ar_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0004548521715991294	-0.0001551688918515841	-0.00020731054256450943	-0.005421784709448554	0.00545481056205521	0.4666	0.5334
ar_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.011700950193597293	-0.006677045724789524	-0.009169741914458074	-0.01750266550768142	0.0074363354121652885	0.278	0.722
prediction_count	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	1251.0	1249.2497	1248.0	1038.975	1464.0	1.0	0.0
