category_id	category	size_bin	object_threshold_events	B2_CPU_recall	B2_EP_recall	A1_CPU_recall	A1_EP_recall	a1_provider_interaction
1	person	large	3120	0.8759615384615385	0.8762820512820513	0.8769230769230769	0.8743589743589744	-0.0028846153846153744
1	person	medium	3580	0.7270949720670391	0.7276536312849162	0.7270949720670391	0.7268156424581006	-0.0008379888268156277
1	person	small	4220	0.4597156398104265	0.4618483412322275	0.4618483412322275	0.46208530805687204	-0.0018957345971564732
2	bicycle	large	30	0.7666666666666667	0.7333333333333333	0.7666666666666667	0.7666666666666667	0.03333333333333344
2	bicycle	medium	80	0.775	0.725	0.7875	0.7625	0.025000000000000022
2	bicycle	small	150	0.4266666666666667	0.44666666666666666	0.4266666666666667	0.43333333333333335	-0.013333333333333308
3	car	large	150	0.92	0.9333333333333333	0.92	0.9266666666666666	-0.00666666666666671
3	car	medium	500	0.794	0.796	0.784	0.802	0.016000000000000014
3	car	small	1110	0.5117117117117117	0.5081081081081081	0.5063063063063064	0.5045045045045045	0.0018018018018016724
4	motorcycle	large	200	0.845	0.83	0.84	0.84	0.015000000000000013
4	motorcycle	medium	90	0.6888888888888889	0.6444444444444445	0.6777777777777778	0.6555555555555556	0.022222222222222143
4	motorcycle	small	80	0.2375	0.175	0.2375	0.175	0.0
5	airplane	large	80	0.825	0.825	0.825	0.825	0.0
5	airplane	medium	50	0.72	0.7	0.74	0.72	0.0
5	airplane	small	30	0.7666666666666667	0.8	0.7666666666666667	0.8	0.0
6	bus	large	190	0.8789473684210526	0.9052631578947369	0.8789473684210526	0.9157894736842105	0.010526315789473606
6	bus	medium	110	0.8	0.8	0.7818181818181819	0.8	0.018181818181818188
6	bus	small	40	0.45	0.425	0.45	0.45	0.025000000000000022
7	train	large	160	0.80625	0.8125	0.8125	0.7625	-0.05625000000000002
7	train	medium	50	0.78	0.76	0.76	0.76	0.020000000000000018
7	train	small	10	0.0	0.0	0.0	0.0	0.0
8	truck	large	210	0.919047619047619	0.9428571428571428	0.9238095238095239	0.9380952380952381	-0.009523809523809601
8	truck	medium	180	0.7333333333333333	0.7444444444444445	0.7444444444444445	0.7611111111111111	0.005555555555555425
8	truck	small	140	0.5142857142857142	0.5642857142857143	0.5	0.5071428571428571	-0.04285714285714293
9	boat	large	160	0.61875	0.575	0.6125	0.5875	0.018750000000000044
9	boat	medium	140	0.6857142857142857	0.7	0.6857142857142857	0.6928571428571428	-0.0071428571428571175
9	boat	small	120	0.4666666666666667	0.45	0.4583333333333333	0.43333333333333335	-0.008333333333333304
10	traffic light	medium	60	0.7	0.7333333333333333	0.7333333333333333	0.75	-0.016666666666666607
10	traffic light	small	640	0.3390625	0.334375	0.3390625	0.321875	-0.012499999999999956
11	fire hydrant	large	10	1.0	1.0	1.0	1.0	0.0
11	fire hydrant	small	10	0.0	0.0	0.0	0.0	0.0
13	stop sign	large	30	0.9666666666666667	0.9666666666666667	0.9333333333333333	0.9666666666666667	0.033333333333333326
13	stop sign	medium	10	0.8	0.8	0.8	0.8	0.0
13	stop sign	small	20	0.8	0.75	0.8	0.75	0.0
14	parking meter	large	10	1.0	0.9	1.0	0.9	0.0
15	bench	large	80	0.875	0.7875	0.875	0.775	-0.012499999999999956
15	bench	medium	210	0.5523809523809524	0.5238095238095238	0.5666666666666667	0.5238095238095238	-0.014285714285714235
15	bench	small	170	0.27058823529411763	0.27058823529411763	0.2647058823529412	0.27647058823529413	0.011764705882352955
16	bird	large	50	0.86	0.88	0.86	0.88	0.0
16	bird	medium	130	0.8538461538461538	0.8615384615384616	0.8307692307692308	0.8615384615384616	0.023076923076922995
16	bird	small	490	0.49183673469387756	0.5081632653061224	0.48367346938775513	0.49795918367346936	-0.0020408163265306367
17	cat	large	100	0.92	0.92	0.91	0.87	-0.040000000000000036
17	cat	medium	50	0.86	0.88	0.86	0.88	0.0
18	dog	large	90	0.9444444444444444	0.9444444444444444	0.9444444444444444	0.9555555555555556	0.011111111111111183
18	dog	medium	50	0.66	0.7	0.68	0.72	0.0
18	dog	small	30	0.3	0.26666666666666666	0.3	0.26666666666666666	0.0
19	horse	large	100	0.77	0.76	0.77	0.75	-0.010000000000000009
19	horse	medium	120	0.7333333333333333	0.725	0.725	0.7083333333333334	-0.008333333333333304
19	horse	small	30	0.36666666666666664	0.36666666666666664	0.3333333333333333	0.3333333333333333	0.0
20	sheep	large	100	0.93	0.94	0.93	0.93	-0.009999999999999898
20	sheep	medium	170	0.7941176470588235	0.8058823529411765	0.8058823529411765	0.8058823529411765	-0.01176470588235301
20	sheep	small	70	0.6714285714285714	0.6571428571428571	0.6857142857142857	0.6428571428571429	-0.02857142857142858
21	cow	large	40	1.0	0.975	1.0	1.0	0.025000000000000022
21	cow	medium	150	0.8133333333333334	0.8266666666666667	0.7933333333333333	0.7866666666666666	-0.020000000000000018
21	cow	small	60	0.8833333333333333	0.8666666666666667	0.8833333333333333	0.9	0.033333333333333326
22	elephant	large	190	0.8736842105263158	0.8736842105263158	0.8789473684210526	0.868421052631579	-0.010526315789473606
22	elephant	medium	70	0.7142857142857143	0.7285714285714285	0.7	0.7	-0.014285714285714235
23	bear	large	30	0.9333333333333333	0.9	0.9	0.9333333333333333	0.06666666666666665
23	bear	medium	10	0.7	0.7	0.7	0.7	0.0
24	zebra	large	160	0.95	0.94375	0.95	0.94375	0.0
24	zebra	medium	120	0.7083333333333334	0.7	0.7083333333333334	0.7	0.0
24	zebra	small	20	0.3	0.25	0.3	0.25	0.0
25	giraffe	large	90	0.8444444444444444	0.8888888888888888	0.8555555555555555	0.8888888888888888	-0.011111111111111072
25	giraffe	medium	30	0.9	0.9	0.8333333333333334	0.8333333333333334	0.0
27	backpack	large	20	0.75	0.7	0.75	0.7	0.0
27	backpack	medium	90	0.6111111111111112	0.6111111111111112	0.6111111111111112	0.6111111111111112	0.0
27	backpack	small	110	0.2909090909090909	0.2636363636363636	0.2909090909090909	0.2636363636363636	0.0
28	umbrella	large	90	0.7777777777777778	0.8111111111111111	0.7777777777777778	0.8111111111111111	0.0
28	umbrella	medium	230	0.6695652173913044	0.6521739130434783	0.6652173913043479	0.6565217391304348	0.008695652173912993
28	umbrella	small	100	0.61	0.58	0.63	0.59	-0.010000000000000009
31	handbag	large	10	0.1	0.9	0.1	0.0	-0.9
31	handbag	medium	300	0.47	0.4866666666666667	0.47	0.49	0.0033333333333332993
31	handbag	small	140	0.38571428571428573	0.35714285714285715	0.34285714285714286	0.35714285714285715	0.04285714285714287
32	tie	large	50	0.78	0.8	0.78	0.8	0.0
32	tie	medium	190	0.7315789473684211	0.7210526315789474	0.7157894736842105	0.7105263157894737	0.0052631578947368585
32	tie	small	100	0.26	0.18	0.26	0.18	0.0
33	suitcase	large	70	0.9714285714285714	0.9857142857142858	0.9714285714285714	0.9714285714285714	-0.014285714285714346
33	suitcase	medium	40	0.725	0.725	0.725	0.725	0.0
34	frisbee	large	10	1.0	1.0	1.0	1.0	0.0
34	frisbee	medium	80	0.6625	0.6875	0.675	0.6875	-0.012500000000000067
34	frisbee	small	40	0.325	0.3	0.325	0.3	0.0
35	skis	medium	120	0.7916666666666666	0.8083333333333333	0.7916666666666666	0.7916666666666666	-0.01666666666666672
35	skis	small	390	0.3717948717948718	0.3487179487179487	0.36666666666666664	0.35128205128205126	0.0076923076923077205
36	snowboard	medium	70	0.7571428571428571	0.7142857142857143	0.7285714285714285	0.7142857142857143	0.02857142857142858
36	snowboard	small	80	0.2125	0.25	0.2375	0.2375	-0.037500000000000006
37	sports ball	medium	40	0.75	0.725	0.75	0.725	0.0
37	sports ball	small	260	0.27307692307692305	0.2692307692307692	0.2692307692307692	0.27307692307692305	0.007692307692307665
38	kite	large	50	0.76	0.82	0.76	0.82	0.0
38	kite	medium	190	0.7421052631578947	0.6947368421052632	0.7263157894736842	0.7	0.021052631578947212
38	kite	small	170	0.6705882352941176	0.6588235294117647	0.6588235294117647	0.6705882352941176	0.0235294117647058
39	baseball bat	medium	30	0.26666666666666666	0.3	0.26666666666666666	0.3	0.0
39	baseball bat	small	220	0.6045454545454545	0.5863636363636363	0.5681818181818182	0.5863636363636363	0.036363636363636265
40	baseball glove	large	10	0.8	0.8	0.8	0.7	-0.10000000000000009
40	baseball glove	medium	80	0.8	0.8	0.8	0.8	0.0
40	baseball glove	small	60	0.35	0.36666666666666664	0.36666666666666664	0.36666666666666664	-0.016666666666666663
41	skateboard	medium	190	0.8	0.7947368421052632	0.7789473684210526	0.7947368421052632	0.021052631578947434
41	skateboard	small	170	0.5764705882352941	0.5941176470588235	0.5705882352941176	0.5823529411764706	-0.00588235294117645
42	surfboard	large	30	0.9333333333333333	0.8	0.8333333333333334	0.8333333333333334	0.1333333333333333
42	surfboard	medium	40	0.8	0.8	0.8	0.8	0.0
42	surfboard	small	80	0.4	0.425	0.4125	0.4375	5.551115123125783e-17
43	tennis racket	medium	120	0.7	0.7	0.6833333333333333	0.675	-0.008333333333333304
43	tennis racket	small	80	0.6375	0.6625	0.6375	0.625	-0.03749999999999998
44	bottle	large	80	0.8875	0.8875	0.875	0.875	0.0
44	bottle	medium	440	0.7772727272727272	0.775	0.775	0.7795454545454545	0.006818181818181723
44	bottle	small	590	0.5	0.4966101694915254	0.5084745762711864	0.49830508474576274	-0.006779661016949046
46	wine glass	large	20	0.95	0.95	0.95	0.95	0.0
46	wine glass	medium	60	0.75	0.8	0.7666666666666667	0.7833333333333333	-0.03333333333333344
