image_id	image_sha256	category_id	category	gt_id	gt_bbox	gt_area	size_bin	pyramid_proxy	iou_threshold	a1_cpu_matched_a1_ep_missed	b2_ep_matched_a1_ep_missed	b2_cpu_matched_a1_cpu_missed	a1_ep_recovered_vs_b2_ep	a1_ep_lost_vs_b2_ep	a1_cpu_recovered_vs_b2_cpu	a1_cpu_lost_vs_b2_cpu	any_surface_disagreement	B2_CPU_matched	B2_CPU_detection_id	B2_CPU_score	B2_CPU_rank	B2_CPU_iou	B2_EP_matched	B2_EP_detection_id	B2_EP_score	B2_EP_rank	B2_EP_iou	A1_CPU_matched	A1_CPU_detection_id	A1_CPU_score	A1_CPU_rank	A1_CPU_iou	A1_EP_matched	A1_EP_detection_id	A1_EP_score	A1_EP_rank	A1_EP_iou
584	06fbe181cd523b714a8e63118fe57dbdfd196cc41f75bce13d8b63e7d0846d61	57	carrot	1065119	[232.12,142.31,37.71,35.98]	900.6093999999998	small	P3	0.8	1	0	0	0	0	0	0	1	1	37	0.036468	16	0.8115823949639185	0	0				1	33	0.033858	14	0.8131139079087538	0	0			
4731	380bbbc8de969ec9d3dbe40f1ca3007d9106711ba111fdb58d8a02952c9be091	55	orange	1051873	[408.32,368.47,28.87,24.61]	578.8273999999999	small	P3	0.75	1	0	0	0	0	0	0	1	1	645	0.002466	17	0.7997935555015737	0	0				1	644	0.002395	17	0.79039138348926	0	0			
4731	380bbbc8de969ec9d3dbe40f1ca3007d9106711ba111fdb58d8a02952c9be091	55	orange	1911763	[388.11,362.18,23.63,23.43]	319.4446499999996	small	P3	0.75	1	0	0	0	0	0	0	1	1	549	0.003811	12	0.7693191486639057	0	0				1	519	0.004179	11	0.7695496830783882	0	0			
6522	fb2d847fc60321644a14af7f24884542e8332b6c0f3f28042ae95d5c2a0ade01	3	car	1337341	[120.09,517.52,40.28,41.4]	736.5006499999998	small	P3	0.8	1	0	0	0	0	0	0	1	1	741	0.016001	27	0.8085039611213036	0	0				1	732	0.014054	29	0.8209927261292981	0	0			
6522	fb2d847fc60321644a14af7f24884542e8332b6c0f3f28042ae95d5c2a0ade01	3	car	1781700	[0.0,525.06,22.15,40.76]	632.1785000000003	small	P3	0.75	1	1	0	0	1	0	0	1	1	922	0.003418	100	0.8474443483432831	1	919	0.003458	93	0.9041481646359084	1	889	0.003739	88	0.837782142352449	0	0			
6522	fb2d847fc60321644a14af7f24884542e8332b6c0f3f28042ae95d5c2a0ade01	3	car	1781700	[0.0,525.06,22.15,40.76]	632.1785000000003	small	P3	0.8	1	1	0	0	1	0	0	1	1	922	0.003418	100	0.8474443483432831	1	919	0.003458	93	0.9041481646359084	1	889	0.003739	88	0.837782142352449	0	0			
6522	fb2d847fc60321644a14af7f24884542e8332b6c0f3f28042ae95d5c2a0ade01	13	stop sign	2209818	[207.61,487.77,13.68,15.51]	197.6246499999995	small	P3	0.85	1	0	0	0	0	0	0	1	1	928	0.003066	2	0.8569871877851604	0	0				1	896	0.003345	2	0.8563949981310139	0	0			
8025	f0e12c268856f879453a1c7aaa6332f3944b9166c1bbeea10cc5587ff6cdfe40	2	bicycle	131659	[297.01,208.64,22.83,30.93]	349.5059499999999	small	P3	0.85	1	0	0	0	0	0	0	1	1	1227	0.067905	22	0.8704042520648833	0	0				1	1194	0.071147	17	0.8751680996488174	0	0			
8025	f0e12c268856f879453a1c7aaa6332f3944b9166c1bbeea10cc5587ff6cdfe40	2	bicycle	131685	[238.82,212.97,14.25,19.69]	166.2303999999999	small	P3	0.5	1	0	0	0	0	0	0	1	1	1308	0.02146	65	0.5128660334963594	0	0				1	1273	0.021925	61	0.5063853816477698	0	0			
8025	f0e12c268856f879453a1c7aaa6332f3944b9166c1bbeea10cc5587ff6cdfe40	27	backpack	1171020	[542.9,199.91,16.75,23.73]	210.43984999999984	small	P3	0.85	1	0	0	0	0	0	0	1	1	1322	0.019284	3	0.8618946238518249	0	0				1	1290	0.019654	3	0.8537576758209459	0	0			
