field	actual	expected	status
banana_head	4868cbfbe0d1de41437b3568026069a12f806585	4868cbfbe0d1de41437b3568026069a12f806585	pass
banana_tree	eef2dd835834e3163e721dd79b5fc1af11a226ff	eef2dd835834e3163e721dd79b5fc1af11a226ff	pass
protected_main	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
custom_executor_tree	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	c2e400de14fb1c88d4aed70a249d9eff19a05d0f	pass
xslim_head	3e275c6496d603d3f75f363ed00aa633ffc00408	3e275c6496d603d3f75f363ed00aa633ffc00408	pass
xslim_tree	acdd6d64f35c7554f2559c781c5cbe0806acac1a	acdd6d64f35c7554f2559c781c5cbe0806acac1a	pass
xslim_version	2.1.2+riscy.2.dev1	2.1.2+riscy.2.dev1	pass
ncnn_head	a245a70c641a1f20f357c65d103e5f9e50fe84a1	a245a70c641a1f20f357c65d103e5f9e50fe84a1	pass
ncnn_tree	20b96dadbd1fc0a53159cb35749719e967b55906	20b96dadbd1fc0a53159cb35749719e967b55906	pass
ncnn_diff	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	2bf1cc38885018a02478aa7542581639786c79bca5ce11a6e827d24bcc5f4eca	pass
ncnn_dirty_path_count	3	3	pass
