selection_group	rank	image_id	image_path	image_sha256	provider_loss_events	a1_ep_loss_events	a1_cpu_loss_events	selection_rule
large-loss	1	209356	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000209356.jpg	8368070b36491aa368f78b1b9b00e5eb1c7a84ecd0e460681b8cbdfa7ea6171c	2	9	6	descending summed loss events then image_id
large-loss	2	157153	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000157153.jpg	9523ea7f9edf773a62a17aa4a9901df6598048dbdce0932c32c2d67a231a108e	8	8	0	descending summed loss events then image_id
large-loss	3	555263	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000555263.jpg	cff24aac91fee878f0aea3788120584d156209435ab6510ef7195ee70454bf74	1	9	0	descending summed loss events then image_id
large-loss	4	549409	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000549409.jpg	2d168ac0f5fce24fe55a29885d21702b3ad68059df59c2568d18e0d20cc6e351	7	0	2	descending summed loss events then image_id
large-loss	5	239596	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000239596.jpg	52f228d3e5f88f75c3a4abe532e969859c6376101dd20c87d2f69cab31f1522d	1	5	2	descending summed loss events then image_id
large-loss	6	254989	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000254989.jpg	b6183f50588b370cca6fac45ca5864a553a5ee6b7c87a72fbbbc7338fa10bd93	8	0	0	descending summed loss events then image_id
large-loss	7	294348	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000294348.jpg	55acb5099f725575351f6ce5d95b9b6ff4d45d71d74821eb20770de71b521fc4	8	0	0	descending summed loss events then image_id
large-loss	8	95295	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000095295.jpg	30e9756fd67cb2d90f29621ad1cc47ddf71570119f9530444bbb77857e281e06	6	0	1	descending summed loss events then image_id
large-loss	9	117300	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000117300.jpg	07a654e6c07baf72298c2bb7de29a439c07bdec513957937ba7b759d45aa7055	4	2	1	descending summed loss events then image_id
large-loss	10	4731	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000004731.jpg	380bbbc8de969ec9d3dbe40f1ca3007d9106711ba111fdb58d8a02952c9be091	2	2	0	descending summed loss events then image_id
large-loss	11	143445	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000143445.jpg	949f15d166cbea596ef0ffb588b8cea5e6979d038b2b036566ed0d96726efd5b	3	0	1	descending summed loss events then image_id
large-loss	12	209018	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000209018.jpg	3c92211179ceee89a44c16e9f8a67c3f883968276abe40abe7ead4031fb694fb	2	1	1	descending summed loss events then image_id
large-loss	13	295575	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000295575.jpg	c372d23b90315a0eaa4d405ef7978ff1ab7ced9b75192e254b8c0982fe873987	2	1	1	descending summed loss events then image_id
large-loss	14	18654	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000018654.jpg	7511bbb3b6b96cbe8e19b7ec29a26a6538a7d955becf4094011325a6a33dcf3f	2	1	0	descending summed loss events then image_id
large-loss	15	65420	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000065420.jpg	bb28aec2e2024f3822376ab1d3aca8a6486eea897744e7ee2c59ee546af2047e	1	2	0	descending summed loss events then image_id
large-loss	16	82740	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000082740.jpg	6635ad6c6d7d540e7a085082be35b6e7e691494fc4194dc0fd24e89909660092	1	1	1	descending summed loss events then image_id
large-loss	17	212197	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000212197.jpg	7d5d2bd8b0595717dd4551c20c2b02d4144110926593f5d5010ddd5e31bb679f	3	0	0	descending summed loss events then image_id
large-loss	18	217855	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000217855.jpg	d834cb5a68463788e368038add47d5097e2db9c7f22b77ef05da0d9502d14715	2	1	0	descending summed loss events then image_id
large-loss	19	245971	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000245971.jpg	aed6090bef22d82548dddd71aa107802335a012ab9b2f167da6729ab2688e7ac	1	1	1	descending summed loss events then image_id
large-loss	20	297620	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000297620.jpg	3794eff73e28b375597a7e31201b161d5b393f9d79de9500fdff10153d4a885c	1	0	2	descending summed loss events then image_id
large-loss	21	308310	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000308310.jpg	9cc69b2cf96c7066d1a32de1ed370b13076921da90aa7cb279d3dc9be0c6f298	2	1	0	descending summed loss events then image_id
large-loss	22	334032	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000334032.jpg	ca0078d35348954d0f781f80a9122bf6250aaa136a797cebd1683fbca3343472	1	2	0	descending summed loss events then image_id
large-loss	23	375194	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000375194.jpg	4962e8e6a78d564a27b29255668657d987ece50f24e3febb4f13e6243add33cf	2	1	0	descending summed loss events then image_id
large-loss	24	375759	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000375759.jpg	eee512aeb82707dc2df740cdfa105e8073231156c7bb2097a070f9fea17d550b	0	1	2	descending summed loss events then image_id
large-loss	25	389157	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000389157.jpg	3174012fdfe27641852be82d10ab62a850919675aaabc414d0cf7b2c64eea669	0	0	3	descending summed loss events then image_id
large-loss	26	424632	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000424632.jpg	32eef021d3824946e96ffca591e3f76f99bcf687fd26112262d0e3c485b5dcd1	3	0	0	descending summed loss events then image_id
large-loss	27	430175	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000430175.jpg	bd7e5085dc11c3210ed705b824fa36287bc41f7997cbfa54dcc2995b3eaf20f8	0	0	3	descending summed loss events then image_id
large-loss	28	469014	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000469014.jpg	c19ab441676ff0c943a02c091bd692c0ef166c55d8949b6b0567174c2f1b2e74	1	0	2	descending summed loss events then image_id
large-loss	29	473793	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000473793.jpg	2d0a77c01d5ddc583f0dfca703f3a55cc6723c4c16b1d973a74648804cc344e6	1	2	0	descending summed loss events then image_id
large-loss	30	533239	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000533239.jpg	88a6ea4f5f3a2eeac0c2b315a6624b2584c91ce9bbad74b262227837a87ba54f	2	1	0	descending summed loss events then image_id
large-loss	31	540520	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000540520.jpg	0fc670670aaccdcc04a187cdd30f84713f724ec96a12028044e181ead874c4b2	1	2	0	descending summed loss events then image_id
large-loss	32	2471	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000002471.jpg	203739015694c1c36050e897b00dc33967c65882917eadf2c08d1bde55e5e111	1	1	0	descending summed loss events then image_id
small-loss	1	94439	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000094439.jpg	6d38498063b4aaf3c69e3106ca2ca9a4073b3f5158292fe9d5c741e52f4b2867	5	9	1	descending summed loss events then image_id
small-loss	2	237759	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000237759.jpg	06e2c27ddd2664f99b2ef6956aa560c29917c13b6f44cc1a9f99afd20320f797	11	2	1	descending summed loss events then image_id
small-loss	3	441012	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000441012.jpg	4c07ac45d2d175bbc6d24daa0f523c98b9bca21a844d3cbde3ef84662956d5bf	7	1	6	descending summed loss events then image_id
small-loss	4	365947	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000365947.jpg	617dc3ea02161de54ca309325d97ede496a7795c889d154a806bfae0f655384e	4	2	7	descending summed loss events then image_id
small-loss	5	430122	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000430122.jpg	c921b64bfb5d5d7d7ee2e3b0a55242c4d0086739fff6ebde7e926882781335a1	8	2	3	descending summed loss events then image_id
small-loss	6	249184	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000249184.jpg	37ed0c950988611b4cdf3761783fae8e035393b6c3917bd30e98a3e461590a68	1	0	11	descending summed loss events then image_id
small-loss	7	495956	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000495956.jpg	9e252744ac9dd48470e102a1c9f63471d5908fdfd786270d8a659513b1cc3ecb	9	2	1	descending summed loss events then image_id
small-loss	8	272807	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000272807.jpg	4e6d6cfb7eb6db45df99e7626301f8bae9a1ea8fefba8a768fea9fcee5cbd9b3	4	2	4	descending summed loss events then image_id
small-loss	9	192091	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000192091.jpg	b2c2b90736e76513f5f5cdef71ad35da10b24fa2829ad9a7c1f6939924f65453	3	5	1	descending summed loss events then image_id
small-loss	10	301783	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000301783.jpg	9bf1ab80c747f24562bb767abc9fb684ba2cdcfdcbc34ec46d214171293c8321	6	3	0	descending summed loss events then image_id
small-loss	11	6522	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000006522.jpg	fb2d847fc60321644a14af7f24884542e8332b6c0f3f28042ae95d5c2a0ade01	4	4	0	descending summed loss events then image_id
small-loss	12	150867	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000150867.jpg	a9e4fddef2f68fcf97512b688c6b3d272ed9843366aaf676f5c25763c08aedd6	3	2	3	descending summed loss events then image_id
small-loss	13	184585	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000184585.jpg	1b6b090a6e5054d173546591d0cd5ee145a0f1a9e9256ec3a01fce70fd0276f2	4	2	2	descending summed loss events then image_id
small-loss	14	531894	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000531894.jpg	d9bc2c6b282738d3823d9202f0c5b1b5f482e3caa212136acdea25a3fd51e85b	7	1	0	descending summed loss events then image_id
small-loss	15	170232	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000170232.jpg	42105ffb9f61069a08035cab1292b9a380dedac54a9e6d82ab39330d0729948d	4	2	1	descending summed loss events then image_id
small-loss	16	211919	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000211919.jpg	ab417103ee1574af8b135a50a8b147f1bed791af77998fba9515b5a797dcbc65	5	2	0	descending summed loss events then image_id
matched-control	1	95161	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000095161.jpg	0f5f303ae60ccc59b02b1af2f2522d44130b861d5cf0b110ce1f5b6880fdb127	0	0	0	descending identical large-object matched events then image_id
matched-control	2	104344	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000104344.jpg	6b0b64cdace6bef5e6816bc8511e177ffce0a28055e6e4461496f0f56b48ebbf	0	0	0	descending identical large-object matched events then image_id
matched-control	3	343534	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000343534.jpg	028cba5ed6b04dc5797401d2c903cf6b2dba9d31bb87e0146cb13429c810d2c4	0	0	0	descending identical large-object matched events then image_id
matched-control	4	412167	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000412167.jpg	61e9aebc4835646a71094cba2de3eeb30405e33853c71aedac4ce6e8dec5dcca	0	0	0	descending identical large-object matched events then image_id
matched-control	5	371029	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000371029.jpg	d7c79878e49ae3d23f02295e181a49655487d27e08a3b0c44ddad7a60242876d	0	0	0	descending identical large-object matched events then image_id
matched-control	6	38204	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000038204.jpg	6230c0a914512939d23e24751b833ec7c4ac3609e911086649c18c2f35380455	0	0	0	descending identical large-object matched events then image_id
matched-control	7	72463	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000072463.jpg	e513991f120ff736a9cd36b8cf6bab23ef1289eaa0430711bb7e0214f9c2386c	0	0	0	descending identical large-object matched events then image_id
matched-control	8	139914	/data/datasets/coco2017-independent-stage65b-r1/selected/images/000000139914.jpg	8afba5247438b02d9019d6b20e7b7ce4f07e4ad985bf77c190e9feeeba39f1b8	0	0	0	descending identical large-object matched events then image_id
