evidence_surface	case_group	image_id	model	provider	mode	recreation	exit_code	output_sha256	boundary_manifest_sha256	samples_sha256	sample_runs	sample_hash_schema	unique_sample_output_hashes	sample_output_hash	cpu_set	minimum_frequency_khz	maximum_frequency_khz	minimum_temperature_millic	maximum_temperature_millic	signal_or_error	status
frozen-session-matrix	large-loss	209356	B2	cpu	one-session	0	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	12ff4617f0658b0673279f1b2aba5fef4fb1095bc3b8a20bca3762c615fecf5e	100	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
frozen-session-matrix	large-loss	209356	B2	cpu	recreate	1	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	45f4bc722f468494ef270677a5772855860e4c9d915f7a54dcf84213505ac0c6	1	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
frozen-session-matrix	large-loss	209356	B2	cpu	recreate	2	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	d894f99828b00a2ccbbd6ce5e93ed3fdab4cbb01612e50e0623c36de26a7883c	1	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
frozen-session-matrix	large-loss	209356	B2	cpu	recreate	3	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	1945a2e8f37ce17583aeb139a8db0c10e3e813e300dc6cb08335ddc2bdce8815	1	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
frozen-session-matrix	large-loss	209356	B2	cpu	recreate	4	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	1e1668c82a02375f299f06e5ace1d77fad50f6bc75f7eb01f62658b899c1601b	1	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
frozen-session-matrix	large-loss	209356	B2	cpu	recreate	5	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	93c7a7caaf789f0213726e18e2d08c5483e52b8723929e17319dfe1242ad0951	1	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
frozen-session-matrix	large-loss	209356	B2	cpu	recreate	6	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	0325bc36fe96f393c07fa8c5a8c67883e0bad8f8ab134e0a223bd7aa8c19081d	1	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
frozen-session-matrix	large-loss	209356	B2	cpu	recreate	7	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	48c743fb3a741e70a563fe4b7fc228cc3c63534268e8bffe29e434a3110cf335	1	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
frozen-session-matrix	large-loss	209356	B2	cpu	recreate	8	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	8cbe475731785bf9dc25580452799598f032bfbd347ef275a4c8c752950bccea	1	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
frozen-session-matrix	large-loss	209356	B2	cpu	recreate	9	0	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6549a633876aa412bfebef3e63a8d44ee2cd1530a4e66918f6a05d908332a5cb	0a41d00a0d73c2b0c59b4697be201b131827615d78c3f1634edcb1f5426d94ad	1	not-exposed-by-frozen-runner	not-available	not-available	0-3	1600000	1600000			none	pass
