selection_group	image_id	surface	boundary_manifest_sha256	board_original_sha256	board_replay_sha256	host_replay_sha256	board_original_vs_replay_max_abs	board_original_vs_replay_mean_abs	board_original_vs_replay_cosine	board_original_vs_host_max_abs	board_original_vs_host_mean_abs	board_original_vs_host_cosine	host_repeat_byte_identical	status
large-loss	209356	B2-cpu	4277ac6cbdc40c567d42a38293e536b01b1477e746e68ddf538c8ec4d63f5cfe	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	6d8ef5f36c763f1c0d95a930aa9c5f6cc673e9b8200c61d73bc3d899025252af	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	209356	B2-spacemit	cc7d5eba20f3615945ce8de179aa2b16d7163292fe24da3686b5b49541efa8de	e70a3a81734f63bf4adfaa8c0a115f7db5194e256d57798be389ed7e412dad8d	e70a3a81734f63bf4adfaa8c0a115f7db5194e256d57798be389ed7e412dad8d	e70a3a81734f63bf4adfaa8c0a115f7db5194e256d57798be389ed7e412dad8d	0.0	0.0	1.0000001192092896	0.0	0.0	1.0000001192092896	yes	pass
large-loss	209356	A1-cpu	2794236f64ebd83a609e0d25dcba2e71cee047cf5e9e66189d97f14e76cdac28	ee7b1abd12f69d3097aff73461be7c3923a55148d489798944b99966d7fae072	ee7b1abd12f69d3097aff73461be7c3923a55148d489798944b99966d7fae072	ee7b1abd12f69d3097aff73461be7c3923a55148d489798944b99966d7fae072	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	209356	A1-spacemit	acf1c456d936967072cd6ab299a4e1ef98e0fffeff84ed597cc7c5cb86405490	1a4aae33851cb8df68712d5a8bb890f9ed991c6ff3f65f5fba71c33bd843b290	1a4aae33851cb8df68712d5a8bb890f9ed991c6ff3f65f5fba71c33bd843b290	1a4aae33851cb8df68712d5a8bb890f9ed991c6ff3f65f5fba71c33bd843b290	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	157153	B2-cpu	81d94cfcfa5b0bb086c6e4b85d80a3ec00e80632eeef8ff3e7942fb77d838b17	f0287a0df4eccca420e97b530356af5c51abbc911ef6283667a6fc7c26dfe9d5	f0287a0df4eccca420e97b530356af5c51abbc911ef6283667a6fc7c26dfe9d5	f0287a0df4eccca420e97b530356af5c51abbc911ef6283667a6fc7c26dfe9d5	0.0	0.0	1.0000001192092896	0.0	0.0	1.0000001192092896	yes	pass
large-loss	157153	B2-spacemit	8d33f554dd10a645a120ed6a2f5d5265f3e6274ac2fb69fc24d39c0168d56af6	1579ed6604f2a5dc423f5a167a1060f97a0f40d27fb3974b63d5623aa5cc0dad	1579ed6604f2a5dc423f5a167a1060f97a0f40d27fb3974b63d5623aa5cc0dad	1579ed6604f2a5dc423f5a167a1060f97a0f40d27fb3974b63d5623aa5cc0dad	0.0	0.0	0.9999999403953552	0.0	0.0	0.9999999403953552	yes	pass
large-loss	157153	A1-cpu	f5e49e4963ccc34f6f1b9f49c5fe4885e7b7d5d22335b45103f205b3d56422fb	372ceede7ab9f86aeeaf160336b7eabf61a2a8d32c63a2a69a2640afd6f503e3	372ceede7ab9f86aeeaf160336b7eabf61a2a8d32c63a2a69a2640afd6f503e3	372ceede7ab9f86aeeaf160336b7eabf61a2a8d32c63a2a69a2640afd6f503e3	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	157153	A1-spacemit	83527b92ede7c4a8a9acedff39a3ce9e228c4feaec64ce9134b07a9dc41dcd99	9a60e377205b84f0010ac1b066f4484566ef6f2548df6bffe7e592d5d4053500	9a60e377205b84f0010ac1b066f4484566ef6f2548df6bffe7e592d5d4053500	9a60e377205b84f0010ac1b066f4484566ef6f2548df6bffe7e592d5d4053500	0.0	0.0	1.0000001192092896	0.0	0.0	1.0000001192092896	yes	pass
large-loss	555263	B2-cpu	b52f01b71bee64dc1e6361f2d66074479ed292dbf8a36518844501da60860d66	5a44b73cb762ce89e65451e29ecc58a4391952a92563082fd66b7094ba68211a	5a44b73cb762ce89e65451e29ecc58a4391952a92563082fd66b7094ba68211a	5a44b73cb762ce89e65451e29ecc58a4391952a92563082fd66b7094ba68211a	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	555263	B2-spacemit	68281404ff8c5d4a1b2ac0c4a0c96ad32fe743316c80f2e00ae82cd1658a9252	b0de3487683e3f96e32f476c9f71b2314b52c5d757c122934bf5f3a40673ab09	b0de3487683e3f96e32f476c9f71b2314b52c5d757c122934bf5f3a40673ab09	b0de3487683e3f96e32f476c9f71b2314b52c5d757c122934bf5f3a40673ab09	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	555263	A1-cpu	b0d05f3dfec50b0761f70f8abb49a69a7d9b88b7387afe2b660877f404a08d07	411e664500221c5fabca427d15c02c9b46488a09dfa2c36290a18320a400c6ce	411e664500221c5fabca427d15c02c9b46488a09dfa2c36290a18320a400c6ce	411e664500221c5fabca427d15c02c9b46488a09dfa2c36290a18320a400c6ce	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	555263	A1-spacemit	c5e9fa3ebc508fa8ca70cec5b1dd5cf19eee0afdf57388e9dd5b1ce6adb99818	31a23516fb1530b96173acba6389faa3d39993202e12ae47ab1cb7536a76d1c6	31a23516fb1530b96173acba6389faa3d39993202e12ae47ab1cb7536a76d1c6	31a23516fb1530b96173acba6389faa3d39993202e12ae47ab1cb7536a76d1c6	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	549409	B2-cpu	2af1abcda87be4a266d733e9e8554d45a542667aa3a85499a3fdf9348b424cc3	e4f71757f49042a33257ce586ea7897992f4244644bfb180faea7302468b18a5	e4f71757f49042a33257ce586ea7897992f4244644bfb180faea7302468b18a5	e4f71757f49042a33257ce586ea7897992f4244644bfb180faea7302468b18a5	0.0	0.0	0.9999998807907104	0.0	0.0	0.9999998807907104	yes	pass
large-loss	549409	B2-spacemit	bd82f643e8378992d925a50407a3d1dd94aa953411e7edcd29a7d2a24baa6810	e9e5a1efe19df641d28618c814cb9da2d0d1a350202096794aa5d8189dd985e6	e9e5a1efe19df641d28618c814cb9da2d0d1a350202096794aa5d8189dd985e6	e9e5a1efe19df641d28618c814cb9da2d0d1a350202096794aa5d8189dd985e6	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	549409	A1-cpu	94e92bf9556d5a7236d45e9f01133f802e70511ecac35f481eea2eedab91e935	0e8b37587e74827a9008c6c7072318fe7f69dc58e10dce1a83551db8fae97c4a	0e8b37587e74827a9008c6c7072318fe7f69dc58e10dce1a83551db8fae97c4a	0e8b37587e74827a9008c6c7072318fe7f69dc58e10dce1a83551db8fae97c4a	0.0	0.0	1.0000001192092896	0.0	0.0	1.0000001192092896	yes	pass
large-loss	549409	A1-spacemit	d04bc8c63503364172b69b19f6114b306b43ce2f66151311de6494619b5c3de1	56519e6de0628b5fee1ff237f7dfa20d1144960a17b2645607faa717045b6ac6	56519e6de0628b5fee1ff237f7dfa20d1144960a17b2645607faa717045b6ac6	56519e6de0628b5fee1ff237f7dfa20d1144960a17b2645607faa717045b6ac6	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	239596	B2-cpu	7b1c3af435f1a34307f8cb6a1cacf4d04a6e5c70e2af31a6affb47a19a06be7b	da13e3377668b32a02b4f6e3e4bee4adbe826f985e2a03c1cde6085e97079a1e	da13e3377668b32a02b4f6e3e4bee4adbe826f985e2a03c1cde6085e97079a1e	da13e3377668b32a02b4f6e3e4bee4adbe826f985e2a03c1cde6085e97079a1e	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	239596	B2-spacemit	ec67e5606fd484a30ccf63bf45178bb72957b0d9621aa2049198dfe7384be6b0	8a4451873df20fe06ab2a825c75ed1083dcb3d66909ea435267df1749a0c53d6	8a4451873df20fe06ab2a825c75ed1083dcb3d66909ea435267df1749a0c53d6	8a4451873df20fe06ab2a825c75ed1083dcb3d66909ea435267df1749a0c53d6	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	239596	A1-cpu	0c8115a4c7be1af763f3d038d609c167f4ac7b18a52a5c3dee8372ab9aef5244	7d82fc66160349b823686d5faa3dd06b6f3d5fa9abc97d8cf43b621505b5f6a4	7d82fc66160349b823686d5faa3dd06b6f3d5fa9abc97d8cf43b621505b5f6a4	7d82fc66160349b823686d5faa3dd06b6f3d5fa9abc97d8cf43b621505b5f6a4	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	239596	A1-spacemit	7bb8107de4dc555db5457fe467f35e4b7aa5a84ed14e8be91fce0d504c3253b3	de5f8da6e6f8b34bd4617016530e050d3c8b93de89616c73fe501681f23bebf9	de5f8da6e6f8b34bd4617016530e050d3c8b93de89616c73fe501681f23bebf9	de5f8da6e6f8b34bd4617016530e050d3c8b93de89616c73fe501681f23bebf9	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	254989	B2-cpu	3577fcb0185c6515d2e24503c812374df2dd6dd82e00345b407b449394c538cd	64ef058140c844c2c554c550f57c700fa1ecc685b749d3e7a981f1059e4649f5	64ef058140c844c2c554c550f57c700fa1ecc685b749d3e7a981f1059e4649f5	64ef058140c844c2c554c550f57c700fa1ecc685b749d3e7a981f1059e4649f5	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	254989	B2-spacemit	a5d65c81333b48422c95cc86bc73de7c1fe29141cc9c71be6af2fbfcc5fc3167	00ecf3a90ba92a2780f29b41c1c045d47ae6e87aa8aa6b015fa3fc056a066c7a	00ecf3a90ba92a2780f29b41c1c045d47ae6e87aa8aa6b015fa3fc056a066c7a	00ecf3a90ba92a2780f29b41c1c045d47ae6e87aa8aa6b015fa3fc056a066c7a	0.0	0.0	0.9999998807907104	0.0	0.0	0.9999998807907104	yes	pass
large-loss	254989	A1-cpu	e58979e5550b81152ce37e6a4e259ef5b64c0305e9b9d88e150e29aaa3e690d0	f36941dc674489b49fa5c5b30bbf78e79f6e79d804c3230974e356e04f614add	f36941dc674489b49fa5c5b30bbf78e79f6e79d804c3230974e356e04f614add	f36941dc674489b49fa5c5b30bbf78e79f6e79d804c3230974e356e04f614add	0.0	0.0	1.0	0.0	0.0	1.0	yes	pass
large-loss	254989	A1-spacemit	29b57a3ff016b7bb34d6a72b63edaf6aa5138569c5d7511a3f80e0d316d0e9a1	adaea4cf4ac89593145a03c673aefb17b186d371bf4f173876bf1d6a68e5efb4	adaea4cf4ac89593145a03c673aefb17b186d371bf4f173876bf1d6a68e5efb4	adaea4cf4ac89593145a03c673aefb17b186d371bf4f173876bf1d6a68e5efb4	0.0	0.0	1.0000001192092896	0.0	0.0	1.0000001192092896	yes	pass
large-loss	294348	B2-cpu	0eb0ddda06787b3e304749fea059c339b6e177661087fcf410ea8c9a45f6e199	10161a8148143a8279e09182aab314096cc3daa7744008369a01cbad51c7ceff	10161a8148143a8279e09182aab314096cc3daa7744008369a01cbad51c7ceff	10161a8148143a8279e09182aab314096cc3daa7744008369a01cbad51c7ceff	0.0	0.0	1.0000001192092896	0.0	0.0	1.0000001192092896	yes	pass
