selection_group	image_id	model	score_threshold	cpu_above_ep_below	ep_above_cpu_below	cpu_above_count	ep_above_count
large-loss	209356	B2	0.001	22	14	76	69
large-loss	209356	B2	0.01	4	5	13	16
large-loss	209356	B2	0.05	3	1	8	7
large-loss	209356	B2	0.25	0	0	2	2
large-loss	209356	B2	0.5	1	0	1	0
large-loss	209356	A1	0.001	17	16	67	68
large-loss	209356	A1	0.01	3	3	12	13
large-loss	209356	A1	0.05	0	0	6	6
large-loss	209356	A1	0.25	0	0	2	2
large-loss	209356	A1	0.5	0	0	0	0
large-loss	157153	B2	0.001	0	0	300	300
large-loss	157153	B2	0.01	5	19	87	95
large-loss	157153	B2	0.05	4	3	25	22
large-loss	157153	B2	0.25	0	0	13	11
large-loss	157153	B2	0.5	0	0	8	8
large-loss	157153	A1	0.001	0	0	300	300
large-loss	157153	A1	0.01	6	17	87	95
large-loss	157153	A1	0.05	6	2	25	21
large-loss	157153	A1	0.25	1	0	13	10
large-loss	157153	A1	0.5	0	1	7	8
large-loss	555263	B2	0.001	0	0	300	300
large-loss	555263	B2	0.01	9	8	66	64
large-loss	555263	B2	0.05	4	5	24	24
large-loss	555263	B2	0.25	2	2	7	7
large-loss	555263	B2	0.5	0	1	2	3
large-loss	555263	A1	0.001	0	0	300	300
large-loss	555263	A1	0.01	13	8	64	57
large-loss	555263	A1	0.05	3	3	24	23
large-loss	555263	A1	0.25	1	2	7	8
large-loss	555263	A1	0.5	0	1	2	3
large-loss	549409	B2	0.001	13	17	97	103
large-loss	549409	B2	0.01	3	4	23	24
large-loss	549409	B2	0.05	2	2	7	8
large-loss	549409	B2	0.25	0	0	3	3
large-loss	549409	B2	0.5	1	0	2	1
large-loss	549409	A1	0.001	12	18	94	101
large-loss	549409	A1	0.01	4	4	22	22
large-loss	549409	A1	0.05	1	1	6	7
large-loss	549409	A1	0.25	0	0	3	3
large-loss	549409	A1	0.5	1	0	2	1
large-loss	239596	B2	0.001	13	17	251	246
large-loss	239596	B2	0.01	12	6	40	35
large-loss	239596	B2	0.05	3	3	10	11
large-loss	239596	B2	0.25	1	1	4	4
large-loss	239596	B2	0.5	1	1	4	4
large-loss	239596	A1	0.001	19	18	243	240
large-loss	239596	A1	0.01	10	4	40	34
large-loss	239596	A1	0.05	1	3	10	12
large-loss	239596	A1	0.25	0	0	4	4
large-loss	239596	A1	0.5	0	0	4	4
large-loss	254989	B2	0.001	2	5	7	10
large-loss	254989	B2	0.01	0	1	2	3
large-loss	254989	B2	0.05	0	0	1	1
large-loss	254989	B2	0.25	0	0	1	1
large-loss	254989	B2	0.5	0	0	1	1
large-loss	254989	A1	0.001	3	3	8	8
large-loss	254989	A1	0.01	0	1	2	3
large-loss	254989	A1	0.05	0	0	1	1
large-loss	254989	A1	0.25	0	0	1	1
large-loss	254989	A1	0.5	0	0	1	1
large-loss	294348	B2	0.001	10	5	35	32
large-loss	294348	B2	0.01	1	0	8	7
large-loss	294348	B2	0.05	1	0	3	2
large-loss	294348	B2	0.25	0	0	1	1
large-loss	294348	B2	0.5	0	0	1	1
large-loss	294348	A1	0.001	7	10	28	31
large-loss	294348	A1	0.01	3	0	7	4
large-loss	294348	A1	0.05	1	0	3	2
large-loss	294348	A1	0.25	0	0	1	1
large-loss	294348	A1	0.5	0	0	1	1
large-loss	95295	B2	0.001	20	24	186	182
large-loss	95295	B2	0.01	10	9	32	32
large-loss	95295	B2	0.05	4	3	10	9
large-loss	95295	B2	0.25	1	1	4	4
large-loss	95295	B2	0.5	1	2	2	3
large-loss	95295	A1	0.001	16	30	157	169
large-loss	95295	A1	0.01	7	8	28	29
large-loss	95295	A1	0.05	2	1	9	8
large-loss	95295	A1	0.25	1	1	4	4
large-loss	95295	A1	0.5	0	1	1	2
large-loss	117300	B2	0.001	29	29	149	147
large-loss	117300	B2	0.01	6	3	28	26
large-loss	117300	B2	0.05	3	3	13	13
large-loss	117300	B2	0.25	0	0	6	6
large-loss	117300	B2	0.5	0	0	4	4
large-loss	117300	A1	0.001	21	27	129	135
large-loss	117300	A1	0.01	4	3	23	22
large-loss	117300	A1	0.05	3	2	13	12
large-loss	117300	A1	0.25	0	0	6	6
large-loss	117300	A1	0.5	0	0	4	4
large-loss	4731	B2	0.001	0	0	300	300
large-loss	4731	B2	0.01	8	9	74	75
large-loss	4731	B2	0.05	2	2	19	19
large-loss	4731	B2	0.25	1	0	5	4
large-loss	4731	B2	0.5	0	0	3	3
large-loss	4731	A1	0.001	0	0	300	300
large-loss	4731	A1	0.01	10	12	73	75
large-loss	4731	A1	0.05	5	3	19	17
large-loss	4731	A1	0.25	0	0	4	4
large-loss	4731	A1	0.5	0	0	3	3
large-loss	143445	B2	0.001	0	0	300	300
large-loss	143445	B2	0.01	11	11	69	68
large-loss	143445	B2	0.05	6	4	25	23
large-loss	143445	B2	0.25	2	1	10	9
large-loss	143445	B2	0.5	1	0	6	5
large-loss	143445	A1	0.001	0	0	300	300
large-loss	143445	A1	0.01	7	14	62	69
large-loss	143445	A1	0.05	6	3	24	21
large-loss	143445	A1	0.25	1	0	9	8
large-loss	143445	A1	0.5	0	0	6	6
large-loss	209018	B2	0.001	30	21	198	181
large-loss	209018	B2	0.01	7	5	34	32
large-loss	209018	B2	0.05	2	1	8	7
large-loss	209018	B2	0.25	0	0	3	3
large-loss	209018	B2	0.5	0	0	3	3
large-loss	209018	A1	0.001	29	20	184	168
large-loss	209018	A1	0.01	8	6	33	31
large-loss	209018	A1	0.05	0	1	6	7
large-loss	209018	A1	0.25	0	0	3	3
