selection_group	image_id	model	top_k	matched_members	cpu_only_members	ep_only_members	mean_rank_displacement	maximum_rank_displacement
large-loss	209356	B2	10	8	2	2	1.0	4
large-loss	209356	B2	50	44	6	6	6.295454545454546	24
large-loss	209356	B2	100	82	18	18	13.085365853658537	68
large-loss	209356	B2	300	246	54	54	46.7520325203252	280
large-loss	209356	A1	10	8	2	2	0.5	2
large-loss	209356	A1	50	41	9	9	5.536585365853658	26
large-loss	209356	A1	100	83	17	17	12.72289156626506	82
large-loss	209356	A1	300	247	53	53	47.92307692307692	273
large-loss	157153	B2	10	9	1	1	0.1111111111111111	1
large-loss	157153	B2	50	40	10	10	4.9	26
large-loss	157153	B2	100	86	14	14	11.976744186046512	90
large-loss	157153	B2	300	265	35	35	29.29056603773585	267
large-loss	157153	A1	10	9	1	1	1.4444444444444444	6
large-loss	157153	A1	50	41	9	9	4.902439024390244	29
large-loss	157153	A1	100	84	16	16	11.952380952380953	86
large-loss	157153	A1	300	267	33	33	31.142322097378276	266
large-loss	555263	B2	10	9	1	1	0.8888888888888888	2
large-loss	555263	B2	50	45	5	5	6.044444444444444	27
large-loss	555263	B2	100	86	14	14	10.19767441860465	73
large-loss	555263	B2	300	255	45	45	35.976470588235294	251
large-loss	555263	A1	10	7	3	3	1.0	3
large-loss	555263	A1	50	43	7	7	5.744186046511628	23
large-loss	555263	A1	100	88	12	12	11.534090909090908	78
large-loss	555263	A1	300	254	46	46	31.6496062992126	208
large-loss	549409	B2	10	7	3	3	0.7142857142857143	1
large-loss	549409	B2	50	43	7	7	6.255813953488372	39
large-loss	549409	B2	100	87	13	13	11.114942528735632	61
large-loss	549409	B2	300	250	50	50	30.676	280
large-loss	549409	A1	10	7	3	3	0.8571428571428571	4
large-loss	549409	A1	50	42	8	8	4.9523809523809526	31
large-loss	549409	A1	100	85	15	15	12.611764705882353	85
large-loss	549409	A1	300	247	53	53	29.967611336032387	264
large-loss	239596	B2	10	9	1	1	0.4444444444444444	2
large-loss	239596	B2	50	46	4	4	4.586956521739131	31
large-loss	239596	B2	100	86	14	14	10.19767441860465	67
large-loss	239596	B2	300	266	34	34	28.793233082706767	273
large-loss	239596	A1	10	9	1	1	0.4444444444444444	1
large-loss	239596	A1	50	44	6	6	4.840909090909091	16
large-loss	239596	A1	100	89	11	11	10.932584269662922	52
large-loss	239596	A1	300	268	32	32	30.67910447761194	200
large-loss	254989	B2	10	7	3	3	1.4285714285714286	3
large-loss	254989	B2	50	38	12	12	11.973684210526315	43
large-loss	254989	B2	100	78	22	22	21.435897435897434	76
large-loss	254989	B2	300	247	53	53	48.417004048582996	218
large-loss	254989	A1	10	6	4	4	1.1666666666666667	3
large-loss	254989	A1	50	35	15	15	10.285714285714286	39
large-loss	254989	A1	100	81	19	19	22.839506172839506	68
large-loss	254989	A1	300	253	47	47	45.948616600790515	282
large-loss	294348	B2	10	8	2	2	1.0	3
large-loss	294348	B2	50	40	10	10	5.625	27
large-loss	294348	B2	100	82	18	18	14.292682926829269	67
large-loss	294348	B2	300	253	47	47	41.0	234
large-loss	294348	A1	10	8	2	2	1.75	6
large-loss	294348	A1	50	40	10	10	7.425	26
large-loss	294348	A1	100	76	24	24	15.118421052631579	67
large-loss	294348	A1	300	250	50	50	48.272	260
large-loss	95295	B2	10	8	2	2	0.5	2
large-loss	95295	B2	50	43	7	7	8.0	28
large-loss	95295	B2	100	84	16	16	15.535714285714286	74
large-loss	95295	B2	300	243	57	57	38.699588477366255	230
large-loss	95295	A1	10	8	2	2	0.75	2
large-loss	95295	A1	50	42	8	8	7.642857142857143	33
large-loss	95295	A1	100	84	16	16	16.904761904761905	81
large-loss	95295	A1	300	238	62	62	37.063025210084035	228
large-loss	117300	B2	10	9	1	1	0.8888888888888888	2
large-loss	117300	B2	50	39	11	11	4.256410256410256	17
large-loss	117300	B2	100	90	10	10	14.622222222222222	83
large-loss	117300	B2	300	261	39	39	45.89655172413793	227
large-loss	117300	A1	10	9	1	1	0.4444444444444444	2
large-loss	117300	A1	50	44	6	6	6.25	28
large-loss	117300	A1	100	90	10	10	12.133333333333333	47
large-loss	117300	A1	300	264	36	36	40.49242424242424	251
large-loss	4731	B2	10	8	2	2	0.875	3
large-loss	4731	B2	50	45	5	5	7.0	38
large-loss	4731	B2	100	90	10	10	9.8	60
large-loss	4731	B2	300	252	48	48	30.575396825396826	239
large-loss	4731	A1	10	7	3	3	0.7142857142857143	3
large-loss	4731	A1	50	45	5	5	6.155555555555556	25
large-loss	4731	A1	100	91	9	9	10.527472527472527	66
large-loss	4731	A1	300	255	45	45	29.24705882352941	139
large-loss	143445	B2	10	10	0	0	1.2	4
large-loss	143445	B2	50	45	5	5	6.111111111111111	32
large-loss	143445	B2	100	89	11	11	12.415730337078651	66
large-loss	143445	B2	300	262	38	38	32.55725190839695	176
large-loss	143445	A1	10	10	0	0	0.6	3
large-loss	143445	A1	50	42	8	8	5.523809523809524	25
large-loss	143445	A1	100	88	12	12	11.193181818181818	64
large-loss	143445	A1	300	258	42	42	35.934108527131784	261
large-loss	209018	B2	10	9	1	1	0.2222222222222222	1
large-loss	209018	B2	50	44	6	6	5.931818181818182	34
large-loss	209018	B2	100	86	14	14	9.534883720930232	54
large-loss	209018	B2	300	251	49	49	40.23107569721115	227
large-loss	209018	A1	10	10	0	0	0.8	3
large-loss	209018	A1	50	44	6	6	6.113636363636363	39
large-loss	209018	A1	100	85	15	15	11.741176470588234	49
large-loss	209018	A1	300	251	49	49	43.08764940239044	259
large-loss	295575	B2	10	9	1	1	0.7777777777777778	3
large-loss	295575	B2	50	45	5	5	3.1333333333333333	15
large-loss	295575	B2	100	89	11	11	6.685393258426966	42
large-loss	295575	B2	300	275	25	25	24.26909090909091	204
large-loss	295575	A1	10	9	1	1	0.4444444444444444	2
large-loss	295575	A1	50	43	7	7	3.2790697674418605	26
large-loss	295575	A1	100	90	10	10	6.9222222222222225	29
large-loss	295575	A1	300	274	26	26	23.8978102189781	106
large-loss	18654	B2	10	9	1	1	1.4444444444444444	6
large-loss	18654	B2	50	42	8	8	6.4523809523809526	35
large-loss	18654	B2	100	83	17	17	11.975903614457831	61
large-loss	18654	B2	300	260	40	40	35.15	268
large-loss	18654	A1	10	9	1	1	1.7777777777777777	4
large-loss	18654	A1	50	42	8	8	5.023809523809524	37
large-loss	18654	A1	100	83	17	17	10.566265060240964	77
large-loss	18654	A1	300	261	39	39	38.45977011494253	269
large-loss	65420	B2	10	9	1	1	2.2222222222222223	6
large-loss	65420	B2	50	43	7	7	6.209302325581396	42
large-loss	65420	B2	100	86	14	14	12.232558139534884	61
large-loss	65420	B2	300	263	37	37	35.946768060836504	188
large-loss	65420	A1	10	8	2	2	2.125	5
large-loss	65420	A1	50	45	5	5	5.644444444444445	29
large-loss	65420	A1	100	85	15	15	13.176470588235293	75
large-loss	65420	A1	300	255	45	45	32.95294117647059	247
large-loss	82740	B2	10	8	2	2	0.75	4
large-loss	82740	B2	50	40	10	10	7.125	24
large-loss	82740	B2	100	82	18	18	12.902439024390244	52
large-loss	82740	B2	300	258	42	42	36.05038759689923	217
large-loss	82740	A1	10	8	2	2	1.125	4
large-loss	82740	A1	50	37	13	13	6.108108108108108	21
large-loss	82740	A1	100	85	15	15	16.694117647058825	69
large-loss	82740	A1	300	260	40	40	36.92307692307692	228
large-loss	212197	B2	10	9	1	1	1.1111111111111112	5
large-loss	212197	B2	50	43	7	7	4.813953488372093	20
large-loss	212197	B2	100	87	13	13	10.632183908045977	67
large-loss	212197	B2	300	263	37	37	28.977186311787072	155
large-loss	212197	A1	10	10	0	0	0.6	2
large-loss	212197	A1	50	43	7	7	4.395348837209302	19
large-loss	212197	A1	100	85	15	15	8.588235294117647	35
large-loss	212197	A1	300	267	33	33	33.99625468164794	182
large-loss	217855	B2	10	8	2	2	0.375	2
large-loss	217855	B2	50	42	8	8	5.571428571428571	42
large-loss	217855	B2	100	84	16	16	10.452380952380953	80
large-loss	217855	B2	300	260	40	40	34.23076923076923	241
large-loss	217855	A1	10	9	1	1	2.0	4
large-loss	217855	A1	50	45	5	5	7.466666666666667	36
large-loss	217855	A1	100	86	14	14	12.63953488372093	82
large-loss	217855	A1	300	262	38	38	34.0	235
large-loss	245971	B2	10	10	0	0	0.4	2
large-loss	245971	B2	50	42	8	8	6.023809523809524	34
large-loss	245971	B2	100	83	17	17	14.951807228915662	89
large-loss	245971	B2	300	256	44	44	41.0859375	293
large-loss	245971	A1	10	10	0	0	1.2	3
large-loss	245971	A1	50	44	6	6	5.659090909090909	20
large-loss	245971	A1	100	84	16	16	12.273809523809524	58
large-loss	245971	A1	300	262	38	38	43.034351145038165	247
large-loss	297620	B2	10	8	2	2	1.25	2
large-loss	297620	B2	50	44	6	6	7.113636363636363	26
large-loss	297620	B2	100	91	9	9	12.725274725274724	58
large-loss	297620	B2	300	264	36	36	38.45454545454545	247
large-loss	297620	A1	10	8	2	2	1.625	2
large-loss	297620	A1	50	43	7	7	7.186046511627907	30
large-loss	297620	A1	100	85	15	15	14.611764705882353	71
large-loss	297620	A1	300	261	39	39	38.272030651341	209
large-loss	308310	B2	10	10	0	0	0.6	3
large-loss	308310	B2	50	41	9	9	4.317073170731708	28
large-loss	308310	B2	100	86	14	14	9.755813953488373	51
large-loss	308310	B2	300	268	32	32	29.152985074626866	142
large-loss	308310	A1	10	10	0	0	0.4	1
large-loss	308310	A1	50	41	9	9	3.8292682926829267	18
large-loss	308310	A1	100	87	13	13	10.586206896551724	49
large-loss	308310	A1	300	266	34	34	31.928571428571427	182
large-loss	334032	B2	10	8	2	2	0.875	4
large-loss	334032	B2	50	44	6	6	5.045454545454546	21
large-loss	334032	B2	100	88	12	12	11.556818181818182	81
large-loss	334032	B2	300	262	38	38	34.12595419847328	254
large-loss	334032	A1	10	9	1	1	0.4444444444444444	1
large-loss	334032	A1	50	45	5	5	5.177777777777778	33
large-loss	334032	A1	100	87	13	13	10.908045977011493	66
large-loss	334032	A1	300	262	38	38	31.629770992366414	246
large-loss	375194	B2	10	9	1	1	1.1111111111111112	6
large-loss	375194	B2	50	45	5	5	5.444444444444445	21
large-loss	375194	B2	100	86	14	14	12.104651162790697	62
large-loss	375194	B2	300	254	46	46	40.90944881889764	200
large-loss	375194	A1	10	8	2	2	1.25	6
large-loss	375194	A1	50	45	5	5	4.711111111111111	18
large-loss	375194	A1	100	87	13	13	11.28735632183908	49
large-loss	375194	A1	300	248	52	52	42.04838709677419	213
large-loss	375759	B2	10	10	0	0	1.6	5
large-loss	375759	B2	50	41	9	9	5.097560975609756	26
large-loss	375759	B2	100	84	16	16	9.988095238095237	47
large-loss	375759	B2	300	262	38	38	33.14885496183206	193
large-loss	375759	A1	10	10	0	0	0.6	3
large-loss	375759	A1	50	41	9	9	4.463414634146342	22
large-loss	375759	A1	100	86	14	14	9.430232558139535	51
large-loss	375759	A1	300	254	46	46	38.523622047244096	272
large-loss	389157	B2	10	9	1	1	0.1111111111111111	1
large-loss	389157	B2	50	45	5	5	3.8222222222222224	15
large-loss	389157	B2	100	90	10	10	8.666666666666666	57
large-loss	389157	B2	300	274	26	26	30.124087591240876	230
large-loss	389157	A1	10	10	0	0	0.6	3
large-loss	389157	A1	50	44	6	6	3.340909090909091	15
large-loss	389157	A1	100	90	10	10	9.255555555555556	78
large-loss	389157	A1	300	272	28	28	29.863970588235293	278
large-loss	424632	B2	10	10	0	0	1.2	4
large-loss	424632	B2	50	43	7	7	7.906976744186046	32
large-loss	424632	B2	100	91	9	9	13.054945054945055	75
large-loss	424632	B2	300	266	34	34	27.31578947368421	138
large-loss	424632	A1	10	10	0	0	0.6	3
large-loss	424632	A1	50	42	8	8	5.261904761904762	27
large-loss	424632	A1	100	88	12	12	12.920454545454545	91
large-loss	424632	A1	300	263	37	37	27.24334600760456	186
large-loss	430175	B2	10	9	1	1	0.5555555555555556	3
large-loss	430175	B2	50	47	3	3	3.3191489361702127	14
large-loss	430175	B2	100	93	7	7	7.956989247311828	68
large-loss	430175	B2	300	267	33	33	24.408239700374533	287
large-loss	430175	A1	10	9	1	1	0.4444444444444444	2
large-loss	430175	A1	50	49	1	1	2.693877551020408	12
large-loss	430175	A1	100	93	7	7	7.870967741935484	70
large-loss	430175	A1	300	268	32	32	24.69402985074627	228
large-loss	469014	B2	10	8	2	2	1.625	2
large-loss	469014	B2	50	43	7	7	3.2790697674418605	15
large-loss	469014	B2	100	87	13	13	8.471264367816092	45
large-loss	469014	B2	300	262	38	38	29.564885496183205	189
large-loss	469014	A1	10	9	1	1	0.8888888888888888	4
large-loss	469014	A1	50	45	5	5	3.422222222222222	21
large-loss	469014	A1	100	90	10	10	8.61111111111111	39
large-loss	469014	A1	300	266	34	34	28.69924812030075	201
large-loss	473793	B2	10	9	1	1	1.8888888888888888	4
large-loss	473793	B2	50	40	10	10	10.2	34
large-loss	473793	B2	100	88	12	12	16.443181818181817	80
large-loss	473793	B2	300	247	53	53	44.526315789473685	229
large-loss	473793	A1	10	8	2	2	1.5	5
large-loss	473793	A1	50	42	8	8	10.095238095238095	36
large-loss	473793	A1	100	87	13	13	16.057471264367816	61
large-loss	473793	A1	300	249	51	51	46.389558232931726	264
large-loss	533239	B2	10	7	3	3	1.0	5
large-loss	533239	B2	50	46	4	4	5.260869565217392	20
large-loss	533239	B2	100	86	14	14	10.127906976744185	75
large-loss	533239	B2	300	251	49	49	47.286852589641434	257
large-loss	533239	A1	10	6	4	4	0.3333333333333333	1
large-loss	533239	A1	50	43	7	7	6.511627906976744	32
large-loss	533239	A1	100	81	19	19	12.851851851851851	85
large-loss	533239	A1	300	250	50	50	46.776	228
large-loss	540520	B2	10	9	1	1	0.6666666666666666	1
large-loss	540520	B2	50	43	7	7	7.651162790697675	42
large-loss	540520	B2	100	87	13	13	9.89655172413793	41
large-loss	540520	B2	300	267	33	33	33.96629213483146	249
large-loss	540520	A1	10	9	1	1	0.8888888888888888	2
large-loss	540520	A1	50	43	7	7	6.488372093023256	40
large-loss	540520	A1	100	88	12	12	11.636363636363637	66
large-loss	540520	A1	300	263	37	37	30.897338403041825	231
large-loss	2471	B2	10	6	4	4	0.0	0
large-loss	2471	B2	50	42	8	8	9.023809523809524	41
large-loss	2471	B2	100	80	20	20	21.0625	89
large-loss	2471	B2	300	247	53	53	52.46153846153846	262
large-loss	2471	A1	10	7	3	3	0.8571428571428571	3
large-loss	2471	A1	50	41	9	9	8.268292682926829	38
large-loss	2471	A1	100	82	18	18	17.74390243902439	79
large-loss	2471	A1	300	249	51	51	49.46184738955823	232
small-loss	94439	B2	10	9	1	1	0.6666666666666666	2
small-loss	94439	B2	50	45	5	5	4.111111111111111	17
small-loss	94439	B2	100	88	12	12	9.0	55
small-loss	94439	B2	300	263	37	37	31.96958174904943	194
small-loss	94439	A1	10	9	1	1	0.4444444444444444	2
small-loss	94439	A1	50	46	4	4	4.782608695652174	34
small-loss	94439	A1	100	84	16	16	8.404761904761905	41
small-loss	94439	A1	300	260	40	40	32.66538461538462	218
small-loss	237759	B2	10	8	2	2	1.625	3
small-loss	237759	B2	50	47	3	3	3.148936170212766	15
small-loss	237759	B2	100	91	9	9	8.791208791208792	89
small-loss	237759	B2	300	273	27	27	20.043956043956044	195
small-loss	237759	A1	10	8	2	2	0.75	2
small-loss	237759	A1	50	46	4	4	2.9130434782608696	14
small-loss	237759	A1	100	91	9	9	8.505494505494505	72
small-loss	237759	A1	300	279	21	21	22.508960573476703	290
small-loss	441012	B2	10	9	1	1	0.4444444444444444	2
small-loss	441012	B2	50	45	5	5	3.2222222222222223	19
small-loss	441012	B2	100	87	13	13	8.954022988505747	53
small-loss	441012	B2	300	273	27	27	25.19047619047619	232
small-loss	441012	A1	10	9	1	1	1.1111111111111112	3
small-loss	441012	A1	50	43	7	7	2.953488372093023	9
small-loss	441012	A1	100	85	15	15	10.341176470588236	78
small-loss	441012	A1	300	275	25	25	26.26909090909091	279
small-loss	365947	B2	10	9	1	1	0.7777777777777778	2
small-loss	365947	B2	50	39	11	11	4.615384615384615	19
small-loss	365947	B2	100	86	14	14	12.848837209302326	60
small-loss	365947	B2	300	261	39	39	28.417624521072796	139
small-loss	365947	A1	10	9	1	1	1.0	3
small-loss	365947	A1	50	41	9	9	5.219512195121951	22
small-loss	365947	A1	100	89	11	11	11.393258426966293	54
small-loss	365947	A1	300	263	37	37	26.55513307984791	159
small-loss	430122	B2	10	9	1	1	1.0	4
small-loss	430122	B2	50	46	4	4	5.1521739130434785	19
small-loss	430122	B2	100	94	6	6	9.574468085106384	51
small-loss	430122	B2	300	279	21	21	21.39426523297491	119
small-loss	430122	A1	10	9	1	1	1.0	3
small-loss	430122	A1	50	45	5	5	5.733333333333333	34
small-loss	430122	A1	100	90	10	10	10.433333333333334	40
small-loss	430122	A1	300	277	23	23	21.819494584837546	113
small-loss	249184	B2	10	8	2	2	1.5	5
small-loss	249184	B2	50	45	5	5	3.577777777777778	12
small-loss	249184	B2	100	86	14	14	7.174418604651163	42
small-loss	249184	B2	300	261	39	39	27.21072796934866	235
small-loss	249184	A1	10	8	2	2	1.625	9
small-loss	249184	A1	50	46	4	4	3.391304347826087	11
small-loss	249184	A1	100	88	12	12	8.545454545454545	42
small-loss	249184	A1	300	264	36	36	31.401515151515152	248
small-loss	495956	B2	10	9	1	1	1.1111111111111112	3
small-loss	495956	B2	50	46	4	4	3.0652173913043477	13
small-loss	495956	B2	100	93	7	7	7.483870967741935	54
small-loss	495956	B2	300	276	24	24	21.221014492753625	127
small-loss	495956	A1	10	9	1	1	1.1111111111111112	3
small-loss	495956	A1	50	46	4	4	2.847826086956522	15
small-loss	495956	A1	100	93	7	7	6.763440860215054	31
small-loss	495956	A1	300	274	26	26	24.193430656934307	211
small-loss	272807	B2	10	9	1	1	0.2222222222222222	1
small-loss	272807	B2	50	45	5	5	3.977777777777778	25
small-loss	272807	B2	100	90	10	10	7.377777777777778	36
small-loss	272807	B2	300	267	33	33	28.213483146067414	210
small-loss	272807	A1	10	9	1	1	0.2222222222222222	1
small-loss	272807	A1	50	46	4	4	4.0	21
small-loss	272807	A1	100	86	14	14	9.104651162790697	45
small-loss	272807	A1	300	265	35	35	30.033962264150944	168
small-loss	192091	B2	10	10	0	0	1.6	8
small-loss	192091	B2	50	44	6	6	3.8636363636363638	19
small-loss	192091	B2	100	95	5	5	7.705263157894737	39
small-loss	192091	B2	300	275	25	25	24.221818181818183	200
small-loss	192091	A1	10	10	0	0	1.8	5
small-loss	192091	A1	50	47	3	3	3.851063829787234	16
small-loss	192091	A1	100	92	8	8	6.782608695652174	32
small-loss	192091	A1	300	275	25	25	20.77090909090909	94
small-loss	301783	B2	10	9	1	1	1.5555555555555556	3
small-loss	301783	B2	50	45	5	5	4.622222222222222	19
small-loss	301783	B2	100	88	12	12	7.011363636363637	37
small-loss	301783	B2	300	271	29	29	25.387453874538746	208
small-loss	301783	A1	10	9	1	1	0.8888888888888888	2
small-loss	301783	A1	50	44	6	6	4.681818181818182	17
small-loss	301783	A1	100	90	10	10	7.933333333333334	37
small-loss	301783	A1	300	271	29	29	25.84132841328413	181
small-loss	6522	B2	10	9	1	1	0.6666666666666666	2
small-loss	6522	B2	50	45	5	5	7.222222222222222	26
small-loss	6522	B2	100	86	14	14	9.651162790697674	40
small-loss	6522	B2	300	279	21	21	27.81362007168459	136
small-loss	6522	A1	10	8	2	2	1.0	3
small-loss	6522	A1	50	46	4	4	5.826086956521739	23
small-loss	6522	A1	100	88	12	12	10.409090909090908	43
small-loss	6522	A1	300	274	26	26	27.693430656934307	142
small-loss	150867	B2	10	9	1	1	0.6666666666666666	2
small-loss	150867	B2	50	43	7	7	5.6976744186046515	25
small-loss	150867	B2	100	91	9	9	9.043956043956044	48
small-loss	150867	B2	300	267	33	33	28.617977528089888	287
small-loss	150867	A1	10	9	1	1	1.2222222222222223	8
small-loss	150867	A1	50	45	5	5	5.4222222222222225	24
small-loss	150867	A1	100	92	8	8	8.58695652173913	49
small-loss	150867	A1	300	267	33	33	27.52059925093633	222
small-loss	184585	B2	10	8	2	2	1.0	4
small-loss	184585	B2	50	46	4	4	4.630434782608695	35
small-loss	184585	B2	100	94	6	6	7.851063829787234	61
small-loss	184585	B2	300	274	26	26	22.470802919708028	221
small-loss	184585	A1	10	8	2	2	0.5	2
small-loss	184585	A1	50	44	6	6	3.840909090909091	16
small-loss	184585	A1	100	94	6	6	7.968085106382978	71
small-loss	184585	A1	300	273	27	27	21.084249084249084	123
small-loss	531894	B2	10	10	0	0	0.2	1
small-loss	531894	B2	50	46	4	4	4.065217391304348	26
small-loss	531894	B2	100	92	8	8	8.597826086956522	34
small-loss	531894	B2	300	265	35	35	26.754716981132077	139
small-loss	531894	A1	10	10	0	0	0.2	1
small-loss	531894	A1	50	46	4	4	4.456521739130435	20
small-loss	531894	A1	100	92	8	8	9.467391304347826	44
small-loss	531894	A1	300	264	36	36	25.143939393939394	163
small-loss	170232	B2	10	10	0	0	0.4	1
small-loss	170232	B2	50	45	5	5	4.266666666666667	17
small-loss	170232	B2	100	93	7	7	8.526881720430108	45
small-loss	170232	B2	300	274	26	26	22.562043795620436	198
small-loss	170232	A1	10	10	0	0	0.2	1
small-loss	170232	A1	50	43	7	7	4.162790697674419	18
small-loss	170232	A1	100	91	9	9	7.758241758241758	53
small-loss	170232	A1	300	275	25	25	21.232727272727274	169
small-loss	211919	B2	10	8	2	2	1.375	4
small-loss	211919	B2	50	41	9	9	5.121951219512195	18
small-loss	211919	B2	100	85	15	15	11.047058823529412	57
small-loss	211919	B2	300	266	34	34	31.037593984962406	196
small-loss	211919	A1	10	8	2	2	1.25	4
small-loss	211919	A1	50	42	8	8	4.976190476190476	15
small-loss	211919	A1	100	84	16	16	11.5	62
small-loss	211919	A1	300	266	34	34	33.954887218045116	190
matched-control	95161	B2	10	8	2	2	0.5	2
matched-control	95161	B2	50	46	4	4	6.195652173913044	44
matched-control	95161	B2	100	89	11	11	9.044943820224718	39
matched-control	95161	B2	300	270	30	30	25.95925925925926	159
matched-control	95161	A1	10	9	1	1	0.5555555555555556	2
matched-control	95161	A1	50	45	5	5	5.288888888888889	34
matched-control	95161	A1	100	87	13	13	9.310344827586206	41
matched-control	95161	A1	300	273	27	27	27.86080586080586	181
matched-control	104344	B2	10	10	0	0	0.2	1
matched-control	104344	B2	50	42	8	8	6.071428571428571	33
matched-control	104344	B2	100	82	18	18	12.134146341463415	54
matched-control	104344	B2	300	253	47	47	35.44268774703557	228
matched-control	104344	A1	10	9	1	1	0.2222222222222222	1
matched-control	104344	A1	50	42	8	8	6.785714285714286	32
matched-control	104344	A1	100	84	16	16	11.369047619047619	55
matched-control	104344	A1	300	257	43	43	34.490272373540854	189
matched-control	343534	B2	10	9	1	1	0.2222222222222222	1
matched-control	343534	B2	50	43	7	7	5.046511627906977	25
matched-control	343534	B2	100	86	14	14	12.546511627906977	47
matched-control	343534	B2	300	254	46	46	34.188976377952756	280
matched-control	343534	A1	10	10	0	0	1.0	4
matched-control	343534	A1	50	43	7	7	4.186046511627907	15
matched-control	343534	A1	100	85	15	15	9.729411764705882	53
matched-control	343534	A1	300	255	45	45	34.23529411764706	212
matched-control	412167	B2	10	9	1	1	0.6666666666666666	3
matched-control	412167	B2	50	37	13	13	6.297297297297297	23
matched-control	412167	B2	100	82	18	18	17.524390243902438	79
matched-control	412167	B2	300	238	62	62	46.46218487394958	265
matched-control	412167	A1	10	9	1	1	0.1111111111111111	1
matched-control	412167	A1	50	37	13	13	7.216216216216216	29
matched-control	412167	A1	100	87	13	13	17.632183908045977	74
matched-control	412167	A1	300	243	57	57	39.7037037037037	247
matched-control	371029	B2	10	9	1	1	1.8888888888888888	7
matched-control	371029	B2	50	40	10	10	7.375	37
matched-control	371029	B2	100	83	17	17	16.49397590361446	71
matched-control	371029	B2	300	266	34	34	42.578947368421055	254
matched-control	371029	A1	10	9	1	1	2.2222222222222223	8
matched-control	371029	A1	50	41	9	9	6.609756097560975	25
matched-control	371029	A1	100	83	17	17	14.710843373493976	71
matched-control	371029	A1	300	264	36	36	41.28787878787879	234
matched-control	38204	B2	10	8	2	2	1.125	4
matched-control	38204	B2	50	42	8	8	5.928571428571429	34
matched-control	38204	B2	100	84	16	16	16.69047619047619	58
matched-control	38204	B2	300	256	44	44	43.3515625	261
matched-control	38204	A1	10	8	2	2	0.625	2
matched-control	38204	A1	50	41	9	9	6.7073170731707314	44
matched-control	38204	A1	100	86	14	14	15.976744186046512	59
matched-control	38204	A1	300	250	50	50	45.064	288
matched-control	72463	B2	10	9	1	1	0.6666666666666666	2
matched-control	72463	B2	50	45	5	5	7.355555555555555	27
matched-control	72463	B2	100	85	15	15	14.070588235294117	67
matched-control	72463	B2	300	266	34	34	38.32706766917293	246
matched-control	72463	A1	10	9	1	1	0.6666666666666666	3
matched-control	72463	A1	50	43	7	7	6.046511627906977	29
matched-control	72463	A1	100	85	15	15	15.258823529411766	76
matched-control	72463	A1	300	267	33	33	37.764044943820224	232
matched-control	139914	B2	10	9	1	1	1.0	4
matched-control	139914	B2	50	44	6	6	7.090909090909091	44
matched-control	139914	B2	100	83	17	17	13.686746987951807	79
matched-control	139914	B2	300	251	49	49	37.58565737051793	221
matched-control	139914	A1	10	8	2	2	1.0	4
matched-control	139914	A1	50	42	8	8	5.523809523809524	26
matched-control	139914	A1	100	86	14	14	14.848837209302326	79
matched-control	139914	A1	300	249	51	51	38.678714859437754	217
matched-control	59483	B2	10	8	2	2	1.5	4
matched-control	59483	B2	50	43	7	7	7.046511627906977	34
matched-control	59483	B2	100	82	18	18	14.012195121951219	82
matched-control	59483	B2	300	249	51	51	48.0722891566265	248
matched-control	59483	A1	10	8	2	2	1.625	3
matched-control	59483	A1	50	42	8	8	5.095238095238095	42
matched-control	59483	A1	100	86	14	14	11.034883720930232	63
matched-control	59483	A1	300	258	42	42	48.06201550387597	245
matched-control	277563	B2	10	8	2	2	1.75	8
matched-control	277563	B2	50	41	9	9	7.902439024390244	43
matched-control	277563	B2	100	84	16	16	12.19047619047619	86
matched-control	277563	B2	300	250	50	50	36.832	189
matched-control	277563	A1	10	8	2	2	1.75	7
matched-control	277563	A1	50	42	8	8	6.428571428571429	36
matched-control	277563	A1	100	82	18	18	10.658536585365853	79
matched-control	277563	A1	300	257	43	43	37.38910505836576	268
matched-control	37566	B2	10	8	2	2	1.0	3
matched-control	37566	B2	50	41	9	9	6.878048780487805	30
matched-control	37566	B2	100	84	16	16	14.976190476190476	87
matched-control	37566	B2	300	254	46	46	49.653543307086615	271
matched-control	37566	A1	10	8	2	2	1.0	3
matched-control	37566	A1	50	42	8	8	10.19047619047619	46
matched-control	37566	A1	100	84	16	16	15.035714285714286	62
matched-control	37566	A1	300	243	57	57	46.349794238683124	231
matched-control	46345	B2	10	9	1	1	1.4444444444444444	2
matched-control	46345	B2	50	44	6	6	7.545454545454546	41
matched-control	46345	B2	100	83	17	17	13.240963855421686	85
matched-control	46345	B2	300	247	53	53	42.24291497975708	287
matched-control	46345	A1	10	7	3	3	0.8571428571428571	2
