model	provider	mode	recreation	runs	exit_code	output_sha256	boundary_manifest_sha256	unique_sample_hashes	samples_sha256	status
B2	cpu	recreate	1	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	84f9f37e244d68896daaca8539a67054011a6ff439e155b31ada1451a3d6070f	pass
B2	cpu	recreate	2	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	518fea325cdf18f5db1a72252c693ef49d415e759989e8bbec05f5e5e878463c	pass
B2	cpu	recreate	3	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	85ad663417f444cb521afc9bb23241e80b165791f0c54deb7d3a8f16ea0d19e6	pass
B2	cpu	recreate	4	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	8606337b4e5bc17ce33e891c85078b611ed2595fbd45c6369b38f486e7416f82	pass
B2	cpu	recreate	5	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	0c662ba0ae7865b8563dbb307282efb00c07c2bfc365c3c1ac9f89e42704e794	pass
B2	cpu	recreate	6	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	037e62bbc118ddaf6d90e7c8daf053998d3ab122059ff6d6d1eaa9935651e00b	pass
B2	cpu	recreate	7	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	4f87aba77c9c42f6cebe8210d037b414434cda064d67afe5e80be13744794d1d	pass
B2	cpu	recreate	8	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	62d347146c86670f25c9dfc5a88b15c595eeeae07c0dcf92d170cb1432c1b733	pass
B2	cpu	recreate	9	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	feee326b03aba04592cc561437a65a0eaa11fcf9da11c89d731b666ced4d09fc	pass
B2	cpu	recreate	10	1	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	0704a8e61128e46751c72ba8241526e45132f8f31fa61563a0089788919b8a07	1	1da0c2e888780cd0ffd28185a212f50b661237da6723b42c14481db99fd5185d	pass
