surface	model	provider	fixture	output_sha256	boundary_manifest_sha256
B2_cpu_F0	B2	cpu	F0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	3a26904eaf97463f19ec03bf655a0e3d802f6fc005787893bde079fe3bf20ccd
B2_spacemit_F0	B2	spacemit	F0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	b0d486233d80a9d697884a82e472879f87f6e5e280591743a1893bd16f103a70
C2_cpu_F0	C2	cpu	F0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	4aab9deeae80fa01c576d46a702f9ad1943279de63b8014944f57afe91f502c8
C2_spacemit_F0	C2	spacemit	F0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	ab913a83b747b91e43e7bdd276ed3950783e7736493d7a31ed59443e93e1f55d
B2_cpu_bus	B2	cpu	bus	df49a01e1758b52cc2edb3727cd1b10eae415a95c80f2a205f99a7cfe96beb63	cd5676d14eec50639eb2c40cbd79389a7a0da196de924af68539ea4d70a9bc0c
B2_spacemit_bus	B2	spacemit	bus	bb7b5736de6db7edcf3eff6dfafc79e1d6eed3fe6ed33591070bd22c8f2217f7	55a06379fe4139e4a2f120a5fac17eed0b25e81857fad51368b90be1b3b99412
C2_cpu_bus	C2	cpu	bus	94b54d35fb78ceedfe8fc8e03da28a8658708d6f3fe84ddd9f213c99b30baccc	5d0ec317d73c59cdac70bd8965c255d3c28e7908f8f625e350e602274d53e1c9
C2_spacemit_bus	C2	spacemit	bus	520259f4caca2efd55882e8e0a0c94c123f5292563fc849201ac11f784bad959	5a3309c9e77f96327af7b592d3e8a22d0d9c9c632ce6986836a080754841a5da
B2_cpu_zidane	B2	cpu	zidane	c5b79d60e6a1968a54be4adc83942629aed712ba68e97b30a01354c833d8ed28	10a0b8034dfb99d6eae8ee9e967b2c08f7099c63a6c14ff16b34443344ea9b83
B2_spacemit_zidane	B2	spacemit	zidane	c526c20ba65a733238985f188daaff628c722e909ad1373a6add7795be228813	b09271d04d30e769399d79781f23f4afd86952af71ca8b14f12eb5b2f43d1c61
C2_cpu_zidane	C2	cpu	zidane	0f9d3dd2a7bd20624fb4d18813f4e8d55c3b167d39ac8c180c856ba6f466dd67	73e9a85430b755a81715b93ff11118efa574c052e094172477dc7745b38cd65f
C2_spacemit_zidane	C2	spacemit	zidane	154f8409eb8a9307572ce3d0d9952e1c50de3426da02bd777c7d5c7715117110	3116dabf4dd2d695f4e719492c935a8640144c75b91f66fd9542724b188683fc
B2_cpu_canonical	B2	cpu	canonical	1954db9385391851bb4d5256cffe5512911f358a5b08204fa5584cb532f1644d	4a9ad3f0d713a7b800d43d23a717f62a41a9b7a4c21acf2bdece7f9b27cc0c6e
B2_spacemit_canonical	B2	spacemit	canonical	898b4a8144175083b5e46d2e173e0cea833a1bb6f4c924161f1b835f6c28893f	b3638ebbdd155bdfb63398bf7e8a15cb61d1e98ca5a4481271a97c20323e7ee9
C2_cpu_canonical	C2	cpu	canonical	6fb152293ffb57860e5584f5ab680a549266a32c541d88cf22fd1ce875512348	c215d1b8d7915372c915e4319bdc4d474cc4b581ab334c95e137cdaeea468549
C2_spacemit_canonical	C2	spacemit	canonical	3a73dc092bc2c7aa3bcf4eba38df22c2aa4a64bc56dd46b4daaeb703a99dbd91	bc8ae654d1fcf4853748e10f88b985d905449ecddaee5340c4fc720756f3e1da
