metric	replicates	seed	draw_matrix_sha256	point_interaction	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_gt_zero	probability_lt_zero	practical_margin	classification
map50_95	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0023009683171946738	-0.0021076601837284044	-0.0020185107439044114	-0.006525143091883316	0.0018067071549909657	0.146	0.854	0.002	provider-interaction-inconclusive
map50	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0027862445817156134	-0.002819647294238493	-0.0027011635226995567	-0.008180935607682035	0.0018267865016432293	0.1191	0.8809	0.005	provider-interaction-inconclusive
map75	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0035255786965162628	-0.0026464397013136985	-0.0025676046935964036	-0.008048428083137759	0.002152492520962133	0.1393	0.8607	0.005	provider-interaction-inconclusive
ap_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0008608184056860257	0.0006013996876123454	0.0005445275860801041	-0.002404884174506453	0.0037462840900326353	0.6367	0.3633	0.005	provider-neutral
ap_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0003128453036387313	0.0031825547670273385	0.003031767488390791	-0.005309893027293497	0.012249892664556956	0.7613	0.2387	0.005	provider-interaction-inconclusive
ap_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0031584186685383875	-0.0033310782295258223	-0.0034564126875426537	-0.012375158575372441	0.006122290588650125	0.2205	0.7795	0.005	provider-interaction-inconclusive
ar1	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.000791396859181781	0.0009185204835868774	0.0006332749460583875	-0.005522171474438393	0.008811107689279424	0.5743	0.4257	0.005	provider-interaction-inconclusive
ar10	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.002090209076370142	-0.0019647039671796852	-0.0019710430363740206	-0.004669701134047568	0.000713087802125497	0.0811	0.9189	0.005	provider-neutral
ar100	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0004809947379730284	0.00035522573348842617	0.0002791587833363973	-0.0019202395558526263	0.003094086200374879	0.5884	0.4116	0.005	provider-neutral
ar_small	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	0.0027571626515668912	0.0028112224330696808	0.0023998557237083495	-0.003424163276128221	0.011266530360143927	0.76	0.24	0.005	provider-interaction-inconclusive
ar_medium	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.0015215263375828458	-0.0022164638555719016	-0.0017225923757346329	-0.00969761267927749	0.0005308421701081697	0.0873	0.9127	0.005	provider-interaction-inconclusive
ar_large	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-0.00030012342318852525	-0.00039776849538126856	-0.0004238531192916617	-0.002316717672559798	0.0016287325167410824	0.3445	0.6555	0.005	provider-neutral
prediction_count	10000	65010	6fc033562e5a123ea0f7b90eb1ab4986eb95e38eb140e151f9bff5610992ccd2	-488.0	-488.0497	-487.0	-620.0	-361.0	0.0	1.0	0.0	provider-interaction-material
