surface	model	provider	mode	fixture	exit_code	output_sha256	log	inference_create_us	tail_create_us	first_inference_us	first_tail_us	first_total_us	status
B2_cpu_profile_F0	B2	cpu	profile	F0	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/profile/B2-cpu-profile/run.log	1275412.141000	16481.898000	3255354.803000	19308.251000	3274663.054000	pass
B2_cpu_repeat_F0	B2	cpu	repeat	F0	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/profile/B2-cpu-repeat/run.log	1258642.839000	16304.102000	3067429.142000	18805.032000	3086234.174000	pass
B2_spacemit_profile_F0	B2	spacemit	profile	F0	0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/profile/B2-spacemit-profile/run.log	1854409.767000	17725.216000	349255.619000	18889.241000	368144.860000	pass
B2_spacemit_repeat_F0	B2	spacemit	repeat	F0	0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/profile/B2-spacemit-repeat/run.log	1852356.504000	17388.000000	337909.539000	21093.580000	359003.119000	pass
C2_cpu_profile_F0	C2	cpu	profile	F0	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/profile/C2-cpu-profile/run.log	1250679.432000	16197.766000	3249836.743000	19017.202000	3268853.945000	pass
C2_cpu_repeat_F0	C2	cpu	repeat	F0	0	49677e5baf35ed0388788da6be8e5ce740006b4e34ed852d5165dfff33ffe426	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/profile/C2-cpu-repeat/run.log	1275300.235000	16395.978000	3061475.881000	18970.492000	3080446.373000	pass
C2_spacemit_profile_F0	C2	spacemit	profile	F0	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/profile/C2-spacemit-profile/run.log	1906103.129000	17621.212000	351372.766000	19066.744000	370439.510000	pass
C2_spacemit_repeat_F0	C2	spacemit	repeat	F0	0	5c6ce86ebcf02b21b8069f316ff609cc0c9e03cef93c2c8c09644ca07771c4f3	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/profile/C2-spacemit-repeat/run.log	1839426.060000	17498.418000	339215.336000	21050.995000	360266.331000	pass
B2_cpu_fixed_F0	B2	cpu	fixed	F0	0	0f5e224ef2e38418626746cb16bc854a8f1c2535a1f389a2d3181e7c4aaf89ec	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/B2-cpu-F0/run.log	1260395.766000	16437.728000	3043637.095000	18960.908000	3062598.003000	pass
B2_spacemit_fixed_F0	B2	spacemit	fixed	F0	0	990f1bc423375d1d078a24ca849d810436576ccf1a4f6869169ab0541795f32c	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001/fixed-fixtures/B2-spacemit-F0/run.log	1831483.517000	17572.669000	337557.627000	27001.330000	364558.957000	pass
