test_id	provider	cpus	exit_code	signal	timed_out	output_sha256	oracle_sha256	exact	session_created	result_marker	classification	status
c1_s8_conv_pc_explicit	cpu	0-3	0	0	0	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	1	stage46_result_status=pass	supported	pass
c2_s8_conv_pc_nonzero_zp	cpu	0-3	0	0	0	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	1	stage46_result_status=pass	supported	pass
c3_s8_conv_pc_no_kernel	cpu	0-3	0	0	0	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	1	stage46_result_status=pass	supported	pass
c5_s8_conv_pt_explicit	cpu	0-3	0	0	0	95bfc33d1954f88b97b5b14d55238e2e234e689863a09ec13f28c58b4eeb8c76	95bfc33d1954f88b97b5b14d55238e2e234e689863a09ec13f28c58b4eeb8c76	1	1	stage46_result_status=pass	supported	pass
m1_s8_matmul	cpu	0-3	0	0	0	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	1	stage46_result_status=pass	supported	pass
m2_s8_matmul_nonzero_zp	cpu	0-3	0	0	0	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	1	stage46_result_status=pass	supported	pass
c4_u8_conv_pc_explicit	cpu	0-3	0	0	0	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	1	stage46_result_status=pass	supported	pass
m3_u8_matmul	cpu	0-3	0	0	0	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	655c87db81176bde980778d65169ec47426f17122215e35f1c6e36be7f42bda2	1	1	stage46_result_status=pass	supported	pass
c1_s8_conv_pc_explicit	spacemit	0-3	0	0	0	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	1	stage46_result_status=pass	supported	pass
c2_s8_conv_pc_nonzero_zp	spacemit	0-3	0	0	0	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	1	stage46_result_status=pass	supported	pass
c3_s8_conv_pc_no_kernel	spacemit	0-3	0	0	0	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	98de7d805b372f0d06c219cdb46edc6b99c7c99e9283fb6c213bfc1762ef5f2a	1	1	stage46_result_status=pass	supported	pass
