surface	model	scope	provider	images	images_with_predictions	prediction_count	prediction_sha256	map50_95	map50	map75	ap_small	ap_medium	ap_large	ar_1	ar_10	ar_100	ar_small	ar_medium	ar_large	failures	non_finite_predictions	score_collapse
FP32_HOST	FP32	host	CPU	5000	4999	732374	b9ff8fa19cba9682970d8e932f3318cdf5833094ab22256a24062019309b5b2a	0.4018217950262668	0.5577825753340728	0.4360739146105322	0.19678895427851534	0.44113875379235723	0.5829462863296956	0.32999467480481326	0.5503612876783718	0.6132370826091165	0.3858430254550253	0.6712525770448269	0.8026944092232514	0	0	no
B2_HOST	B2	host	CPU	5000	4997	651637	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	0.3658592288412378	0.5273409558782952	0.39884579427083683	0.18014685069413666	0.41995524974853976	0.5201067045733788	0.3159990981454342	0.534010195074686	0.5964386487547361	0.37304614165041583	0.6466869070444184	0.7892561705814214	0	0	no
A1_HOST	A1	host	CPU	5000	4996	625640	fdae3c397ff82b005b3c0f507496392dde381fed2aaa0f5d18f03ea35c7b2df9	0.37293515356510193	0.5326067206637216	0.40504717158214076	0.1798466891332123	0.424335191892151	0.5412885140154299	0.3173798844450521	0.533046261924168	0.5945424648270914	0.37304786797371664	0.6447390182110673	0.7857334874269242	0	0	no
C2_HOST	C2	host	CPU	5000	4997	638745	0f040fe848e9fe5306f0d8974e410a3471d2bff9cbf1f3c53dc5feb1c47fa345	0.3785087779678713	0.534515337427452	0.4115699780934227	0.18046106109074492	0.4256318201041861	0.5587231596091323	0.31773212237205517	0.5337597099908042	0.5955340848941426	0.37318345390745117	0.6463790224220047	0.7868536656749086	0	0	no
B2_BOARD_CPU	B2	board	CPU	5000	4996	651439	c903721d880b1df599c6912455aa39106d94a2be2cd2ad226cce59fbdae28745	0.3656463372292463	0.5278852346100897	0.39874352251603645	0.17932368805991775	0.41959814359676467	0.5198494828990619	0.31573845557246494	0.5342097029376374	0.5965381150923276	0.3719341105104999	0.6463613044767037	0.7906467457547034	0	0	no
B2_BOARD_EP	B2	board	SpaceMIT_EP	5000	4997	652039	edba82a970a95b4e13d194044573fadccebe831f98527116d1ca9a74b00eab39	0.36625103775505324	0.5281084370886564	0.3978517454757546	0.17846463529305978	0.4190347001091716	0.5161778221644779	0.31391628569499164	0.5336110012304127	0.5965019402971384	0.3705755588855806	0.6466185120127221	0.7860352349132533	0	0	no
A1_BOARD_CPU	A1	board	CPU	5000	4996	625537	b68ff726281f905f5bfdd5ae74c0e81846951ae61437d1d512af9911c74f99c4	0.37295529005868905	0.5331435680987142	0.4050119333301419	0.17861981908481545	0.4237062444997623	0.5422165489315255	0.316971161301744	0.53243522557199	0.5943960862278231	0.3705528148447279	0.6445501098722345	0.7867248932412891	0	0	no
A1_BOARD_EP	A1	board	SpaceMIT_EP	5000	4997	637132	dd37dee3c27c5a6e981b6c75a73d9aa11c3cd74a7b8ad6178fb57d5ff513d9a0	0.37236633560910476	0.5322768907366627	0.4040011814964277	0.17670763614852739	0.4226630712084109	0.5396439600420986	0.3166255313119454	0.5305717045696297	0.5934465202508349	0.36603117681180514	0.6440096630331297	0.7805324872009713	0	0	no
C2_BOARD_CPU	C2	board	CPU	5000	4996	638556	186e53676f21f290e08f305aa78ad12031a3c7478698cb92535d881b8709dad5	0.37862579021097253	0.5346403999480234	0.4119094827759166	0.17883556931897515	0.42595095148802536	0.5584995163511642	0.31761468063778364	0.5334817187844005	0.5954976385173277	0.3703557386535225	0.6459397980383408	0.7880516711087069	0	0	no
C2_BOARD_EP	C2	board	SpaceMIT_EP	5000	4997	633640	3a805d63c1e8e9ac05d843a2da87d6238f4ec6b52d3428e647ab6071f240e11a	0.37885017812504546	0.5345702311134454	0.410820296185124	0.17821077353850343	0.4253541813184889	0.5561252307392155	0.3168199448388286	0.5323893508315954	0.5946506291199537	0.36713077389247695	0.6455755375071017	0.7829569569859146	0	0	no
