surface	reference_surface	scope_relation	map50_95	map50	map75	ap_small	ap_medium	ap_large	ar_1	ar_10	ar_100	ar_small	ar_medium	ar_large
FP32_HOST	FP32_HOST	same-scope	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B2_HOST	FP32_HOST	same-scope	-0.03596256618502902	-0.030441619455777613	-0.03722812033969536	-0.016642103584378676	-0.02118350404381747	-0.06283958175631676	-0.013995576659379061	-0.016351092603685835	-0.0167984338543804	-0.012796883804609471	-0.024565670000408435	-0.013438238641830025
A1_HOST	FP32_HOST	same-scope	-0.028886641461164875	-0.025175854670351216	-0.031026743028391424	-0.01694226514530303	-0.01680356190020621	-0.041657772314265706	-0.012614790359761152	-0.01731502575420374	-0.01869461778202508	-0.012795157481308661	-0.02651355883375961	-0.016960921796327244
C2_HOST	FP32_HOST	same-scope	-0.023313017058395502	-0.023267237906620775	-0.02450393651710947	-0.01632789318777042	-0.015506933688171132	-0.02422312672056326	-0.01226255243275809	-0.016601577687567537	-0.017702997714973856	-0.012659571547574133	-0.024873554622822147	-0.01584074354834286
B2_BOARD_CPU	FP32_HOST	cross-scope-host-fp32-context	-0.03617545779702053	-0.02989734072398309	-0.037330392094495735	-0.01746526621859759	-0.021540610195592558	-0.06309680343063373	-0.014256219232348322	-0.016151584740734415	-0.0166989675167889	-0.013908914944525397	-0.02489127256812318	-0.01204766346854802
B2_BOARD_EP	FP32_HOST	cross-scope-host-fp32-context	-0.03557075727121356	-0.029674138245416426	-0.038222169134777606	-0.018324318985455557	-0.02210405368318563	-0.06676846416521764	-0.016078389109821623	-0.016750286447959062	-0.016735142311978035	-0.015267466569444721	-0.024634065032104746	-0.01665917430999808
A1_BOARD_CPU	FP32_HOST	cross-scope-host-fp32-context	-0.028866504967577755	-0.024639007235358612	-0.031061981280390283	-0.018169135193699892	-0.017432509292594933	-0.040729737398170096	-0.01302351350306924	-0.017926062106381813	-0.01884099638129333	-0.015290210610297394	-0.026702467172592392	-0.01596951598196228
A1_BOARD_EP	FP32_HOST	cross-scope-host-fp32-context	-0.029455459417162044	-0.025505684597410094	-0.03207273311410447	-0.020081318129987952	-0.01847568258394633	-0.043302326287597004	-0.013369143492867885	-0.019789583108742126	-0.019790562358281583	-0.019811848643220165	-0.027242914011697206	-0.022161922022280067
C2_BOARD_CPU	FP32_HOST	cross-scope-host-fp32-context	-0.02319600481529427	-0.023142175386049457	-0.024164431834615585	-0.017953384959540186	-0.015187802304331866	-0.024446769978531346	-0.012379994167029618	-0.016879568893971242	-0.017739444091788736	-0.015487286801502798	-0.025312779006486097	-0.014642738114544529
C2_BOARD_EP	FP32_HOST	cross-scope-host-fp32-context	-0.022971616901221348	-0.023212344220627457	-0.025253618425408186	-0.018578180740011913	-0.01578457247386833	-0.026821055590480092	-0.013174729965984677	-0.017971936846776337	-0.01858645348916277	-0.018712251562548354	-0.025677039537725155	-0.019737452237336806
