phase	block	slot	model	provider	metric	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	resource_samples	steady_resource_samples	terminal_samples_excluded	rss_startup_first_kib	rss_min_kib	rss_max_kib	hwm_max_kib	fds_min	fds_max	threads_min	threads_max
noise_b2	0	0	B2	spacemit	inference	100	100893.79956	3996.967856840255	3.9615594558546876	99956.014	102671.1924	103014.0888	108286.47575000016	133528.2161749999	98381.193	136332.854	47	16	1	640	88412	88412	88412	4	4	11	11
noise_b2	0	0	B2	spacemit	tail	100	14794.74301	316.55467186201275	2.1396429234901104	14651.5715	15295.455100000001	15363.337950000001	15551.603840000003	16037.095483999998	14471.838	16091.039	47	16	1	640	88412	88412	88412	4	4	11	11
noise_b2	0	0	B2	spacemit	two_stage	100	115688.54256999999	4096.728963823255	3.541170865165352	114899.07	117500.8558	118052.8443	122917.68463000015	148982.87656299988	112944.993	151879.009	47	16	1	640	88412	88412	88412	4	4	11	11
noise_b2	0	1	B2	spacemit	inference	100	103466.36977	4266.000550672489	4.12307937367047	102138.74650000001	109504.5902	109837.51215	113294.78504	114198.351704	98233.079	114298.748	47	16	1	896	88284	88284	88284	4	4	11	11
noise_b2	0	1	B2	spacemit	tail	100	14948.694979999998	475.5553675101106	3.181250056585947	14722.258	15509.190400000001	15691.047700000001	16754.24977	16939.022676999997	14587.422	16959.553	47	16	1	896	88284	88284	88284	4	4	11	11
noise_b2	0	1	B2	spacemit	two_stage	100	118415.06474999999	4363.001873187262	3.6844989971491464	117057.4185	124562.18209999999	125563.55245	128089.42626	128871.03462600001	112892.21	128957.88	47	16	1	896	88284	88284	88284	4	4	11	11
noise_b2	0	2	B2	spacemit	inference	100	100347.57999	1807.1254327460404	1.8008659829426152	99876.177	102353.2703	103005.7889	107340.36570000001	108038.25927	98052.552	108115.803	47	16	1	1408	88156	88156	88156	4	4	11	11
noise_b2	0	2	B2	spacemit	tail	100	14909.43477	345.00974638936447	2.3140363917992075	14733.1305	15340.3494	15397.48505	15923.777950000002	16473.164094999996	14549.293	16534.207	47	16	1	1408	88156	88156	88156	4	4	11	11
noise_b2	0	2	B2	spacemit	two_stage	100	115257.01475999999	1901.918414226292	1.6501541517335514	114768.42199999999	117423.628	118410.27954999999	121982.11722000001	122754.188322	112947.476	122839.974	47	16	1	1408	88156	88156	88156	4	4	11	11
noise_b2	0	3	B2	spacemit	inference	100	100642.56620999999	1879.39620706593	1.8673969452889314	99970.6545	103177.0685	103840.83094999999	105532.44524000003	109272.08272399998	98375.964	109687.598	47	16	1	384	88412	88412	88412	4	4	11	11
noise_b2	0	3	B2	spacemit	tail	100	14855.89277	330.7727033587104	2.2265420764659325	14696.397	15359.2768	15464.165850000001	15571.940380000004	16166.360337999997	14458.622	16232.407	47	16	1	384	88412	88412	88412	4	4	11	11
noise_b2	0	3	B2	spacemit	two_stage	100	115498.45898	1978.8507037951822	1.7133135119472416	114880.437	117990.8455	118582.45954999999	120269.76311000003	124204.60711099999	112960.841	124641.812	47	16	1	384	88412	88412	88412	4	4	11	11
noise_b2	1	0	B2	spacemit	inference	100	101233.87172	3076.3641527286827	3.0388684147510574	100154.5575	103729.30170000001	106785.60715	115650.85261000002	115757.737861	98448.947	115769.614	47	16	1	1408	88284	88284	88284	4	4	11	11
noise_b2	1	0	B2	spacemit	tail	100	14929.75721	442.2583131212738	2.962260584017051	14717.7695	15369.621200000001	15500.55035	16970.911820000005	17315.623681999998	14526.953	17353.925	47	16	1	1408	88284	88284	88284	4	4	11	11
noise_b2	1	0	B2	spacemit	two_stage	100	116163.62892999999	3351.000375244002	2.8847242515669937	115159.4805	118378.44240000001	122028.19459999999	130989.80794000001	132561.972094	113112.32	132736.657	47	16	1	1408	88284	88284	88284	4	4	11	11
noise_b2	1	1	B2	spacemit	inference	100	100451.63743	1788.7040338795443	1.78066189824532	99656.18049999999	102931.2712	104192.7278	104854.96392	106480.31899199999	98248.332	106660.914	47	16	1	1536	88540	88540	88540	4	4	11	11
