field	actual	expected	status
version	0.10.0-internal-rd.1	0.10.0-internal-rd.1	pass
integer_contract	K1X_INT8_V1	K1X_INT8_V1	pass
tag_object	bf1043d669ff38461a62d116f383ad530128d9b5	bf1043d669ff38461a62d116f383ad530128d9b5	pass
tag_peeled	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	1fd2e71bb1d5a924e7c0444cada94f681b73aa91	pass
release_manifest	dced8ddfc540ab5b7fd72ecfe7a16021338ea56258fb33d09c5e023ba3d98b98	dced8ddfc540ab5b7fd72ecfe7a16021338ea56258fb33d09c5e023ba3d98b98	pass
sha256sums	f9c604d7a3167664a86c48dd101e4f4935a243bde726c6853a9f9390aa278341	f9c604d7a3167664a86c48dd101e4f4935a243bde726c6853a9f9390aa278341	pass
executor	34da155ed02a83a74babbec30aff960bdccfb6cc16018230ae7bc030462f7187	34da155ed02a83a74babbec30aff960bdccfb6cc16018230ae7bc030462f7187	pass
source_model	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	pass
board_release_manifest	dced8ddfc540ab5b7fd72ecfe7a16021338ea56258fb33d09c5e023ba3d98b98	dced8ddfc540ab5b7fd72ecfe7a16021338ea56258fb33d09c5e023ba3d98b98	pass
board_sha256sums	f9c604d7a3167664a86c48dd101e4f4935a243bde726c6853a9f9390aa278341	f9c604d7a3167664a86c48dd101e4f4935a243bde726c6853a9f9390aa278341	pass
board_executor	34da155ed02a83a74babbec30aff960bdccfb6cc16018230ae7bc030462f7187	34da155ed02a83a74babbec30aff960bdccfb6cc16018230ae7bc030462f7187	pass
board_common_bus_tensor	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	pass
same_boot_system_state	snapshots=6;governors=performance;frequency_khz=1600000..1600000;temperature_millic_max=62000	performance governor; <=5% frequency spread; <=85000 millic	pass
