surface	measurement_source	metric	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us
B2	Stage65E-board-100-image	preprocess	100	44761.68792999999	4733.960098879768	10.575919536999839	44435.7855	50137.24800000001	52650.20915	55655.05548000002	58095.01264799999	33845.276	58366.119
B2	Stage65E-board-100-image	inference	100	100647.72041	13875.56785138151	13.786271358017645	98776.509	100754.225	101863.36915000001	110855.85048000065	224438.34574799956	97908.57800000001	237058.62300000002
B2	Stage65E-board-100-image	tail	100	14999.05898	751.3161956805392	5.0090888813915395	14889.846	15102.5308	15180.23745	18418.532150000017	21117.91911499999	14622.028999999999	21417.851
B2	Stage65E-board-100-image	decode	100	92.15348	28.555490975964393	30.98688294350294	92.668	131.20960000000002	131.99125	143.10700000000026	185.8749999999998	46.084	190.62699999999998
B2	Stage65E-board-100-image	total	100	160500.6208	15733.56469539187	9.802806130574087	158638.973	165770.282	167317.4325	176127.94542000067	295332.73444199946	147649.071	308577.711
C2	Stage65E-board-100-image	preprocess	100	44760.776979999995	4503.900937798199	10.062159867802633	44499.3125	49527.226800000004	50925.95665	55414.40852000001	56819.82915199999	33499.778	56975.987
C2	Stage65E-board-100-image	inference	100	100660.76406	13895.432972187036	13.804219649976535	98811.787	99951.37500000001	102583.41685000001	117300.04314000062	224703.06671399955	98005.63200000001	236636.736
C2	Stage65E-board-100-image	tail	100	15039.09744	756.2248269743263	5.0283923619177395	14915.0555	15100.754700000001	15494.19205	18358.031240000015	21123.98392399999	14603.615	21431.311999999998
C2	Stage65E-board-100-image	decode	100	91.91182	28.630427999277593	31.149886923442047	90.8135	132.6344	134.32635	140.23166000000015	164.43656599999989	46.001	167.126
C2	Stage65E-board-100-image	total	100	160552.5503	15670.972517831706	9.760650010572709	158104.11700000003	165483.30690000003	168858.66419999997	183069.82252000063	293958.0264519995	146998.791	306278.93799999997
model-independent-file-components	Stage65E-3x100	file_read	300	996.1062533333333	736.9374482599924	73.98181125697505	529.6095	2175.9535	2294.9185000000007	2641.1930899999998	2713.556692000002	402.337	2737.863
model-independent-file-components	Stage65E-3x100	jpeg_decode	300	14579.476553333334	7162.856655144604	49.129724437925354	13711.485	17734.7571	19039.790350000003	22267.2792	96344.9680730023	8099.715	127911.885
model-independent-file-components	Stage65E-3x100	letterbox_tensor_preparation	300	29312.213706666666	3922.1584154935267	13.380628480480425	27631.492	32754.423	34843.44595	40935.818479999994	64877.23979400068	25775.446	74045.176
model-independent-file-components	Stage65E-3x100	file_preprocess_total	300	44887.796513333335	9964.631720126343	22.198977214589892	43428.8735	50019.451700000005	52227.2842	56784.73848999998	159871.55326400313	37354.572	202672.944
