phase	block	slot	model	provider	inference_us	tail_us	total_us	status
abba	0	0	B2	spacemit	244783.366000	21217.223000	266000.589000	pass
abba	0	1	C2	spacemit	250909.322000	20883.259000	271792.581000	pass
abba	0	2	C2	spacemit	245709.698000	21173.554000	266883.252000	pass
abba	0	3	B2	spacemit	245400.436000	20867.049000	266267.485000	pass
abba	1	0	C2	spacemit	244283.205000	20946.717000	265229.922000	pass
abba	1	1	B2	spacemit	245253.712000	21198.762000	266452.474000	pass
abba	1	2	B2	spacemit	245520.835000	21168.760000	266689.595000	pass
abba	1	3	C2	spacemit	243853.222000	21017.049000	264870.271000	pass
abba	10	0	B2	spacemit	251129.385000	21033.206000	272162.591000	pass
abba	10	1	C2	spacemit	243583.330000	21071.942000	264655.272000	pass
abba	10	2	C2	spacemit	244182.549000	20929.962000	265112.511000	pass
abba	10	3	B2	spacemit	255733.307000	21173.791000	276907.098000	pass
abba	11	0	C2	spacemit	245184.575000	21168.984000	266353.559000	pass
abba	11	1	B2	spacemit	244927.648000	21163.137000	266090.785000	pass
abba	11	2	B2	spacemit	245271.170000	21084.202000	266355.372000	pass
abba	11	3	C2	spacemit	248474.727000	21036.020000	269510.747000	pass
abba	2	0	B2	spacemit	246121.081000	21159.467000	267280.548000	pass
abba	2	1	C2	spacemit	244240.257000	23255.496000	267495.753000	pass
abba	2	2	C2	spacemit	244712.133000	21027.589000	265739.722000	pass
abba	2	3	B2	spacemit	244866.505000	21053.298000	265919.803000	pass
abba	3	0	C2	spacemit	245880.472000	21120.840000	267001.312000	pass
abba	3	1	B2	spacemit	244227.693000	20961.504000	265189.197000	pass
abba	3	2	B2	spacemit	247991.991000	22394.524000	270386.515000	pass
abba	3	3	C2	spacemit	244317.851000	21262.883000	265580.734000	pass
abba	4	0	B2	spacemit	245281.193000	21128.047000	266409.240000	pass
abba	4	1	C2	spacemit	244716.390000	21166.797000	265883.187000	pass
abba	4	2	C2	spacemit	264385.869000	21096.087000	285481.956000	pass
abba	4	3	B2	spacemit	245237.179000	21011.753000	266248.932000	pass
abba	5	0	C2	spacemit	247592.125000	21165.504000	268757.629000	pass
abba	5	1	B2	spacemit	247039.197000	21015.877000	268055.074000	pass
abba	5	2	B2	spacemit	244079.652000	20971.792000	265051.444000	pass
abba	5	3	C2	spacemit	245275.790000	21198.045000	266473.835000	pass
abba	6	0	B2	spacemit	246335.467000	21062.543000	267398.010000	pass
abba	6	1	C2	spacemit	245699.646000	21023.724000	266723.370000	pass
abba	6	2	C2	spacemit	247851.510000	20948.403000	268799.913000	pass
abba	6	3	B2	spacemit	246125.089000	21183.433000	267308.522000	pass
abba	7	0	C2	spacemit	246142.938000	21030.694000	267173.632000	pass
abba	7	1	B2	spacemit	241111.227000	21101.091000	262212.318000	pass
abba	7	2	B2	spacemit	246555.377000	21140.362000	267695.739000	pass
abba	7	3	C2	spacemit	244759.068000	21083.378000	265842.446000	pass
abba	8	0	B2	spacemit	245111.754000	21126.234000	266237.988000	pass
abba	8	1	C2	spacemit	248643.316000	21021.333000	269664.649000	pass
abba	8	2	C2	spacemit	248094.688000	20998.021000	269092.709000	pass
abba	8	3	B2	spacemit	244549.456000	20864.412000	265413.868000	pass
abba	9	0	C2	spacemit	245338.814000	20951.231000	266290.045000	pass
abba	9	1	B2	spacemit	239994.730000	21865.713000	261860.443000	pass
abba	9	2	B2	spacemit	245629.282000	21107.952000	266737.234000	pass
abba	9	3	C2	spacemit	246797.800000	21226.814000	268024.614000	pass
cpu	0	0	B2	cpu	3071412.293000	18879.841000	3090292.134000	pass
cpu	0	1	C2	cpu	3071580.879000	19237.381000	3090818.260000	pass
cpu	1	0	C2	cpu	3075770.761000	19153.119000	3094923.880000	pass
cpu	1	1	B2	cpu	3084204.719000	19083.945000	3103288.664000	pass
cpu	2	0	B2	cpu	3086450.599000	19147.339000	3105597.938000	pass
cpu	2	1	C2	cpu	3081948.754000	19357.385000	3101306.139000	pass
cpu	3	0	C2	cpu	3110460.733000	19238.261000	3129698.994000	pass
cpu	3	1	B2	cpu	3076777.462000	19108.993000	3095886.455000	pass
noise_b2	0	0	B2	spacemit	243112.023000	21130.103000	264242.126000	pass
noise_b2	0	1	B2	spacemit	245683.525000	21020.097000	266703.622000	pass
noise_b2	0	2	B2	spacemit	245119.501000	21049.093000	266168.594000	pass
noise_b2	0	3	B2	spacemit	249780.460000	21040.547000	270821.007000	pass
noise_b2	1	0	B2	spacemit	245013.524000	21152.878000	266166.402000	pass
noise_b2	1	1	B2	spacemit	241555.324000	21038.121000	262593.445000	pass
noise_b2	1	2	B2	spacemit	242757.552000	21139.245000	263896.797000	pass
noise_b2	1	3	B2	spacemit	243423.023000	20926.694000	264349.717000	pass
noise_b2	2	0	B2	spacemit	241298.771000	21169.029000	262467.800000	pass
noise_b2	2	1	B2	spacemit	261506.736000	22283.422000	283790.158000	pass
noise_b2	2	2	B2	spacemit	249159.503000	20942.142000	270101.645000	pass
noise_b2	2	3	B2	spacemit	245053.302000	21109.059000	266162.361000	pass
noise_b2	3	0	B2	spacemit	244747.175000	21162.307000	265909.482000	pass
noise_b2	3	1	B2	spacemit	244487.134000	21089.969000	265577.103000	pass
noise_b2	3	2	B2	spacemit	244715.810000	20893.671000	265609.481000	pass
noise_b2	3	3	B2	spacemit	250078.454000	20991.878000	271070.332000	pass
noise_b2	4	0	B2	spacemit	243994.103000	20971.416000	264965.519000	pass
noise_b2	4	1	B2	spacemit	246207.443000	20883.036000	267090.479000	pass
noise_b2	4	2	B2	spacemit	243816.203000	20928.868000	264745.071000	pass
noise_b2	4	3	B2	spacemit	244252.596000	21002.658000	265255.254000	pass
noise_b2	5	0	B2	spacemit	244521.612000	20848.445000	265370.057000	pass
noise_b2	5	1	B2	spacemit	247454.592000	20852.525000	268307.117000	pass
noise_b2	5	2	B2	spacemit	244158.259000	21090.485000	265248.744000	pass
noise_b2	5	3	B2	spacemit	244085.730000	20914.938000	265000.668000	pass
noise_b2	6	0	B2	spacemit	244312.457000	21250.192000	265562.649000	pass
noise_b2	6	1	B2	spacemit	243365.707000	21032.603000	264398.310000	pass
noise_b2	6	2	B2	spacemit	244050.903000	21115.935000	265166.838000	pass
noise_b2	6	3	B2	spacemit	245207.648000	21001.723000	266209.371000	pass
noise_b2	7	0	B2	spacemit	245906.552000	21053.513000	266960.065000	pass
noise_b2	7	1	B2	spacemit	245488.730000	21025.303000	266514.033000	pass
noise_b2	7	2	B2	spacemit	243889.392000	21080.094000	264969.486000	pass
noise_b2	7	3	B2	spacemit	245061.389000	21051.050000	266112.439000	pass
noise_c2	0	0	C2	spacemit	261424.924000	20965.296000	282390.220000	pass
noise_c2	0	1	C2	spacemit	245179.183000	21056.296000	266235.479000	pass
noise_c2	0	2	C2	spacemit	243088.006000	20995.876000	264083.882000	pass
noise_c2	0	3	C2	spacemit	244845.181000	21272.380000	266117.561000	pass
noise_c2	1	0	C2	spacemit	248572.056000	21151.084000	269723.140000	pass
noise_c2	1	1	C2	spacemit	244613.142000	21115.624000	265728.766000	pass
noise_c2	1	2	C2	spacemit	245773.642000	20951.287000	266724.929000	pass
noise_c2	1	3	C2	spacemit	245849.711000	21111.996000	266961.707000	pass
noise_c2	2	0	C2	spacemit	248021.978000	21114.661000	269136.639000	pass
noise_c2	2	1	C2	spacemit	245259.128000	21085.951000	266345.079000	pass
noise_c2	2	2	C2	spacemit	245683.411000	20986.823000	266670.234000	pass
noise_c2	2	3	C2	spacemit	241352.037000	21010.364000	262362.401000	pass
noise_c2	3	0	C2	spacemit	244599.365000	20962.279000	265561.644000	pass
noise_c2	3	1	C2	spacemit	246253.960000	20998.111000	267252.071000	pass
noise_c2	3	2	C2	spacemit	246565.284000	21114.237000	267679.521000	pass
noise_c2	3	3	C2	spacemit	245901.803000	21011.609000	266913.412000	pass
noise_c2	4	0	C2	spacemit	245907.415000	21105.026000	267012.441000	pass
noise_c2	4	1	C2	spacemit	245108.307000	20884.147000	265992.454000	pass
noise_c2	4	2	C2	spacemit	251159.136000	21078.232000	272237.368000	pass
noise_c2	4	3	C2	spacemit	245135.077000	21044.022000	266179.099000	pass
noise_c2	5	0	C2	spacemit	245183.357000	21004.729000	266188.086000	pass
noise_c2	5	1	C2	spacemit	246406.823000	21040.812000	267447.635000	pass
noise_c2	5	2	C2	spacemit	251904.810000	21126.646000	273031.456000	pass
noise_c2	5	3	C2	spacemit	259552.454000	27420.613000	286973.067000	pass
noise_c2	6	0	C2	spacemit	249198.167000	20918.016000	270116.183000	pass
noise_c2	6	1	C2	spacemit	244229.334000	21030.726000	265260.060000	pass
noise_c2	6	2	C2	spacemit	244306.867000	21173.894000	265480.761000	pass
noise_c2	6	3	C2	spacemit	246906.813000	21219.185000	268125.998000	pass
noise_c2	7	0	C2	spacemit	243709.674000	20957.972000	264667.646000	pass
noise_c2	7	1	C2	spacemit	254113.942000	22422.659000	276536.601000	pass
noise_c2	7	2	C2	spacemit	245434.058000	21037.847000	266471.905000	pass
noise_c2	7	3	C2	spacemit	245801.805000	21110.264000	266912.069000	pass
