model	graph_role	record_type	name	op_type	count	dtype	shape	sha256
B2	inference	summary	Extracted from {main_graph}	all	1161	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Add	Add	20	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Concat	Concat	19	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Conv	Conv	102	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	DequantizeLinear	DequantizeLinear	458	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	MatMul	MatMul	4	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	MaxPool	MaxPool	3	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Mul	Mul	89	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	QuantizeLinear	QuantizeLinear	354	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Reshape	Reshape	6	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Resize	Resize	2	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Sigmoid	Sigmoid	87	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Softmax	Softmax	2	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Split	Split	11	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	operator-census	Transpose	Transpose	4	n/a	n/a	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	input	images	tensor	1	FLOAT	1x3x640x640	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	output	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	tensor	1	FLOAT	1x4x80x80	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	output	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	tensor	1	FLOAT	1x80x80x80	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	output	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0	tensor	1	FLOAT	1x4x40x40	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	output	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0	tensor	1	FLOAT	1x80x40x40	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	output	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv_output_0	tensor	1	FLOAT	1x4x20x20	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
B2	inference	output	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv_output_0	tensor	1	FLOAT	1x80x20x20	40ba6a7f9aebaa98a1c3abe5fce1f66f1bebcd0b10b7af3d26d30414a331d853
C2	inference	summary	Extracted from {main_graph}	all	1161	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	Add	Add	20	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	Concat	Concat	19	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	Conv	Conv	102	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	DequantizeLinear	DequantizeLinear	458	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	MatMul	MatMul	4	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	MaxPool	MaxPool	3	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	Mul	Mul	89	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	QuantizeLinear	QuantizeLinear	354	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	Reshape	Reshape	6	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	Resize	Resize	2	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
C2	inference	operator-census	Sigmoid	Sigmoid	87	n/a	n/a	281f4acd1261e7ee2c38b6e3bdecbf61c3d91cf710c63e6bc6cdaf257a52669b
