surface	model	scope	provider	score_threshold	iou_threshold	max_dets	area	tp	fp	fn	precision	recall	f1	detections	detections_per_image	ignored_detections	ignored_ground_truths
FP32_HOST	FP32	host	CPU	0.001	0.5	100	all	30646	610523	5689	0.0477970706631169	0.8434292004953902	0.09046736255431702	667382	133.4764	26213	446
FP32_HOST	FP32	host	CPU	0.001	0.75	100	all	23679	617783	12656	0.03691411182579794	0.6516857024907114	0.06987047744383643	667382	133.4764	25920	446
FP32_HOST	FP32	host	CPU	0.01	0.5	100	all	28147	144986	8188	0.1625744369935252	0.7746525388743636	0.2687474936505815	193001	38.6002	19868	446
FP32_HOST	FP32	host	CPU	0.01	0.75	100	all	21637	151390	14698	0.12504984771162883	0.595486445575891	0.20669462462146904	193001	38.6002	19974	446
FP32_HOST	FP32	host	CPU	0.05	0.5	100	all	23872	32546	12463	0.42312737069729517	0.6569973854410348	0.5147434584326113	62002	12.4004	5584	446
FP32_HOST	FP32	host	CPU	0.05	0.75	100	all	18747	37211	17588	0.3350191214839701	0.515948809687629	0.4062496614044402	62002	12.4004	6044	446
FP32_HOST	FP32	host	CPU	0.25	0.5	100	all	17404	4836	18931	0.7825539568345323	0.47898720242190723	0.5942466922748613	23008	4.6016	768	446
FP32_HOST	FP32	host	CPU	0.25	0.75	100	all	14658	7367	21677	0.665516458569807	0.40341268749139947	0.5023303632625086	23008	4.6016	983	446
FP32_HOST	FP32	host	CPU	0.5	0.5	100	all	12792	1234	23543	0.9120205332953087	0.3520572450805009	0.508012152260678	14238	2.8476	212	446
FP32_HOST	FP32	host	CPU	0.5	0.75	100	all	11390	2550	24945	0.8170731707317073	0.31347185908903263	0.45310790651417215	14238	2.8476	298	446
FP32_HOST	FP32	host	CPU	0.001	0.5	100	large	8468	130551	211	0.06091253713521173	0.9756884433690517	0.11466641389863098	667382	133.4764	528363	28102
FP32_HOST	FP32	host	CPU	0.001	0.75	100	large	7889	131724	790	0.05650619927943673	0.9089756884433691	0.10639818736007338	667382	133.4764	527769	28102
FP32_HOST	FP32	host	CPU	0.01	0.5	100	large	8150	30821	529	0.2091298657976444	0.9390482774513192	0.3420776495278069	193001	38.6002	154030	28102
FP32_HOST	FP32	host	CPU	0.01	0.75	100	large	7485	32040	1194	0.18937381404174572	0.8624265468371932	0.310555140652228	193001	38.6002	153476	28102
FP32_HOST	FP32	host	CPU	0.05	0.5	100	large	7734	9509	945	0.44852983819520964	0.8911164880746629	0.5967132165727953	62002	12.4004	44759	28102
FP32_HOST	FP32	host	CPU	0.05	0.75	100	large	7028	10642	1651	0.39773627617430674	0.8097707109113953	0.5334547800675548	62002	12.4004	44332	28102
FP32_HOST	FP32	host	CPU	0.25	0.5	100	large	6945	2147	1734	0.7638583369995601	0.8002073971655721	0.7816104889989309	23008	4.6016	13916	28102
FP32_HOST	FP32	host	CPU	0.25	0.75	100	large	6320	3057	2359	0.6739895488962355	0.7281944924530476	0.7000443066016837	23008	4.6016	13631	28102
FP32_HOST	FP32	host	CPU	0.5	0.5	100	large	6033	669	2646	0.9001790510295434	0.6951261666090564	0.784474351472596	14238	2.8476	7536	28102
FP32_HOST	FP32	host	CPU	0.5	0.75	100	large	5573	1307	3106	0.8100290697674418	0.6421246687406383	0.7163699466546695	14238	2.8476	7358	28102
FP32_HOST	FP32	host	CPU	0.001	0.5	100	medium	11420	213026	972	0.050880835479358066	0.9215622982569399	0.09643722713415923	667382	133.4764	442936	24389
FP32_HOST	FP32	host	CPU	0.001	0.75	100	medium	9552	215630	2840	0.04241902105852155	0.7708198837959974	0.08041283978886578	667382	133.4764	442200	24389
FP32_HOST	FP32	host	CPU	0.01	0.5	100	medium	10738	52918	1654	0.16868794771898957	0.8665267914783732	0.2824005891016201	193001	38.6002	129345	24389
FP32_HOST	FP32	host	CPU	0.01	0.75	100	medium	8801	55313	3591	0.13727111083382726	0.7102162685603616	0.23007345829085302	193001	38.6002	128887	24389
