surface	model	scope	provider	score_threshold	iou_threshold	max_dets	area	category_id	class_name	tp	fp	fn	precision	recall	f1	detections	detections_per_image	ignored_detections	ignored_ground_truths
FP32_HOST	FP32	host	CPU	0.001	0.5	100	all	1	person	9850	105271	927	0.08556214765333867	0.9139834833441589	0.1564758772974948	129434	25.8868	14313	227
FP32_HOST	FP32	host	CPU	0.001	0.75	100	all	1	person	7652	107631	3125	0.06637578827754309	0.7100306207664471	0.12140250674282088	129434	25.8868	14151	227
FP32_HOST	FP32	host	CPU	0.01	0.5	100	all	1	person	9467	30176	1310	0.23880634664379588	0.8784448362252946	0.3755255850852836	50212	10.0424	10569	227
FP32_HOST	FP32	host	CPU	0.01	0.75	100	all	1	person	7281	32300	3496	0.1839518961117708	0.6756054560638397	0.28916954605028	50212	10.0424	10631	227
FP32_HOST	FP32	host	CPU	0.05	0.5	100	all	1	person	8547	7292	2230	0.5396174000883894	0.7930778509789366	0.6422452660054102	18766	3.7532	2927	227
FP32_HOST	FP32	host	CPU	0.05	0.75	100	all	1	person	6640	8947	4137	0.4259960223262976	0.6161269369954533	0.5037171901077226	18766	3.7532	3179	227
FP32_HOST	FP32	host	CPU	0.25	0.5	100	all	1	person	6836	1085	3941	0.8630223456634263	0.6343138164609817	0.7312011979890898	8397	1.6794	476	227
FP32_HOST	FP32	host	CPU	0.25	0.75	100	all	1	person	5635	2134	5142	0.7253185738190243	0.5228727846339427	0.6076782055429741	8397	1.6794	628	227
FP32_HOST	FP32	host	CPU	0.5	0.5	100	all	1	person	5350	255	5427	0.9545049063336307	0.49642757724784264	0.6531559028201686	5741	1.1482	136	227
FP32_HOST	FP32	host	CPU	0.5	0.75	100	all	1	person	4691	849	6086	0.8467509025270759	0.435278834555071	0.5749831464117178	5741	1.1482	201	227
FP32_HOST	FP32	host	CPU	0.001	0.5	100	large	1	person	2728	15837	18	0.14694317263668194	0.9934450109249818	0.25601801886349773	129434	25.8868	110869	8258
FP32_HOST	FP32	host	CPU	0.001	0.75	100	large	1	person	2565	16204	181	0.1366615163301188	0.9340859431900946	0.2384382988612596	129434	25.8868	110665	8258
FP32_HOST	FP32	host	CPU	0.01	0.5	100	large	1	person	2701	4831	45	0.3586032926181625	0.9836125273124545	0.5255886359213855	50212	10.0424	42680	8258
FP32_HOST	FP32	host	CPU	0.01	0.75	100	large	1	person	2493	5234	253	0.32263491652646564	0.9078659868900218	0.4760813520481237	50212	10.0424	42485	8258
FP32_HOST	FP32	host	CPU	0.05	0.5	100	large	1	person	2666	1666	80	0.6154201292705448	0.9708667152221413	0.7533201469341622	18766	3.7532	14434	8258
FP32_HOST	FP32	host	CPU	0.05	0.75	100	large	1	person	2421	2071	325	0.5389581478183437	0.8816460305899491	0.6689693285437966	18766	3.7532	14274	8258
FP32_HOST	FP32	host	CPU	0.25	0.5	100	large	1	person	2564	411	182	0.8618487394957983	0.9337217771303714	0.8963467925187903	8397	1.6794	5422	8258
FP32_HOST	FP32	host	CPU	0.25	0.75	100	large	1	person	2328	762	418	0.7533980582524272	0.8477785870356883	0.7978067169294037	8397	1.6794	5307	8258
FP32_HOST	FP32	host	CPU	0.5	0.5	100	large	1	person	2400	128	346	0.9493670886075949	0.8739985433357611	0.9101251422070534	5741	1.1482	3213	8258
FP32_HOST	FP32	host	CPU	0.5	0.75	100	large	1	person	2209	396	537	0.8479846449136277	0.8044428259286235	0.8256400672771443	5741	1.1482	3136	8258
FP32_HOST	FP32	host	CPU	0.001	0.5	100	medium	1	person	3639	30801	84	0.10566202090592335	0.9774375503626108	0.19070827765112808	129434	25.8868	94994	7281
FP32_HOST	FP32	host	CPU	0.001	0.75	100	medium	1	person	3105	31565	618	0.08955869627920392	0.8340048348106366	0.16174823535540334	129434	25.8868	94764	7281
