packet	field	actual	expected	status
BANANA-YOLO26-XSLIM-STAGE65D-R1-C2-FROZEN-FULL-VAL-PROVIDER-INTERACTION-CONDITIONAL-PERFORMANCE-STABILITY-AND-CROSS-SURFACE-PASSPORT-001	tree_sha256	62acd7ce1d4f5781d5633b401d94589fde42cb1561639ba70a97a2113bcaf5d9	62acd7ce1d4f5781d5633b401d94589fde42cb1561639ba70a97a2113bcaf5d9	pass
BANANA-YOLO26-XSLIM-STAGE65D-R1-C2-FROZEN-FULL-VAL-PROVIDER-INTERACTION-CONDITIONAL-PERFORMANCE-STABILITY-AND-CROSS-SURFACE-PASSPORT-001	file_count	92	92	pass
BANANA-YOLO26-XSLIM-STAGE65D-R1-C2-FROZEN-FULL-VAL-PROVIDER-INTERACTION-CONDITIONAL-PERFORMANCE-STABILITY-AND-CROSS-SURFACE-PASSPORT-001	byte_count	395174	395174	pass
BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001	tree_sha256	adcc6e12b0760f4d65725e34de2306bd4c42b64f7f202bcf21e2828a4a7face5	adcc6e12b0760f4d65725e34de2306bd4c42b64f7f202bcf21e2828a4a7face5	pass
BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001	file_count	108	108	pass
BANANA-YOLO26-XSLIM-STAGE65D-C2-FROZEN-K1X-SPACEMIT-EP-BOARD-PASSPORT-FP32-FP16-AND-CUSTOM-ENGINE-APPLICATION-COMPARISON-001	byte_count	319268	319268	pass
BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001	tree_sha256	8398831b147cc890436e968d830b14c0d5347ee5a24946b03156c66aa08b22e6	8398831b147cc890436e968d830b14c0d5347ee5a24946b03156c66aa08b22e6	pass
BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001	file_count	63	63	pass
BANANA-YOLO26-XSLIM-STAGE65C-R1-A1-CPU-EP-LARGE-RECALL-DIVERGENCE-AND-TERMINAL-BOUNDARY-CAUSAL-DIAGNOSTIC-001	byte_count	1983169	1983169	pass
BANANA-YOLO26-XSLIM-DEV-001C-C2-FROZEN-INDEPENDENT-HOLDOUT-ADJUDICATION-AND-VENDOR-PTQ-LANE-CLOSURE-001	tree_sha256	ce214eb6e906586ffc98d5da823d4406bf1ea627d5e8ae65a823e259efdb38f1	ce214eb6e906586ffc98d5da823d4406bf1ea627d5e8ae65a823e259efdb38f1	pass
BANANA-YOLO26-XSLIM-DEV-001C-C2-FROZEN-INDEPENDENT-HOLDOUT-ADJUDICATION-AND-VENDOR-PTQ-LANE-CLOSURE-001	file_count	44	44	pass
BANANA-YOLO26-XSLIM-DEV-001C-C2-FROZEN-INDEPENDENT-HOLDOUT-ADJUDICATION-AND-VENDOR-PTQ-LANE-CLOSURE-001	byte_count	269690	269690	pass
