phase	block	slot	model	provider	inference_create_us	tail_create_us	status
abba	0	0	B2	spacemit	1911477.548000	17503.627000	pass
abba	0	1	C2	spacemit	1905348.527000	17360.833000	pass
abba	0	2	C2	spacemit	1910595.629000	17608.919000	pass
abba	0	3	B2	spacemit	1899213.244000	17762.504000	pass
abba	1	0	C2	spacemit	1915051.834000	17388.958000	pass
abba	1	1	B2	spacemit	1912846.126000	17638.668000	pass
abba	1	2	B2	spacemit	1896468.926000	17640.294000	pass
abba	1	3	C2	spacemit	1919293.285000	17668.543000	pass
abba	10	0	B2	spacemit	1896355.049000	17461.385000	pass
abba	10	1	C2	spacemit	1906948.355000	17472.872000	pass
abba	10	2	C2	spacemit	1920603.399000	17348.353000	pass
abba	10	3	B2	spacemit	1897672.496000	17398.051000	pass
abba	11	0	C2	spacemit	1895151.071000	17421.750000	pass
abba	11	1	B2	spacemit	1950752.278000	17512.949000	pass
abba	11	2	B2	spacemit	1896632.297000	17513.855000	pass
abba	11	3	C2	spacemit	1908527.559000	17588.638000	pass
abba	2	0	B2	spacemit	1913854.077000	17505.707000	pass
abba	2	1	C2	spacemit	1962155.467000	17471.623000	pass
abba	2	2	C2	spacemit	1896447.699000	17476.831000	pass
abba	2	3	B2	spacemit	1913174.477000	17554.873000	pass
abba	3	0	C2	spacemit	1904167.057000	17462.330000	pass
abba	3	1	B2	spacemit	1901798.567000	21545.054000	pass
abba	3	2	B2	spacemit	1916168.523000	17468.329000	pass
abba	3	3	C2	spacemit	1908887.257000	17489.454000	pass
abba	4	0	B2	spacemit	1916144.697000	17610.956000	pass
abba	4	1	C2	spacemit	1911429.720000	17553.288000	pass
abba	4	2	C2	spacemit	1905507.229000	18553.343000	pass
abba	4	3	B2	spacemit	1904768.352000	17694.623000	pass
abba	5	0	C2	spacemit	1924994.810000	17585.829000	pass
abba	5	1	B2	spacemit	1911507.424000	17595.163000	pass
abba	5	2	B2	spacemit	1906194.652000	17592.704000	pass
abba	5	3	C2	spacemit	1905937.119000	17715.955000	pass
abba	6	0	B2	spacemit	1905828.173000	17592.536000	pass
abba	6	1	C2	spacemit	1915649.821000	17368.011000	pass
abba	6	2	C2	spacemit	1907864.681000	17666.090000	pass
abba	6	3	B2	spacemit	1911125.033000	17398.389000	pass
abba	7	0	C2	spacemit	1896431.764000	17545.336000	pass
abba	7	1	B2	spacemit	1952988.292000	17594.735000	pass
abba	7	2	B2	spacemit	1899249.879000	18414.426000	pass
abba	7	3	C2	spacemit	1923119.556000	17632.408000	pass
abba	8	0	B2	spacemit	1905149.834000	17466.382000	pass
abba	8	1	C2	spacemit	1911348.698000	17602.748000	pass
abba	8	2	C2	spacemit	1896043.359000	17600.272000	pass
abba	8	3	B2	spacemit	1898917.345000	17576.880000	pass
abba	9	0	C2	spacemit	1906852.352000	17593.240000	pass
abba	9	1	B2	spacemit	2000936.774000	18283.965000	pass
abba	9	2	B2	spacemit	1908687.013000	17533.499000	pass
abba	9	3	C2	spacemit	1927892.149000	17784.371000	pass
cpu	0	0	B2	cpu	1295663.829000	16279.537000	pass
cpu	0	1	C2	cpu	1283999.796000	16399.010000	pass
cpu	1	0	C2	cpu	1300485.461000	16306.219000	pass
cpu	1	1	B2	cpu	1299224.798000	16130.216000	pass
