root	segment	position	model	output_elements	non_finite_count	score_unique_count	score_min	score_max	score_collapse	status
stage65e-short-1k	0	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-short-1k	0	1	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-short-1k	0	2	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-short-1k	0	3	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	0	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	1	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	2	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	3	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	4	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	5	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	6	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	7	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	8	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-b2-10k	9	0	B2	1800	0	41	2.0176172256469727e-05	0.22819504141807556	no	pass
stage65e-c2-10k	0	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-c2-10k	1	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-c2-10k	2	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-c2-10k	3	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-c2-10k	4	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-c2-10k	5	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-c2-10k	6	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-c2-10k	7	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-c2-10k	8	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
stage65e-c2-10k	9	0	C2	1800	0	52	2.014636993408203e-05	0.23121550679206848	no	pass
